name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006
TotalRevenue,"2,920,400,000","742,000,000","728,400,000","754,900,000","695,100,000","722,300,000","692,500,000","693,700,000","607,500,000","648,900,000","566,900,000","485,800,000","446,600,000","464,600,000","410,300,000","474,700,000","446,000,000","452,200,000","397,200,000","442,900,000","395,900,000","395,300,000","356,100,000","428,700,000","371,000,000","387,000,000","351,700,000","392,000,000","398,700,000","404,600,000","401,500,000","468,700,000","416,800,000","396,800,000","384,900,000","440,900,000","408,800,000","398,500,000","305,200,000","253,500,000","238,400,000","259,700,000","231,600,000","231,200,000","211,200,000","230,000,000","211,000,000","212,000,000","205,800,000","169,900,000","161,500,000","153,100,000","158,700,000","170,800,000","166,500,000","158,800,000","165,000,000","191,400,000","162,900,000","158,200,000","165,600,000","181,200,000","162,200,000"
	OperatingRevenue,"2,920,400,000","742,000,000","728,400,000","754,900,000","695,100,000","722,300,000","692,500,000","693,700,000","607,500,000","648,900,000","566,900,000","485,800,000","446,600,000","464,600,000","410,300,000","474,700,000","446,000,000","452,200,000","397,200,000","442,900,000","395,900,000","395,300,000","356,100,000","428,700,000","371,000,000","387,000,000","351,700,000","392,000,000","398,700,000","404,600,000","401,500,000","468,700,000","416,800,000","396,800,000","384,900,000","440,900,000","408,800,000","398,500,000","305,200,000","253,500,000","238,400,000","259,700,000","231,600,000","231,200,000","211,200,000","230,000,000","211,000,000","212,000,000","205,800,000","169,900,000","161,500,000","153,100,000","158,700,000","170,800,000","166,500,000","158,800,000","165,000,000","191,400,000","162,900,000","158,200,000","165,600,000","181,200,000","162,200,000"
CostOfRevenue,"1,972,600,000","498,700,000","491,100,000","513,600,000","469,200,000","476,400,000","448,300,000","453,200,000","400,200,000","455,200,000","395,100,000","319,100,000","298,200,000","303,700,000","263,300,000","310,500,000","282,300,000","283,500,000","250,900,000","278,600,000","243,500,000","246,700,000","230,100,000","272,500,000","227,500,000","244,300,000","223,500,000","247,500,000","259,800,000","256,000,000","263,100,000","302,600,000","267,500,000","254,000,000","253,900,000","296,000,000","273,700,000","261,900,000","194,600,000","153,400,000","147,600,000","155,400,000","137,900,000","140,500,000","125,100,000","128,100,000","119,800,000","123,300,000","130,200,000","92,900,000","89,500,000","88,800,000","92,700,000","96,500,000","127,600,000","94,800,000","98,600,000","108,200,000","96,000,000","95,300,000","98,700,000","101,200,000","93,400,000"
GrossProfit,"947,800,000","243,300,000","237,300,000","241,300,000","225,900,000","245,900,000","244,200,000","240,500,000","207,300,000","193,700,000","171,800,000","166,700,000","148,400,000","160,900,000","147,000,000","164,200,000","163,700,000","168,700,000","146,300,000","164,300,000","152,400,000","148,600,000","126,000,000","156,200,000","143,500,000","142,700,000","128,200,000","144,500,000","138,900,000","148,600,000","138,400,000","166,100,000","149,300,000","142,800,000","131,000,000","144,900,000","135,100,000","136,600,000","110,600,000","100,100,000","90,800,000","104,300,000","93,700,000","90,700,000","86,100,000","101,900,000","91,200,000","88,700,000","75,600,000","77,000,000","72,000,000","64,300,000","66,000,000","74,300,000","38,900,000","64,000,000","66,400,000","83,200,000","66,900,000","62,900,000","66,900,000","80,000,000","68,800,000"
OperatingExpense,"572,100,000","145,500,000","141,800,000","144,100,000","140,700,000","152,100,000","145,200,000","143,000,000","134,900,000","160,000,000","172,200,000","112,000,000","99,400,000","102,300,000","98,500,000","100,500,000","106,000,000","105,800,000","96,800,000","97,200,000","93,600,000","92,800,000","90,000,000","97,300,000","94,400,000","95,900,000","91,900,000","107,900,000","85,600,000","91,700,000","91,200,000","123,100,000","97,700,000","99,900,000","94,000,000","102,200,000","109,400,000","111,000,000","86,500,000","61,500,000","57,800,000","60,500,000","60,300,000","56,900,000","51,200,000","54,100,000","49,100,000","53,900,000","55,800,000","34,800,000","30,900,000","31,600,000","27,300,000","29,600,000",,"31,700,000","28,400,000","42,300,000","27,300,000","28,900,000","34,100,000","28,200,000","26,700,000"
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,500,000","57,800,000","60,500,000","60,300,000","56,900,000","51,200,000","54,100,000","49,100,000",,,,,,,,,"31,700,000","28,400,000","42,300,000",,,,,
	DepreciationAmortizationDepletionIncomeStatement,"55,400,000","13,700,000","13,700,000","13,900,000","14,100,000","14,100,000","13,600,000","16,700,000","16,400,000","24,000,000","14,800,000","7,500,000","8,600,000","8,600,000","7,800,000","7,500,000","7,600,000","7,500,000","7,600,000","7,500,000","7,300,000","7,200,000","7,200,000","7,400,000","7,200,000","8,600,000","9,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"55,400,000","13,700,000","13,700,000","13,900,000","14,100,000","14,100,000","13,600,000","16,700,000","16,400,000","24,000,000","14,800,000","7,500,000","8,600,000","8,600,000","7,800,000","7,500,000","7,600,000","7,500,000","7,600,000","7,500,000","7,300,000","7,200,000","7,200,000","7,400,000","7,200,000","8,600,000","9,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Amortization,"55,400,000","13,700,000","13,700,000","13,900,000","14,100,000","14,100,000","13,600,000","16,700,000","16,400,000","24,000,000","14,800,000","7,500,000","8,600,000","8,600,000","7,800,000","7,500,000","7,600,000","7,500,000","7,600,000","7,500,000","7,300,000","7,200,000","7,200,000","7,400,000","7,200,000","8,600,000","9,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"55,400,000","13,700,000","13,700,000","13,900,000","14,100,000","14,100,000","13,600,000","16,700,000","16,400,000","24,000,000","14,800,000","7,500,000","8,600,000","8,600,000","7,800,000","7,500,000","7,600,000","7,500,000","7,600,000","7,500,000","7,300,000","7,200,000","7,200,000","7,400,000","7,200,000","8,600,000","9,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
