name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994
TotalAssets,"63,298,000,000","63,708,000,000","63,601,000,000","62,894,000,000","65,015,000,000","61,845,000,000","61,558,000,000","57,666,000,000","61,247,000,000","60,873,000,000","58,994,000,000","61,680,000,000","59,672,000,000","61,011,000,000","61,421,000,000","61,282,000,000","60,381,000,000","64,213,000,000","63,846,000,000","61,816,000,000","60,969,000,000","57,874,000,000","58,315,000,000","57,904,000,000","56,563,000,000","55,087,000,000","55,819,000,000","55,925,000,000","53,870,000,000","55,110,000,000","52,232,000,000","53,006,000,000","51,759,000,000","36,479,000,000","35,947,000,000","35,491,000,000","34,786,000,000","33,433,000,000","32,968,000,000","31,748,000,000","33,093,000,000","33,157,000,000","31,907,000,000","31,017,000,000","30,886,000,000","26,792,000,000","27,399,000,000","28,189,000,000","27,539,000,000","26,624,000,000","25,717,000,000","25,267,000,000","25,302,000,000","24,577,000,000","24,987,000,000","24,603,000,000","25,365,000,000","25,034,000,000","24,312,000,000","23,943,000,000","22,490,000,000","21,479,000,000","21,339,000,000","20,975,000,000","20,760,000,000","20,456,000,000","19,129,000,000","18,775,000,000","18,684,200,000","17,965,700,000","17,143,400,000","16,240,200,000","15,954,800,000","15,375,600,000","14,764,800,000","14,353,400,000","13,804,200,000","13,869,100,000","13,465,800,000","13,324,000,000","12,788,900,000","12,198,100,000","12,073,400,000","11,529,900,000","11,436,800,000","10,548,000,000","10,488,400,000","10,372,900,000","10,205,900,000","9,497,400,000","9,324,900,000","9,081,600,000","7,439,700,000","7,016,900,000","6,301,100,000","5,607,500,000","5,584,200,000","5,235,500,000","5,018,100,000","5,172,800,000","4,532,300,000","3,563,600,000","3,447,900,000","3,503,900,000","3,674,400,000","3,576,900,000","3,455,300,000","3,479,200,000","3,505,100,000"
	CurrentAssets,"46,231,000,000","46,498,000,000","45,580,000,000","43,350,000,000","45,382,000,000","42,368,000,000","42,345,000,000","38,682,000,000","42,222,000,000","39,390,000,000","37,353,000,000","38,428,000,000","38,465,000,000","38,319,000,000","38,544,000,000","38,214,000,000","37,136,000,000","40,195,000,000","39,794,000,000","37,697,000,000","36,948,000,000","39,268,000,000","41,338,000,000","39,038,000,000","38,437,000,000","38,261,000,000","38,749,000,000","38,571,000,000","36,670,000,000","37,141,000,000","33,879,000,000","33,973,000,000","32,573,000,000","25,234,000,000","24,545,000,000","24,067,000,000","23,170,000,000","23,439,000,000","23,091,000,000","22,054,000,000","23,603,000,000","24,569,000,000","23,262,000,000","22,374,000,000","22,357,000,000","20,244,000,000","20,791,000,000","21,504,000,000","20,854,000,000","19,930,000,000","19,062,000,000","18,671,000,000","18,372,000,000","17,538,000,000","17,931,000,000","17,786,000,000","18,684,000,000","18,789,000,000","18,157,000,000","17,856,000,000","18,304,000,000","17,302,000,000","17,112,000,000","16,919,000,000","16,931,000,000","16,685,000,000","15,745,000,000","15,332,300,000","15,309,400,000","14,636,400,000","13,816,300,000","13,004,200,000","12,778,900,000","12,263,600,000","11,625,900,000","11,253,600,000","10,774,800,000","10,811,600,000","10,795,000,000","10,698,700,000","10,314,400,000","9,751,300,000","9,700,000,000","9,164,000,000","8,937,800,000","8,069,100,000","8,080,900,000","7,965,500,000","7,326,500,000","6,797,500,000","6,696,400,000","6,499,500,000","5,530,000,000","5,329,700,000","4,755,200,000","4,105,600,000","4,108,300,000","3,777,400,000","3,588,200,000","3,761,100,000","3,739,600,000","2,618,300,000","2,533,300,000","2,665,000,000","2,839,600,000","2,769,300,000","2,662,300,000","2,699,400,000","2,759,700,000"
		CashCashEquivalentsAndShortTermInvestments,"3,532,000,000","2,754,000,000","2,151,000,000","2,423,000,000","6,278,000,000","3,577,000,000","3,091,000,000","2,613,000,000","4,015,000,000","2,065,000,000","1,356,000,000","1,947,000,000","2,981,000,000","1,849,000,000","2,118,000,000","2,199,000,000","2,672,000,000","2,619,000,000","2,563,000,000","2,339,000,000","2,783,000,000","2,434,000,000","5,464,000,000","4,659,000,000","4,048,000,000","3,406,000,000","5,359,000,000","5,635,000,000","5,341,000,000","4,587,000,000","3,804,000,000","4,105,000,000","4,193,000,000","2,431,000,000","2,960,000,000","2,905,000,000","2,456,000,000","2,726,000,000","2,831,000,000","2,013,000,000","3,149,000,000","4,191,000,000","3,943,000,000","3,116,000,000","3,612,000,000","3,050,000,000","3,265,000,000","3,731,000,000","3,428,000,000","3,215,000,000","2,644,000,000","2,109,000,000","1,175,000,000","1,123,000,000","1,187,000,000","1,362,000,000","1,436,000,000","2,518,000,000","2,203,000,000","1,954,000,000","2,013,000,000","2,254,000,000","2,000,000,000","2,142,000,000","2,183,000,000","2,996,000,000","2,418,000,000","1,809,300,000","1,041,800,000","1,005,400,000","846,800,000","717,800,000","214,200,000","276,700,000","456,900,000","533,500,000","327,400,000","311,600,000","301,400,000","563,000,000","290,200,000","293,100,000","238,900,000","445,600,000","352,200,000","211,200,000","490,400,000","605,900,000","400,200,000","207,100,000","178,800,000","240,800,000","124,000,000","103,500,000","169,800,000","35,700,000","71,000,000","79,300,000","76,800,000","124,800,000","266,800,000","188,300,000","163,100,000","281,800,000","181,600,000","370,800,000","288,900,000","385,400,000","144,200,000"
			CashAndCashEquivalents,"3,532,000,000","2,754,000,000","2,151,000,000","2,423,000,000","6,278,000,000","3,577,000,000","3,091,000,000","2,613,000,000","4,015,000,000","2,065,000,000","1,356,000,000","1,947,000,000","2,981,000,000","1,849,000,000","2,118,000,000","2,199,000,000","2,672,000,000","2,619,000,000","2,563,000,000","2,339,000,000","2,783,000,000","2,434,000,000","5,464,000,000","4,659,000,000","4,048,000,000","3,406,000,000","5,359,000,000","5,635,000,000","5,341,000,000","4,587,000,000","3,804,000,000","4,105,000,000","4,193,000,000","2,431,000,000","2,960,000,000","2,905,000,000","2,456,000,000","2,726,000,000","2,831,000,000","2,013,000,000","3,149,000,000","4,191,000,000","3,943,000,000","3,116,000,000","3,612,000,000","3,050,000,000","3,265,000,000","3,731,000,000","3,428,000,000","3,215,000,000","2,644,000,000","2,109,000,000","1,175,000,000","1,123,000,000","1,187,000,000","1,362,000,000","1,436,000,000","2,518,000,000","2,203,000,000","1,954,000,000","2,013,000,000","2,254,000,000","2,000,000,000","2,142,000,000","2,183,000,000","2,996,000,000","2,409,000,000","1,800,000,000","1,032,900,000","996,200,000","836,700,000","708,000,000","200,500,000","261,600,000","445,200,000","522,000,000","316,100,000","300,300,000","289,800,000","557,900,000","284,900,000","286,400,000","230,300,000","433,700,000","333,200,000","176,400,000","452,300,000","548,900,000","204,800,000","179,000,000","178,800,000","240,800,000","124,000,000","103,500,000","169,800,000","35,700,000","71,000,000","79,300,000","76,800,000","124,800,000","266,800,000","188,300,000","163,100,000","281,800,000","181,600,000","370,800,000","288,900,000","385,400,000","144,200,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,000,000","9,300,000","8,900,000","9,200,000","10,100,000","9,800,000","13,700,000","15,100,000","11,700,000","11,500,000","11,300,000","11,300,000","11,600,000","5,100,000","5,300,000","6,700,000","8,600,000","11,900,000","19,000,000","34,800,000","38,100,000","57,000,000","195,400,000","28,100,000",,,,,,,,,,,,,,,,,,,
		Receivables,"18,583,000,000","18,355,000,000","20,140,000,000","20,198,000,000","19,181,000,000","18,877,000,000","19,285,000,000","17,768,000,000","19,950,000,000","18,831,000,000","18,984,000,000","19,287,000,000","18,246,000,000","18,932,000,000","19,213,000,000","19,093,000,000","17,711,000,000","20,015,000,000","19,627,000,000","19,132,000,000","18,215,000,000","18,198,000,000","18,308,000,000","18,334,000,000","17,980,000,000","17,402,000,000","16,798,000,000","16,684,000,000","15,914,000,000","16,581,000,000","15,391,000,000","14,920,000,000","14,193,000,000","10,750,000,000","10,321,000,000","10,013,000,000","9,975,000,000","9,962,000,000","9,823,000,000","9,564,000,000","9,977,000,000","9,673,000,000","9,525,000,000","9,372,000,000","9,187,000,000","8,175,000,000","7,832,000,000","8,075,000,000","8,319,000,000","7,838,000,000","7,532,000,000","7,774,000,000","7,588,000,000","7,025,000,000","7,214,000,000","7,213,000,000","7,465,000,000","6,820,000,000","6,790,000,000","6,566,000,000","6,427,000,000","5,983,000,000","6,249,000,000","6,370,000,000","6,380,000,000","5,855,000,000","5,782,000,000","5,731,500,000","5,615,600,000","5,561,800,000","5,448,400,000","5,418,800,000","5,346,000,000","4,945,200,000","5,090,500,000","4,594,700,000","3,801,300,000","4,405,900,000","4,197,100,000","4,001,500,000","3,604,200,000","3,657,000,000","3,404,400,000","3,443,400,000","3,541,900,000","3,221,400,000","3,100,800,000","3,034,500,000","2,730,100,000","2,743,600,000","2,532,400,000","2,583,700,000","2,046,800,000","1,948,700,000","1,732,000,000","1,380,400,000","1,520,500,000","1,332,800,000","1,248,000,000","1,224,500,000","1,184,000,000","989,200,000","866,800,000","781,400,000","875,700,000","809,500,000","793,500,000","778,600,000","1,322,600,000"
			AccountsReceivable,"16,438,000,000","18,355,000,000","20,140,000,000","20,198,000,000","17,106,000,000","18,877,000,000","19,285,000,000","17,768,000,000","17,201,000,000","18,831,000,000","18,984,000,000","19,287,000,000","14,941,000,000","18,932,000,000","19,213,000,000","19,093,000,000","14,349,000,000","20,015,000,000","19,627,000,000","19,132,000,000","14,602,000,000","18,198,000,000","18,308,000,000","18,334,000,000","14,519,000,000","17,402,000,000","16,798,000,000","16,684,000,000","13,117,000,000","16,581,000,000","15,391,000,000","14,920,000,000","12,543,000,000","10,750,000,000","10,321,000,000","10,013,000,000","8,683,000,000","9,962,000,000",,,"9,977,000,000",,,,"7,982,000,000",,,,,,,,"7,588,000,000","7,025,000,000","7,214,000,000","6,229,000,000","7,465,000,000","6,820,000,000","6,790,000,000","5,613,000,000","6,427,000,000","5,983,000,000","6,249,000,000","6,370,000,000","6,380,000,000","5,855,000,000","5,782,000,000","5,731,500,000","5,615,600,000","5,561,800,000","5,448,400,000","5,418,800,000","5,346,000,000","4,945,200,000","5,090,500,000","4,594,700,000","3,801,300,000","4,405,900,000","4,197,100,000","4,001,500,000","3,604,200,000","3,657,000,000","3,404,400,000","3,443,400,000","3,541,900,000","3,221,400,000","3,100,800,000",,,,,,,,,,,,,,,,"866,800,000",,,,,,
				GrossAccountsReceivable,,,,,,"19,098,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,099,000,000",,,,"7,982,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,"-221,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-122,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"2,289,000,000",,,,"2,325,000,000",,,,"3,014,000,000",,,,"3,584,000,000",,,,"3,578,000,000",,,,"3,893,000,000",,,,"3,711,000,000",,,,"2,965,000,000",,,,"1,780,000,000",,,,"1,423,000,000",,,,,,,,"1,341,000,000",,,,,,,,,,,"984,000,000",,,,"953,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
