name,ttm,03/31/2022,12/31/2021,03/31/2021,12/31/2020
OperatingCashFlow,"-229,720,000","-81,494,000","-51,985,000","-42,208,000","-18,333,000"
	CashFlowFromContinuingOperatingActivities,"-229,720,000","-81,494,000","-51,985,000","-42,208,000","-18,333,000"
		NetIncomeFromContinuingOperations,"-130,511,000","-76,896,000","-40,427,000","-191,775,000","-125,683,000"
		OperatingGainsLosses,,"-13,190,000","-76,230,000",,
			GainLossOnInvestmentSecurities,,"-13,190,000","-76,230,000",,
		DepreciationAmortizationDepletion,"22,708,000","5,803,000","5,795,000","4,902,000","3,587,000"
			DepreciationAndAmortization,"22,708,000","5,803,000","5,795,000","4,902,000","3,587,000"
		ProvisionandWriteOffofAssets,"351,000","43,000","1,007,000","1,821,000","0"
		StockBasedCompensation,"72,018,000","17,559,000","36,967,000","164,962,000","90,158,000"
		OtherNonCashItems,"1,725,000","295,000","447,000","191,000","197,000"
		ChangeInWorkingCapital,"15,279,000","-15,108,000","20,456,000","-22,309,000","13,408,000"
			ChangeInReceivables,"-4,301,000","-11,132,000","-5,252,000","-1,296,000","-7,452,000"
				ChangesInAccountReceivables,"-4,301,000","-11,132,000","-5,252,000","-1,296,000","-7,452,000"
			ChangeInInventory,"-3,700,000","-2,904,000","-3,290,000","-9,828,000","-874,000"
			ChangeInPrepaidAssets,"-6,327,000","1,596,000","1,460,000","-6,327,000","1,982,000"
			ChangeInPayablesAndAccruedExpense,"25,897,000","3,932,000","21,231,000","3,951,000","15,342,000"
			ChangeInOtherCurrentAssets,"-2,012,000","-151,000","-1,844,000","0","1,000"
			ChangeInOtherCurrentLiabilities,"5,803,000","-6,584,000","6,614,000","-9,148,000","5,892,000"
			ChangeInOtherWorkingCapital,"-81,000","135,000","1,537,000","339,000","-1,483,000"
InvestingCashFlow,"-19,705,000","-3,913,000","-7,693,000","-4,994,000","-11,499,000"
	CashFlowFromContinuingInvestingActivities,"-19,705,000","-3,913,000","-7,693,000","-4,994,000","-11,499,000"
		NetPPEPurchaseAndSale,"-8,703,000","-1,378,000","-5,056,000","-2,075,000","-6,784,000"
			PurchaseOfPPE,"-8,703,000","-1,378,000","-5,056,000","-2,075,000","-6,784,000"
		NetIntangiblesPurchaseAndSale,"-11,002,000","-2,535,000","-2,637,000","-2,919,000","-4,715,000"
			PurchaseOfIntangibles,"-11,002,000","-2,535,000","-2,637,000","-2,919,000","-4,715,000"
FinancingCashFlow,"495,847,000","-160,000","-1,029,000","-2,278,000","9,114,000"
	CashFlowFromContinuingFinancingActivities,"495,847,000","-160,000","-1,029,000","-2,278,000","9,114,000"
		NetIssuancePaymentsOfDebt,"-12,885,000","-862,000","-768,000","-1,446,000","9,116,000"
			NetLongTermDebtIssuance,"-12,885,000","-862,000","-768,000","-1,446,000","9,116,000"
				LongTermDebtIssuance,,,"0",,"9,928,000"
				LongTermDebtPayments,"-12,885,000","-862,000","-768,000","-1,446,000","-812,000"
		NetCommonStockIssuance,,,"0",,"0"
			CommonStockIssuance,,,"0",,"0"
		NetPreferredStockIssuance,,,"0",,"-2,000"
			PreferredStockIssuance,,,"0",,"-2,000"
		ProceedsFromStockOptionExercised,"1,551,000","702,000","276,000","422,000","0"
		NetOtherFinancingCharges,,,"-537,000","-1,254,000",
EndCashPosition,"315,902,000","315,902,000","401,469,000","69,480,000","118,960,000"
	ChangesInCash,"246,422,000","-85,567,000","-60,707,000","-49,480,000","-20,718,000"
	BeginningCashPosition,"69,480,000","401,469,000","462,176,000","118,960,000","139,678,000"
IncomeTaxPaidSupplementalData,,"168,000",,"0",
InterestPaidSupplementalData,,"607,000",,"723,000",
CapitalExpenditure,"-19,705,000","-3,913,000","-7,693,000","-4,994,000","-11,499,000"
IssuanceOfCapitalStock,,,"0",,"-2,000"
IssuanceOfDebt,,,"0",,"9,928,000"
RepaymentOfDebt,"-12,885,000","-862,000","-768,000","-1,446,000","-812,000"
FreeCashFlow,"-249,425,000","-85,407,000","-59,678,000","-47,202,000","-29,832,000"
