name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
TotalRevenue,"756,065,000","254,102,000","228,451,000","151,333,000","120,416,000","119,589,000","121,800,000","101,487,000","75,600,000","78,756,000","77,386,000","69,629,000","66,233,000","63,010,000","58,042,000"
	OperatingRevenue,"756,065,000","254,102,000","228,451,000","151,333,000","120,416,000","119,589,000","121,800,000","101,487,000","75,600,000","78,756,000","77,386,000","69,629,000","66,233,000","63,010,000","58,042,000"
CostOfRevenue,"571,433,000","206,343,000","192,640,000","104,528,000","67,922,000","70,092,000","71,179,000","58,781,000","53,450,000","51,550,000","49,032,000","41,420,000","39,386,000","37,780,000","35,742,000"
GrossProfit,"184,632,000","47,759,000","35,811,000","46,805,000","52,494,000","49,497,000","50,621,000","42,706,000","22,150,000","27,206,000","28,354,000","28,209,000","26,847,000","25,230,000","22,300,000"
OperatingExpense,"488,364,000","140,388,000","131,660,000","119,495,000","95,058,000","81,878,000","53,417,000","53,528,000","50,863,000","56,234,000","47,316,000","43,887,000","38,157,000","33,393,000","42,205,000"
	SellingGeneralAndAdministration,"427,582,000","119,495,000","112,871,000","107,450,000","87,766,000","77,034,000","47,166,000","47,973,000","48,088,000","51,021,000","42,488,000","40,242,000","35,061,000","30,694,000","39,627,000"
		GeneralAndAdministrativeExpense,"355,818,000","97,036,000","88,516,000","93,070,000","77,196,000","64,345,000","39,046,000","40,059,000","38,311,000","39,866,000","31,798,000","27,778,000","26,970,000","22,419,000","28,212,000"
			OtherGandA,"355,818,000","97,036,000","88,516,000","93,070,000","77,196,000","64,345,000","39,046,000","40,059,000","38,311,000","39,866,000","31,798,000","27,778,000","26,970,000","22,419,000","28,212,000"
		SellingAndMarketingExpense,"71,764,000","22,459,000","24,355,000","14,380,000","10,570,000","12,689,000","8,120,000","7,914,000","9,777,000","11,155,000","10,690,000","12,464,000","8,091,000","8,275,000","11,415,000"
	DepreciationAmortizationDepletionIncomeStatement,"60,782,000","20,893,000","20,552,000","12,045,000","7,292,000","6,607,000","6,251,000","5,735,000","5,175,000","5,213,000","4,828,000","3,645,000","3,096,000","2,699,000","2,578,000"
		DepreciationAndAmortizationInIncomeStatement,"60,782,000","20,893,000","20,552,000","12,045,000","7,292,000","6,607,000","6,251,000","5,735,000","5,175,000","5,213,000","4,828,000","3,645,000","3,096,000","2,699,000","2,578,000"
	OtherOperatingExpenses,,,,,,"-1,763,000","0","-180,000","-2,400,000",,,,,,
OperatingIncome,"-303,732,000","-92,629,000","-95,849,000","-72,690,000","-42,564,000","-32,381,000","-2,796,000","-10,822,000","-28,713,000","-29,028,000","-18,962,000","-15,678,000","-11,310,000","-8,163,000","-19,905,000"
NetNonOperatingInterestIncomeExpense,"-15,183,000","-4,962,000","-3,529,000","-3,929,000","-2,763,000","-2,738,000","-5,584,000","-5,412,000","-1,610,000","981,000","741,000","980,000","1,111,000","1,192,000","1,268,000"
