name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,03/31/2011
TotalAssets,"316,942,000","315,537,000","210,393,000","211,422,000","214,492,000","207,616,000","200,082,000","211,283,000","218,207,000","215,046,000","164,408,000","160,155,000","158,477,000","145,069,000","150,100,000","148,647,000","153,044,000","152,034,000","158,253,000","167,512,000","167,126,000","167,536,000","118,827,000","68,455,000","60,530,000","52,848,000","43,121,000"
	CurrentAssets,"242,556,000","255,802,000","163,060,000","165,673,000","173,729,000","171,364,000","164,171,000","175,237,000","180,980,000","176,769,000","126,418,000","120,492,000","117,313,000","121,214,000","125,465,000","127,634,000","131,448,000","129,802,000","136,486,000","145,743,000","146,258,000","148,726,000","101,643,000","50,425,000","42,986,000","35,942,000","36,812,000"
		CashCashEquivalentsAndShortTermInvestments,"165,267,000","193,346,000","113,343,000","111,963,000","119,347,000","106,089,000","105,120,000","120,907,000","119,219,000","116,495,000","63,082,000","59,798,000","56,647,000","56,073,000","54,662,000","52,807,000","57,873,000","58,116,000","62,474,000","74,516,000","83,542,000","100,541,000","61,998,000","14,432,000","14,822,000","10,121,000","12,052,000"
			CashAndCashEquivalents,"63,543,000","123,903,000","65,190,000","51,175,000","49,796,000","23,636,000","40,063,000","97,488,000","83,722,000","66,898,000","16,931,000","22,153,000","18,661,000","17,530,000","17,593,000","15,500,000","28,000,000","19,285,000","17,558,000","14,832,000","7,307,000","33,636,000","47,935,000","14,432,000","14,822,000","10,121,000","11,752,000"
				CashFinancial,,,,,,,,,,,,,,,"3,557,000","2,492,000","8,731,000","7,892,000","6,976,000","4,238,000","2,448,000","10,667,000","12,052,000",,,,
				CashEquivalents,,,,,,,,,,,,,,,"14,036,000","13,008,000","19,269,000","11,393,000","10,582,000","10,594,000","4,859,000","22,968,000","35,883,000",,,,
			OtherShortTermInvestments,"101,724,000","69,443,000","48,153,000","60,788,000","69,551,000","82,453,000","65,057,000","23,419,000","35,497,000","49,597,000","46,151,000","37,645,000","37,986,000","38,543,000","37,069,000","37,307,000","29,873,000","38,831,000","44,916,000","59,684,000","76,235,000","66,905,000","14,063,000",,,,"300,000"
		Receivables,"38,533,000","35,449,000","27,045,000","25,976,000","23,505,000","25,003,000","17,730,000","15,454,000","28,106,000","23,735,000","24,803,000","21,260,000","17,958,000","18,462,000","19,588,000","20,016,000","17,023,000","22,244,000","25,610,000","25,514,000","21,052,000","17,447,000","17,531,000","15,623,000","12,361,000","12,889,000","9,501,000"
			AccountsReceivable,"38,533,000","35,449,000","27,045,000","25,976,000","23,505,000","25,003,000","17,730,000","15,454,000","28,106,000","23,735,000","24,803,000","21,260,000","17,958,000","18,462,000","19,588,000","20,016,000","17,023,000","22,244,000","25,610,000","25,514,000","21,052,000","17,447,000","17,531,000","15,623,000","12,361,000","12,889,000","9,501,000"
				GrossAccountsReceivable,,"36,581,000",,,,"25,536,000",,,,"25,016,000",,,,"19,013,000",,,,"25,869,000",,,,"17,731,000",,,"12,675,000","13,174,000",
				AllowanceForDoubtfulAccountsReceivable,,"-1,132,000",,,,"-533,000",,,,"-1,281,000",,,,"-551,000",,,,"-3,625,000",,,,"-284,000",,,"-314,000","-285,000",
			OtherReceivables,,,,,,,,,,,,,,,,,,,"0",,,,,,,,
		Inventory,"31,561,000","21,958,000","18,434,000","24,064,000","28,067,000","36,329,000","37,982,000","37,091,000","31,763,000","34,153,000","36,274,000","37,910,000","41,219,000","44,725,000","49,195,000","53,278,000","54,706,000","47,083,000","45,817,000","43,419,000","39,189,000","27,734,000","20,486,000","19,228,000","13,748,000","11,837,000","14,392,000"
			RawMaterials,"9,308,000","6,305,000","5,047,000","4,639,000","5,029,000","5,275,000","4,167,000","4,366,000","7,609,000","5,579,000","5,681,000","4,529,000","3,787,000","3,858,000","2,519,000","3,345,000","2,852,000","1,351,000","2,108,000","3,270,000","9,368,000","5,482,000","1,839,000","4,234,000","2,499,000","852,000","5,877,000"
