name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,03/31/2005
OperatingCashFlow,"-190,401,000","-49,913,000","-48,051,000","-45,556,000","-46,881,000","-43,429,000","-54,947,000","-47,850,000","-24,258,000","-30,506,000","-12,282,000","-11,324,000","-11,540,000","-6,478,000","-6,265,000","-5,238,000","-5,360,000","-8,644,000","-5,945,000","-4,951,000","-7,650,000","-3,771,000","-5,280,033","6,956,413","-7,070,000","-12,214,000","-19,337,000","-15,602,000","-17,730,000","-18,775,000","-19,215,000","-18,566,000","-20,874,000","-20,270,000","-18,690,000","-16,588,000","-19,919,000","-22,214,000","-12,523,000","-13,263,000","-13,095,000","-15,254,000","-10,486,000","-11,821,000","-12,154,000","-12,839,000","-8,212,000","-8,425,000","-8,973,000","-12,589,000","-7,265,000","-8,250,000","-23,521,000","12,226,000","16,552,000","-19,830,000","-18,941,000","-15,720,000","68,373,000","-15,406,000","-12,567,000","-13,178,000","-11,016,000","-13,367,000"
	CashFlowFromContinuingOperatingActivities,"-190,401,000","-49,913,000","-48,051,000","-45,556,000","-46,881,000","-43,429,000","-54,947,000","-47,850,000","-24,258,000","-30,506,000","-12,282,000","-11,324,000","-11,540,000","-6,478,000","-6,265,000","-5,238,000","-5,360,000","-8,644,000","-5,945,000","-4,951,000","-7,650,000","-3,771,000","-5,280,033","6,956,413","-7,070,000","-12,214,000","-19,337,000","-15,602,000","-17,730,000","-18,775,000","-19,215,000","-18,566,000","-20,874,000","-20,270,000","-18,690,000","-16,588,000","-19,919,000","-22,214,000","-12,523,000","-13,263,000","-13,095,000","-15,254,000","-10,486,000","-11,821,000","-12,154,000","-12,839,000","-8,212,000","-8,425,000","-8,973,000","-12,589,000","-7,265,000","-8,250,000","-23,521,000","12,226,000","16,552,000","-19,830,000","-18,941,000","-15,720,000","68,373,000","-15,406,000","-12,567,000","-13,178,000","-11,016,000","-13,367,000"
		NetIncomeFromContinuingOperations,"-246,818,000","-57,518,000","-64,549,000","-63,100,000","-61,651,000","-52,546,000","-59,123,000","-57,963,000","-49,023,000","-36,135,000","-27,740,000","-21,429,000","-19,699,000","-15,080,000","-11,475,000","-8,512,000","-6,460,000","-6,364,000","-8,445,000","-8,363,000","-8,347,000","-5,999,000","-7,749,269","-8,735,589","-3,379,000","-6,524,000","-10,536,000","-17,628,000","-19,800,000","-20,707,000","-20,352,000","-19,966,000","-22,286,000","-23,557,000","-24,162,000","-22,515,000","-22,787,000","-20,728,000",,,,,,,,"-11,401,000","-8,823,000","-10,262,000","-9,074,000","-9,308,000","-7,037,000","118,119,000","-8,495,000","-23,499,000","-25,953,000","-26,321,000","-22,694,000","-17,650,000","-15,524,000","-14,876,000","-16,740,000","-16,355,000","-12,487,000","-17,857,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"908,000"
		DepreciationAmortizationDepletion,"399,000","107,000","106,000","97,000","89,000","113,000","116,000","115,000","115,000","125,000","28,000","28,000","28,000","28,000","25,000","24,000","24,000","23,000","60,000","9,000",,,,,"96,000","46,000","159,000","166,000","168,000","169,000","169,000","167,000","169,000","168,000","143,000","148,000","125,000","100,000","115,000","170,000","223,000","230,000","291,000","350,000","384,000","439,000","463,000","473,000","482,000","515,000","515,000","604,000","651,000","693,000","682,000","729,000","628,000","678,000","879,000","826,000","848,000","798,000","827,000","430,000"
			DepreciationAndAmortization,"399,000","107,000","106,000","97,000","89,000","113,000","116,000","115,000","115,000","125,000","28,000","28,000","28,000","28,000","25,000","24,000","24,000","23,000","60,000","9,000",,,,,"96,000","46,000","159,000","166,000","168,000","169,000","169,000","167,000","169,000","168,000","143,000","148,000","125,000","100,000","115,000","170,000","223,000","230,000","291,000","350,000","384,000","439,000","463,000","473,000","482,000","515,000","515,000","604,000","651,000","693,000","682,000","729,000","628,000","678,000","879,000","826,000","848,000","798,000","827,000","430,000"
		StockBasedCompensation,"28,254,000","7,477,000","6,356,000","6,242,000","8,179,000","6,096,000","5,134,000","5,061,000","5,689,000","4,846,000","4,032,000","4,950,000","7,755,000","6,022,000","5,119,000","4,976,000","2,227,000","1,167,000","947,000","1,029,000","676,000","602,000","576,235","7,109,939","545,000","448,000","579,000","1,168,000","843,000","1,710,000","1,766,000","1,566,000","1,513,000","2,586,000","1,540,000","1,683,000","1,591,000","1,216,000","963,000","801,000","731,000","827,000","848,000","867,000","812,000","827,000","863,000","963,000","1,135,000","1,087,000","1,115,000","1,252,000","1,047,000","1,165,000",,,,,,,,,,
		OtherNonCashItems,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,"-14,996,000","-14,620,000","-15,051,000",,"-12,734,000",,,,,,,,,,,"1,756,000","1,922,000","1,758,000","2,136,000","1,516,000","994,000","1,495,000","1,412,000","1,206,000",
		ChangeInWorkingCapital,"27,764,000","21,000","10,036,000","11,205,000","6,502,000","2,908,000","-1,074,000","4,937,000","18,961,000","658,000","11,398,000","5,127,000","376,000","2,552,000","66,000","-1,726,000","-1,151,000","-3,470,000","1,493,000","2,374,000","13,000","1,626,000","1,892,845","7,426,210","-4,241,000","-6,184,000","-9,539,000","692,000","1,059,000","53,000","-798,000","-333,000","-270,000","533,000","3,789,000","4,096,000","1,152,000","-2,802,000","4,522,000","762,000","571,000","-1,260,000","-882,000","-304,000","-848,000","-2,704,000","-715,000","401,000","-1,516,000","-4,883,000","-1,858,000","-128,225,000","-16,724,000","33,867,000","40,067,000","3,840,000","1,367,000","-884,000","81,502,000","-2,350,000","1,830,000","967,000","-562,000","3,152,000"
			ChangeInReceivables,,,,,,,,,,,,,,,,,,,"0","0","0","0","0",,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","116,000","73,000","-51,000","258,000","-396,000","0","907,000","-907,000","16,000,000",,,,,,,,,,
				ChangesInAccountReceivables,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
