name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,12/31/1997
TotalAssets,"39,051,000,000","39,040,000,000","39,004,000,000","38,973,000,000","38,752,000,000","38,768,000,000","38,786,000,000","40,901,000,000","38,616,000,000","32,621,000,000","38,344,000,000","38,147,000,000","37,778,000,000","32,785,000,000","32,644,000,000","32,374,000,000","32,250,000,000","32,229,570,000","31,011,756,000","24,483,624,000","23,776,842,000","22,675,092,000","22,171,723,000","22,153,074,000","21,718,251,000","22,036,245,000","21,995,644,000","21,011,629,000","21,105,477,000","21,143,276,000","20,784,860,000","20,672,059,000","20,569,666,000","20,594,908,000","15,567,572,000","15,392,585,000","15,372,505,000","16,088,709,000","12,736,419,000","12,597,676,000","12,124,656,000","10,545,096,000","10,443,215,000","10,385,320,000","10,397,194,000","10,469,529,000","10,653,242,000","10,352,414,000","10,560,509,000","10,956,606,000","10,483,219,000","10,552,413,000","10,749,903,000","10,361,722,000","10,449,865,000","10,477,820,000","10,470,363,000","10,488,133,000","10,506,316,000","10,621,023,000","10,628,109,000","5,006,168,000","4,519,603,000","4,562,118,000","4,130,756,000","4,131,317,000","4,162,971,000","4,197,797,000","4,303,369,000","4,571,522,000","4,972,678,000","6,370,206,000","6,446,880,000","6,737,591,000","6,430,707,000","6,754,321,000","6,759,054,000","6,892,601,000","7,044,465,000","7,300,035,000","7,282,478,000","7,375,458,000","7,523,189,000","7,471,826,000","6,868,546,000","6,439,841,000","6,307,154,000","4,871,660,000","4,212,512,000","3,836,700,000","3,581,600,000","3,029,100,000","2,123,700,000","1,523,200,000","1,369,900,000","418,800,000","371,400,000"
	CurrentAssets,"1,261,000,000","1,254,000,000","1,332,000,000","1,329,000,000","1,176,000,000","1,104,000,000","1,184,000,000","3,436,000,000","1,247,000,000","1,249,000,000","1,253,000,000","1,294,000,000","1,193,000,000","1,229,000,000","1,249,000,000","1,164,000,000","1,074,000,000","1,133,780,000","7,474,555,000","951,335,000","916,449,000","1,324,761,000","839,675,000","817,615,000","820,882,000","981,245,000","1,024,371,000","1,117,560,000","927,514,000","931,502,000","978,795,000","947,746,000","852,268,000","892,683,000","999,803,000","880,066,000","865,415,000","1,581,324,000","777,376,000","739,110,000","1,648,009,000","599,152,000","522,280,000","511,942,000","516,071,000","545,145,000","754,305,000","672,219,000","814,069,000","1,196,033,000","675,293,000","741,234,000","936,779,000","485,168,000","507,274,000","539,274,000","543,360,000","497,255,000","421,420,000","374,372,000","410,470,000","800,027,000","231,312,000","701,449,000","260,179,000","221,295,000","207,521,000","390,990,000","436,384,000","637,314,000","989,245,000","2,328,805,000","355,102,000","641,760,000","438,655,000","706,747,000","787,009,000","867,081,000","991,300,000","1,124,720,000","1,202,590,000","1,216,061,000","1,057,248,000","1,087,241,000","1,091,250,000","772,134,000","1,025,173,000","473,747,000","635,391,000","662,000,000","574,800,000","767,500,000","154,800,000","342,100,000","243,900,000","65,400,000","67,200,000"
		CashCashEquivalentsAndShortTermInvestments,"312,000,000","292,000,000","357,000,000","339,000,000","254,000,000","232,000,000","242,000,000","2,514,000,000","310,000,000","323,000,000","182,000,000","288,000,000","245,000,000","277,000,000","323,000,000","206,000,000","220,000,000","314,094,000","6,719,134,000","199,663,000","205,192,000","567,599,000","156,219,000","202,338,000","175,702,000","178,810,000","184,116,000","338,609,000","240,153,000","175,620,000","238,550,000","227,479,000","200,537,000","223,394,000","218,649,000","126,886,000","160,865,000","441,364,000","118,903,000","96,175,000","1,063,684,000","80,120,000","75,524,000","108,116,000","82,320,000","112,531,000","303,979,000","242,087,000","397,496,000","766,146,000","268,831,000","334,989,000","609,337,000","155,219,000","73,104,000","98,754,000","97,232,000","75,245,000","119,802,000","92,432,000","124,536,000","592,716,000","66,084,000","522,595,000","97,431,000","65,408,000","71,350,000","258,962,000","383,077,000","567,148,000","908,505,000","232,503,000","171,485,000","462,427,000","255,672,000","523,158,000","555,214,000","631,869,000","684,123,000","788,835,000","852,481,000","877,565,000","610,195,000","696,534,000","754,441,000","491,833,000","816,938,000","332,049,000","509,505,000","549,300,000","492,200,000","705,900,000","101,800,000","296,500,000","201,300,000","51,300,000","55,100,000"
			CashAndCashEquivalents,"312,000,000","292,000,000","357,000,000","339,000,000","254,000,000","232,000,000","242,000,000","2,514,000,000","310,000,000","323,000,000","182,000,000","288,000,000","245,000,000","277,000,000","323,000,000","206,000,000","220,000,000","314,094,000","6,719,134,000","199,663,000","205,192,000","567,599,000","156,219,000","202,338,000","175,702,000","178,810,000","184,116,000","338,609,000","240,153,000","175,620,000","238,550,000","227,479,000","200,537,000","223,394,000","218,649,000","126,886,000","160,865,000","441,364,000","118,903,000","96,175,000","1,063,684,000","80,120,000","75,524,000","108,116,000","82,320,000","112,531,000","303,979,000","242,087,000","397,496,000","766,146,000","268,831,000","334,989,000","609,337,000","155,219,000","73,104,000","98,754,000","97,232,000","75,245,000","119,802,000","92,432,000","124,536,000","592,716,000","66,084,000","522,595,000","97,431,000","65,408,000","71,350,000","258,962,000","383,077,000","567,148,000","908,505,000","232,503,000","171,485,000","462,427,000","255,672,000","459,702,000","476,950,000","516,172,000","605,319,000","701,375,000","780,018,000","804,602,000","536,695,000","659,034,000","716,941,000","453,833,000","816,938,000","332,049,000","509,505,000","549,300,000","492,200,000","705,900,000","101,800,000","296,500,000","201,300,000","51,300,000","55,100,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,456,000","78,264,000","115,697,000","78,804,000","87,460,000","72,463,000","72,963,000","73,500,000","37,500,000","37,500,000","38,000,000",,,,,,,,,,,
		Receivables,"503,000,000","543,000,000","493,000,000","434,000,000","412,000,000","431,000,000","455,000,000","439,000,000","495,000,000","471,000,000","667,000,000","591,000,000","545,000,000","501,000,000","471,000,000","455,000,000","402,000,000","397,585,000","317,856,000","305,982,000","302,697,000","373,532,000","276,259,000","229,015,000","254,669,000","313,296,000","324,566,000","253,342,000","292,565,000","329,229,000","311,798,000","304,015,000","245,556,000","249,925,000","236,211,000","201,028,000","212,732,000","192,833,000","141,399,000","124,154,000","79,872,000","77,258,000","64,762,000","57,093,000","53,671,000","59,912,000","55,201,000","49,054,000","41,265,000","57,778,000","33,382,000","58,168,000","62,997,000","67,271,000","58,086,000","58,621,000","60,162,000","59,395,000","54,011,000","45,528,000","40,121,000","44,203,000","34,154,000","33,819,000","26,368,000","26,137,000","20,597,000","13,059,000","17,871,000","28,366,000","40,456,000","35,652,000","84,987,000","82,053,000","90,083,000","84,564,000","132,547,000","135,864,000","171,175,000","178,686,000","194,231,000","190,860,000","212,464,000","201,406,000","198,414,000","173,126,000","134,127,000","93,338,000","88,041,000","78,600,000","56,100,000","41,100,000","37,100,000","36,400,000","34,500,000","11,600,000","10,100,000"
			AccountsReceivable,"503,000,000","543,000,000","493,000,000","434,000,000","412,000,000","431,000,000","455,000,000","439,000,000","495,000,000","471,000,000","667,000,000","591,000,000","545,000,000","501,000,000","471,000,000","455,000,000","402,000,000","397,585,000","317,856,000","305,982,000","302,697,000","373,532,000","276,259,000","229,015,000","254,669,000","313,296,000","324,566,000","253,342,000","292,565,000","329,229,000","311,798,000","304,015,000","245,556,000","249,925,000","236,211,000","201,028,000","212,732,000","192,833,000",,,,"77,258,000",,,,"59,912,000","55,201,000",,,"44,431,000",,,,"37,621,000","29,147,000","30,157,000","35,331,000","33,842,000","29,656,000","20,732,000","18,477,000","23,024,000","16,265,000","16,564,000","12,165,000","13,054,000","10,383,000","8,941,000","8,293,000","16,369,000","29,977,000","34,116,000","83,252,000","80,659,000","89,121,000","82,862,000","123,610,000","125,950,000","163,289,000","170,752,000","186,311,000","188,496,000","212,464,000","198,746,000",,,,,,,,,,,,,
				GrossAccountsReceivable,,"560,000,000",,,,"448,000,000",,,,"489,000,000",,,,"515,000,000",,,,"411,331,000",,,,"384,846,000",,,,"322,870,000",,,,"339,530,000",,,,"257,601,000",,,,"200,559,000",,,,"83,149,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-17,000,000",,,,"-17,000,000",,,,"-18,000,000",,,,"-14,000,000",,,,"-13,746,000",,,,"-11,314,000",,,,"-9,574,000",,,,"-10,301,000",,,,"-7,676,000",,,,"-7,726,000",,,,"-5,891,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,347,000",,,,"29,650,000","28,939,000","28,464,000","24,831,000","25,553,000","24,355,000","24,796,000","21,644,000","21,179,000","17,889,000","17,255,000","14,203,000","13,083,000","10,214,000","4,118,000","9,578,000","11,997,000","10,479,000","1,536,000","1,735,000","1,394,000","962,000","1,702,000","8,937,000","9,914,000","7,886,000","7,934,000","7,920,000","2,364,000",,"2,660,000",,,,,,,,,,,,,
