name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,12/31/2005
TotalAssets,"210,653,000,000","206,563,000,000","202,125,000,000","204,124,000,000","203,332,000,000","200,162,000,000","192,443,000,000","187,199,000,000","87,226,000,000","86,921,000,000","86,109,000,000","84,788,000,000","83,073,000,000","72,468,000,000","70,182,000,000","69,692,000,000","72,004,000,000","70,563,000,000","67,923,000,000","67,159,000,000","68,048,000,000","65,891,000,000","64,272,000,000","63,968,000,000","63,063,000,000","62,436,000,000","58,473,000,000","57,188,000,000","56,558,000,000","56,653,000,000","55,115,000,000","51,664,000,000","50,169,000,000","49,953,000,000","45,767,000,000","44,734,000,000","13,662,546,000","10,189,415,000","10,071,909,000","9,729,632,000","9,509,207,000","9,482,931,000","9,279,601,000","9,101,027,000","8,648,307,000","7,918,580,000","8,320,613,000","7,479,122,000","7,456,550,000","7,386,017,000","7,162,889,000","7,010,539,000","6,971,209,000","6,422,148,000","6,277,975,000","6,078,779,000","5,900,591,000","5,806,130,000","5,765,180,000","5,666,345,000","4,272,212,000","4,153,122,000","2,626,174,000","2,346,292,000","2,158,981,000"
	CurrentAssets,"17,455,000,000","20,891,000,000","16,772,000,000","20,570,000,000","18,779,000,000","23,885,000,000","19,465,000,000","24,321,000,000","9,487,000,000","9,305,000,000","8,458,000,000","8,114,000,000","8,745,000,000","8,281,000,000","7,286,000,000","7,091,000,000","9,609,000,000","8,915,000,000","7,449,000,000","6,780,000,000","15,899,000,000","14,217,000,000","13,530,000,000","14,280,000,000","13,344,000,000","14,890,000,000","12,656,000,000","11,657,000,000","11,635,000,000","13,984,000,000","13,295,000,000","9,896,000,000","12,957,000,000","12,228,000,000","7,964,000,000","7,313,000,000","6,772,704,000","3,187,303,000","3,184,822,000","2,895,800,000","2,767,350,000","2,743,593,000","2,549,818,000","2,568,302,000","2,229,510,000","1,593,885,000","2,245,754,000","1,487,525,000","1,538,031,000","1,491,391,000","1,469,271,000","1,394,361,000","1,409,330,000","1,043,884,000","1,276,925,000","1,321,505,000","1,524,275,000","1,732,884,000","1,949,374,000","1,978,710,000","767,738,000","758,527,000","489,496,000","534,920,000","612,102,000"
		CashCashEquivalentsAndShortTermInvestments,"3,245,000,000","6,631,000,000","4,055,000,000","7,793,000,000","6,677,000,000","10,385,000,000","6,571,000,000","11,076,000,000","1,112,000,000","1,528,000,000","1,653,000,000","1,105,000,000","1,439,000,000","1,203,000,000","329,000,000","215,000,000","2,527,000,000","1,219,000,000","739,000,000","181,000,000","7,501,000,000","5,500,000,000","5,352,000,000","5,538,000,000","6,572,000,000","7,580,000,000","2,633,000,000","2,642,000,000","3,032,000,000","5,315,000,000","5,787,000,000","3,080,000,000","5,471,000,000","5,891,000,000","2,365,000,000","2,362,000,000","2,701,281,000","2,613,292,000","2,565,282,000","2,348,554,000","2,216,149,000","2,243,254,000","2,140,742,000","2,155,948,000","1,658,951,000","1,171,393,000","1,902,416,000","1,076,399,000","1,189,431,000","1,154,313,000","1,180,506,000","1,094,643,000","1,075,337,000","697,948,000","1,020,392,000","1,128,937,000","1,310,729,000","1,470,208,000","1,706,439,000","1,767,274,000","539,671,000","552,756,000","345,811,000","420,539,000","503,181,000"
			CashAndCashEquivalents,"3,245,000,000","6,631,000,000","4,055,000,000","7,793,000,000","6,677,000,000","10,385,000,000","6,571,000,000","11,076,000,000","1,112,000,000","1,528,000,000","1,653,000,000","1,105,000,000","1,439,000,000","1,203,000,000","329,000,000","215,000,000","2,527,000,000","1,219,000,000","739,000,000","181,000,000","7,501,000,000","5,500,000,000","5,352,000,000","5,538,000,000","3,647,000,000","4,582,000,000","2,633,000,000","2,642,000,000","3,032,000,000","5,315,000,000","5,787,000,000","3,080,000,000","5,471,000,000","5,891,000,000","2,365,000,000","2,362,000,000","2,701,281,000","2,368,302,000","2,057,339,000","1,901,168,000","1,886,238,000","1,943,282,000","1,840,761,000","1,855,994,000","1,321,550,000","796,531,000","889,784,000","776,540,000","914,574,000","929,381,000","955,578,000","869,790,000","850,702,000","697,948,000","1,020,392,000","1,128,937,000","1,310,729,000","1,470,208,000","1,464,260,000","227,836,000","231,318,000","161,498,000","116,265,000","136,591,000","112,709,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,"0",,"0","2,925,000,000","2,998,000,000",,,,,,,,,,,"0","244,990,000","507,943,000","447,386,000","329,911,000","299,972,000","299,981,000","299,954,000","337,401,000","374,862,000","1,012,632,000","299,859,000","274,857,000","224,932,000","224,928,000","224,853,000","224,635,000",,,,,,"242,179,000","1,539,438,000","308,353,000","391,258,000","229,546,000","283,948,000","390,472,000"
		Receivables,"9,077,000,000","8,942,000,000","8,436,000,000","8,610,000,000","7,453,000,000","7,853,000,000","7,415,000,000","6,573,000,000","4,268,000,000","4,508,000,000","4,267,000,000","4,281,000,000","4,231,000,000","4,318,000,000","4,030,000,000","3,949,000,000","3,983,000,000","4,227,000,000","3,894,000,000","3,811,000,000","3,768,000,000","3,866,000,000","3,600,000,000","3,736,000,000","4,066,000,000","4,202,000,000","5,239,000,000","5,382,000,000","5,277,000,000","5,003,000,000","4,515,000,000","4,026,000,000","3,620,000,000","3,660,000,000","3,389,000,000","3,033,000,000","87,810,000","98,653,000","95,263,000","87,860,000","80,973,000","78,023,000","65,048,000","62,506,000","56,640,000","58,056,000","46,737,000","47,786,000","52,838,000","51,536,000","47,780,000","54,159,000","45,251,000","34,666,000","39,306,000","38,445,000","32,827,000","31,809,000","34,362,000","29,533,000","25,531,000","28,140,000","23,506,000","19,721,000","16,028,000"
			AccountsReceivable,"4,016,000,000","4,167,000,000","4,109,000,000","4,528,000,000","3,592,000,000","4,254,000,000","4,313,000,000","3,355,000,000","1,836,000,000","1,888,000,000","1,822,000,000","1,817,000,000","1,749,000,000","1,769,000,000","1,652,000,000","1,630,000,000","1,689,000,000","1,915,000,000","1,734,000,000","1,719,000,000","1,851,000,000","1,896,000,000","1,885,000,000","1,866,000,000","1,880,000,000","1,788,000,000","1,810,000,000","1,827,000,000","1,933,000,000","1,865,000,000","4,433,000,000","3,939,000,000","3,560,000,000","3,619,000,000","3,370,000,000","3,000,000,000","87,810,000","98,653,000","95,263,000","87,860,000","80,973,000","78,023,000","65,048,000","62,506,000","56,640,000","58,056,000","46,737,000","47,786,000","52,838,000","51,536,000","47,780,000","54,159,000","45,251,000","34,666,000","39,306,000","38,445,000","32,827,000","31,809,000","34,362,000","29,533,000","25,531,000","28,140,000","23,506,000","19,721,000","16,028,000"
				GrossAccountsReceivable,"4,180,000,000","4,313,000,000","4,238,000,000","4,651,000,000","3,735,000,000","4,448,000,000","4,521,000,000","3,538,000,000","1,905,000,000","1,949,000,000","1,883,000,000","1,878,000,000","1,812,000,000","1,836,000,000","1,722,000,000","1,700,000,000","1,765,000,000","2,001,000,000","1,820,000,000","1,802,000,000","1,951,000,000","1,998,000,000","1,996,000,000","1,991,000,000","1,996,000,000","1,904,000,000","1,911,000,000","1,918,000,000","2,021,000,000","1,948,000,000","4,898,000,000","4,412,000,000","3,980,000,000","4,000,000,000","3,700,000,000","3,322,000,000","88,141,000","99,129,000","95,753,000","88,499,000","81,532,000","78,624,000","65,659,000","63,000,000",,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-164,000,000","-146,000,000","-129,000,000","-123,000,000","-143,000,000","-194,000,000","-208,000,000","-183,000,000","-69,000,000","-61,000,000","-61,000,000","-61,000,000","-63,000,000","-67,000,000","-70,000,000","-70,000,000","-76,000,000","-86,000,000","-86,000,000","-83,000,000","-100,000,000","-102,000,000","-111,000,000","-125,000,000","-116,000,000","-116,000,000","-101,000,000","-91,000,000","-88,000,000","-83,000,000","-465,000,000","-473,000,000","-420,000,000","-381,000,000","-330,000,000","-322,000,000","-331,000","-476,000","-490,000","-639,000","-559,000","-601,000","-611,000","-494,000",,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,"27,000,000","21,000,000","18,000,000","20,000,000","22,000,000","19,000,000","24,000,000","26,000,000","20,000,000","20,000,000","18,000,000","16,000,000","11,000,000","12,000,000","11,000,000","13,000,000","22,000,000","24,000,000","32,000,000","37,000,000","40,000,000","46,000,000","39,000,000","37,000,000","36,000,000","32,000,000","52,000,000","85,000,000","76,000,000","82,000,000","87,000,000","60,000,000","41,000,000","19,000,000","33,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
