name,ttm,03/31/2022,03/31/2021
OperatingCashFlow,"-1,252,975","137,876","-265,724"
	CashFlowFromContinuingOperatingActivities,"-1,252,975","137,876","-265,724"
		NetIncomeFromContinuingOperations,"-2,707,304","-726,346","-509,541"
		DepreciationAmortizationDepletion,"758,218","191,806","185,371"
			DepreciationAndAmortization,"758,218","191,806","185,371"
				Depreciation,"758,218","191,806","185,371"
		StockBasedCompensation,"260,000","0","100,000"
		ChangeInWorkingCapital,"436,111","672,416","-41,554"
			ChangeInPrepaidAssets,"-107,022","47,666","5,535"
			ChangeInPayablesAndAccruedExpense,"543,133","624,750","-47,089"
				ChangeInPayable,"594,103","589,972","-34,534"
					ChangeInAccountPayable,"594,103","589,972","-34,534"
				ChangeInAccruedExpense,"-50,970","34,778","-12,555"
InvestingCashFlow,"-1,124,982","-822,265","0"
	CashFlowFromContinuingInvestingActivities,"-1,124,982","-822,265","0"
		NetPPEPurchaseAndSale,"-1,124,982","-822,265","0"
			PurchaseOfPPE,"-1,124,982","-822,265","0"
FinancingCashFlow,"2,750,160","50,000","439,434"
	CashFlowFromContinuingFinancingActivities,"2,750,160","50,000","439,434"
		NetCommonStockIssuance,"2,750,001","50,000","429,999"
			CommonStockIssuance,"2,750,001","50,000","429,999"
		NetOtherFinancingCharges,,,"9,435"
EndCashPosition,"648,176","648,176","275,973"
	ChangesInCash,"372,203","-634,389","173,710"
	BeginningCashPosition,"275,973","1,282,565","102,263"
IncomeTaxPaidSupplementalData,"0","0","0"
InterestPaidSupplementalData,"1,568","0","0"
CapitalExpenditure,,"-822,265",
IssuanceOfCapitalStock,"2,750,001","50,000","429,999"
FreeCashFlow,"-2,377,957","-684,389","-265,724"
