name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
OperatingCashFlow,"-203,721,000","-68,237,000","-45,436,000","-48,878,000","-41,170,000","-49,328,000","-9,975,000","-37,588,000","-26,721,000","-40,809,000","-50,267,000","-31,935,000","-24,892,000","-30,256,000","-21,481,000","-17,130,000","-6,047,000","5,000","0"
	CashFlowFromContinuingOperatingActivities,"-203,721,000","-68,237,000","-45,436,000","-48,878,000","-41,170,000","-49,328,000","-9,975,000","-37,588,000","-26,721,000","-40,809,000","-50,267,000","-31,935,000","-24,892,000","-30,256,000","-21,481,000","-17,130,000","-6,047,000","5,000","0"
		NetIncomeFromContinuingOperations,"-303,840,000","-79,850,000","-74,868,000","-78,186,000","-70,936,000","-33,015,000","-68,570,000","-66,197,000","-60,974,000","-54,480,000","-61,030,000","-50,735,000","-41,243,000","-31,586,000","-30,509,000","-43,497,000","-134,902,000","-2,597,000","-2,000"
		OperatingGainsLosses,"6,919,000","3,800,000","1,678,000","909,000","532,000","325,000","778,000","161,000","151,000","64,000",,,,,,,,,
			EarningsLossesFromEquityInvestments,"6,919,000","3,800,000","1,678,000","909,000","532,000","325,000","778,000","161,000","151,000","64,000",,,,,,,,,
		DepreciationAmortizationDepletion,"12,228,000","3,692,000","4,242,000","2,330,000","1,964,000","1,918,000","1,844,000","1,810,000","1,888,000","2,044,000","1,855,000","1,328,000","1,149,000","695,000","547,000","503,000","450,000","0","0"
			DepreciationAndAmortization,"12,228,000","3,692,000","4,242,000","2,330,000","1,964,000","1,918,000","1,844,000","1,810,000","1,888,000","2,044,000","1,855,000","1,328,000","1,149,000","695,000","547,000","503,000","450,000","0",
				Depreciation,,,"4,242,000","2,330,000","1,964,000","1,918,000","1,844,000","1,810,000","1,888,000","1,893,000","1,704,000","1,177,000","999,000","544,000","397,000","352,000","299,000","0","0"
				AmortizationCashFlow,,,"0","0","0","0","0","0","0","151,000","151,000","151,000","150,000","151,000","150,000","151,000","151,000","0","0"
					AmortizationOfIntangibles,,,"0","0","0","0","0","0","0","151,000","151,000","151,000","150,000","151,000","150,000","151,000","151,000","0","0"
