name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
OperatingCashFlow,"249,700,000","30,900,000","46,000,000","90,300,000","82,500,000","46,000,000","11,300,000","5,200,000","44,700,000","600,000","70,600,000","-700,000","-27,100,000","71,100,000","24,300,000","15,100,000","-11,200,000","-9,900,000","25,200,000","18,600,000","5,000,000","-27,900,000","-17,618,000","-16,710,000","-53,655,000","1,123,000","-30,283,000","25,654,000","-4,942,000","-14,241,000","-45,386,000","41,435,000","-52,950,000","-20,335,000","9,434,000","17,304,000","21,592,000","6,093,000","7,392,000","15,613,000","-8,319,000","14,480,000","13,739,000","31,133,000","16,844,000","-45,310,000","24,992,000","9,343,000","7,744,000","-10,083,000","13,536,000","13,216,000","11,997,000","-23,650,000","10,876,000","18,737,000"
	CashFlowFromContinuingOperatingActivities,"249,700,000","30,900,000","46,000,000","90,300,000","82,500,000","46,000,000","11,300,000","5,200,000","44,700,000","600,000","70,600,000","-700,000","-27,100,000","71,100,000","24,300,000","15,100,000","-11,200,000","-9,900,000","25,200,000","18,600,000","5,000,000","-27,900,000","-17,618,000","-16,710,000","-53,655,000","1,123,000","-30,283,000","25,654,000","-4,942,000","-14,241,000","-45,386,000","41,435,000","-52,950,000","-20,335,000","9,434,000","17,304,000","21,592,000","6,093,000","7,392,000","15,613,000","-8,319,000","14,480,000","13,739,000","31,133,000","16,844,000","-45,310,000","24,992,000","9,343,000","7,744,000","-10,083,000","13,536,000","13,216,000","11,997,000","-23,650,000","10,876,000","18,737,000"
		NetIncomeFromContinuingOperations,"100,800,000","29,400,000","36,000,000","17,000,000","18,400,000","25,800,000","78,600,000","5,200,000","15,100,000","18,200,000","7,800,000","9,200,000","-5,200,000","200,000","-5,700,000","-13,400,000","-2,900,000","-23,300,000","-40,200,000","-3,600,000","-6,700,000","-8,300,000","13,126,000","37,333,000","-40,791,000","167,403,000","5,447,000","-32,970,000","-26,288,000","-30,445,000","-17,651,000","9,553,000","-16,799,000","-54,723,000","6,386,000","-37,571,000","187,733,000","-26,465,000",,,,,,,,"160,000","5,528,000","2,858,000","3,918,000","314,000","5,106,000","4,270,000","5,852,000","-638,000","-516,000","2,353,000"
		OperatingGainsLosses,"1,000,000","2,000,000","-100,000","-900,000","0","600,000","-43,800,000","600,000",,,"100,000","0",,,"-400,000","100,000",,,"0","0",,,,,,,,,,,"1,370,000","11,000","0","223,000",,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"1,000,000","2,000,000",,,"0","600,000","11,900,000","600,000",,,,,,,,,,,,,,,,,,,,,,"0",,,,"223,000",,,,"0",,,,,,,,,,,,"0",,,,"0",,
		DepreciationAmortizationDepletion,"78,500,000","18,900,000","20,700,000","21,300,000","17,600,000","17,900,000","17,800,000","17,300,000","17,900,000","15,700,000","15,800,000","14,100,000","12,900,000","12,900,000","11,200,000","14,200,000","8,500,000","4,900,000","4,800,000","4,500,000","3,800,000","3,200,000","2,893,000","2,673,000","2,361,000","2,271,000","1,906,000","2,738,000","2,101,000","1,717,000","1,768,000","1,403,000","1,471,000","1,405,000","1,592,000","1,709,000","1,771,000","1,751,000","-2,042,000","3,319,000","2,622,000","2,456,000","2,036,000","2,162,000","2,117,000","1,997,000","1,758,000","1,837,000","1,309,000","1,253,000","1,082,000","957,000","962,000","920,000","1,128,000","492,000"
			DepreciationAndAmortization,"78,500,000","18,900,000","20,700,000","21,300,000","17,600,000","17,900,000","17,800,000","17,300,000","17,900,000","15,700,000","15,800,000","14,100,000","12,900,000","12,900,000","11,200,000","14,200,000","8,500,000","4,900,000","4,800,000","4,500,000","3,800,000","3,200,000","2,893,000","2,673,000","2,361,000","2,271,000","1,906,000","2,738,000","2,101,000","1,717,000","1,768,000","1,403,000","1,471,000","1,405,000","1,592,000","1,709,000","1,771,000","1,751,000","-2,042,000","3,319,000","2,622,000","2,456,000","2,036,000","2,162,000","2,117,000","1,997,000","1,758,000","1,837,000","1,309,000","1,253,000","1,082,000","957,000","962,000","920,000","1,128,000","492,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"486,000",,,"151,000","305,000"
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"471,000",,,"977,000","187,000"
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"471,000",,,"977,000","187,000"
		DeferredTax,"25,400,000","7,300,000","5,000,000","7,500,000","5,600,000","4,900,000","-17,400,000","1,100,000","6,200,000","8,900,000","4,300,000","7,900,000","-13,200,000","-4,100,000","-1,300,000","-2,200,000","-22,800,000","12,300,000","35,300,000","-1,500,000","-3,600,000","-500,000","15,286,000","24,128,000","-30,352,000","112,772,000","5,877,000","-22,198,000","-16,565,000","-19,804,000","-15,358,000","5,357,000","-10,426,000","-28,800,000","8,832,000","-23,356,000","109,825,000","-15,945,000","-74,342,000","-1,731,000","1,390,000","-2,204,000","-8,751,000","0","0","0","-1,461,000","2,000","-2,067,000","-210,000","2,178,000","-3,082,000","-2,648,000","0","0","0"
			DeferredIncomeTax,"25,400,000","7,300,000","5,000,000","7,500,000","5,600,000","4,900,000","-17,400,000","1,100,000","6,200,000","8,900,000","4,300,000","7,900,000","-13,200,000","-4,100,000","-1,300,000","-2,200,000","-22,800,000","12,300,000","35,300,000","-1,500,000","-3,600,000","-500,000","15,286,000","24,128,000","-30,352,000","112,772,000","5,877,000","-22,198,000","-16,565,000","-19,804,000","-15,358,000","5,357,000","-10,426,000","-28,800,000","8,832,000","-23,356,000","109,825,000","-15,945,000","-74,342,000","-1,731,000","1,390,000","-2,204,000","-8,751,000","0","0","0","-1,461,000","2,000","-2,067,000","-210,000","2,178,000","-3,082,000","-2,648,000","0","0","0"
