name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993
OperatingCashFlow,"167,100,000","28,900,000","22,200,000","53,400,000","62,600,000","48,100,000","68,700,000","63,900,000","27,200,000","39,100,000","38,000,000","31,300,000","28,500,000","41,200,000","41,500,000","27,600,000","17,500,000","13,600,000","23,900,000","11,000,000","33,800,000","17,300,000","18,600,000","10,300,000","17,900,000","36,300,000","-1,000,000","-300,000","47,800,000","-22,900,000","16,600,000","40,800,000","50,200,000","42,500,000","54,400,000","29,500,000","57,100,000","28,200,000","59,400,000","43,100,000","37,300,000","13,200,000","45,700,000","22,900,000","56,000,000","52,900,000","60,700,000","35,700,000","46,900,000","16,300,000","38,900,000","17,100,000","17,500,000","30,900,000","11,700,000","47,300,000","64,500,000","45,800,000","50,700,000","36,200,000","39,900,000","27,700,000","10,000,000","-16,300,000","-800,000","-33,600,000","3,000,000","-49,800,000","-26,100,000","-21,600,000","-33,400,000","-59,800,000","-33,100,000","-32,400,000","7,400,000","-77,100,000","-52,500,000","-50,900,000","-60,200,000","-56,400,000","13,700,000","9,800,000","-4,900,000","67,100,000","-236,200,000","133,400,000","134,000,000","22,000,000","87,900,000","92,200,000","61,600,000","39,400,000","26,500,000","10,800,000","15,400,000","14,200,000","12,100,000","13,000,000","15,100,000","9,800,000","12,700,000","3,100,000","4,000,000","1,700,000","5,200,000","800,000","900,000","900,000","1,800,000","-700,000","1,300,000","800,000","700,000","-300,000","600,000","800,000"
	CashFlowFromContinuingOperatingActivities,"167,100,000","28,900,000","22,200,000","53,400,000","62,600,000","48,100,000","68,700,000","63,900,000","27,200,000","39,100,000","38,000,000","31,300,000","28,500,000","41,200,000","41,500,000","27,600,000","17,500,000","13,600,000","23,900,000","11,000,000","33,800,000","17,300,000","18,600,000","10,300,000","17,900,000","36,300,000","-1,000,000","-300,000","47,800,000","-22,900,000","16,600,000","40,800,000","50,200,000","42,500,000","54,400,000","29,500,000","57,100,000","28,200,000","59,400,000","43,100,000","37,300,000","13,200,000","45,700,000","22,900,000","56,000,000","52,900,000","60,700,000","35,700,000","46,900,000","16,300,000","38,900,000","17,100,000","17,500,000","30,900,000","11,700,000","47,300,000","64,500,000","45,800,000","50,700,000","36,200,000","39,900,000","27,700,000","10,000,000","-16,300,000","-800,000","-33,600,000","3,000,000","-49,800,000","-26,100,000","-21,600,000","-33,400,000","-59,800,000","-33,100,000","-32,400,000","7,400,000","-77,100,000","-52,500,000","-50,900,000","-60,200,000","-56,400,000","13,700,000","9,800,000","-4,900,000","67,100,000","-236,200,000","133,400,000","134,000,000","22,000,000","87,900,000","92,200,000","61,600,000","39,400,000","26,500,000","10,800,000","15,400,000","14,200,000","12,100,000","13,000,000","15,100,000","9,800,000","12,700,000","3,100,000","4,000,000","1,700,000","5,200,000","800,000","900,000","900,000","1,800,000","-700,000","1,300,000","800,000","700,000","-300,000","600,000","800,000"
		NetIncomeFromContinuingOperations,"-19,100,000","19,200,000","34,600,000","-54,800,000","-1,900,000","11,800,000","21,900,000","14,300,000","26,700,000","-32,800,000","28,000,000","6,800,000","12,500,000","-4,800,000","13,000,000","-15,300,000","-28,800,000","-8,700,000","-3,700,000","-4,800,000","13,700,000","26,000,000","49,200,000","78,000,000","-70,900,000","32,400,000","6,300,000","-67,000,000","-40,100,000","-13,200,000","-25,100,000","-9,700,000","-25,400,000","-1,500,000","8,800,000","300,000","92,500,000","-28,000,000","4,100,000","-11,600,000",,,,,"9,300,000","38,600,000","23,600,000","100,000","1,500,000","-11,900,000","-19,500,000","-31,900,000","-59,500,000","-85,200,000","-705,300,000","-16,400,000","-29,800,000","-6,200,000","21,200,000","-6,900,000","-17,900,000","-14,200,000","23,200,000","-17,400,000","-45,800,000","3,700,000","-42,100,000","-67,000,000","-145,700,000","-38,600,000","-41,000,000","-36,000,000","-21,700,000","-7,300,000","-58,400,000","-28,100,000","-61,600,000","-136,800,000","-214,900,000","-520,500,000","-1,042,500,000","-4,340,900,000","-2,130,500,000","-1,224,400,000","-52,916,700,000","-1,293,200,000","-895,400,000","-1,016,600,000","-418,800,000","-240,700,000","-131,300,000","-113,900,000","-194,400,000","8,500,000","5,100,000","9,700,000","-96,400,000","8,400,000","700,000","6,200,000","8,900,000","-34,500,000","3,100,000","3,600,000","-2,900,000","2,600,000","1,900,000","1,200,000","-2,000,000","1,100,000","900,000","700,000","700,000","500,000","600,000","400,000"
		OperatingGainsLosses,,"6,400,000","6,400,000","85,900,000",,,,,,,,,"900,000","300,000","300,000","400,000","1,300,000","500,000","900,000","4,400,000","-14,200,000","-46,700,000","-53,900,000","-81,500,000","-31,800,000",,,,,,,,,,,,,,,,"21,500,000","100,000","100,000","-600,000","1,200,000","200,000","-100,000","-3,200,000","-16,000,000","800,000","700,000","-1,900,000","-9,200,000","-13,300,000","-20,000,000","-800,000","-2,000,000","-10,800,000","-1,000,000","400,000","13,700,000","-1,300,000","-28,200,000","-300,000","-54,500,000","-22,900,000","0","6,700,000","85,000,000","8,100,000","3,200,000","9,400,000","16,800,000","-15,600,000","37,500,000","-2,700,000","20,800,000","33,100,000","41,400,000","395,100,000","878,200,000","3,793,900,000","1,326,800,000","313,600,000","52,068,500,000","-1,312,300,000","98,100,000","94,800,000","257,500,000","84,000,000",,,"210,600,000","600,000","2,100,000","100,000","102,700,000","300,000","6,300,000","800,000",,,,"-500,000",,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,"100,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,"-16,500,000","-51,200,000","-53,900,000","-81,500,000","-31,800,000",,,,,,,,,,,,,,,,"-1,200,000","100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","-13,100,000","0","0","-2,000,000","100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"86,000,000","21,900,000","18,900,000","19,500,000","25,700,000","25,800,000","25,300,000","25,500,000","26,600,000","27,200,000","27,100,000","26,900,000","27,300,000","27,100,000","28,700,000","29,100,000","32,500,000","19,500,000","15,800,000","15,600,000","14,000,000","13,800,000","14,700,000","15,200,000","16,100,000","15,800,000","17,000,000","21,700,000","32,700,000","35,900,000","36,700,000","34,700,000","34,700,000","34,400,000","30,500,000","31,900,000","36,000,000","37,100,000","33,700,000","37,800,000","39,800,000","39,500,000","40,000,000","38,500,000","38,600,000","38,900,000","38,200,000","37,500,000","40,400,000","37,200,000","37,900,000","39,100,000","34,500,000","36,800,000","36,800,000","36,300,000","86,900,000","37,400,000","36,100,000","35,700,000","64,000,000","31,800,000","25,700,000","40,400,000","47,800,000","24,000,000","32,400,000","29,000,000","16,200,000","15,900,000","14,700,000","15,200,000","13,400,000","13,600,000","15,000,000","15,700,000","16,500,000","38,200,000","32,400,000","43,000,000","190,800,000","467,200,000","566,200,000","546,000,000","1,139,700,000","2,173,900,000","1,142,100,000","1,139,300,000","309,700,000","268,200,000","192,600,000","180,200,000","8,600,000","11,900,000","4,100,000","6,100,000","4,100,000","2,100,000","2,500,000","1,400,000","1,100,000","1,400,000","1,100,000","1,100,000","700,000","500,000","500,000","400,000","400,000","300,000","300,000","200,000","300,000","200,000","200,000","200,000"
			DepreciationAndAmortization,"86,000,000","21,900,000","18,900,000","19,500,000","25,700,000","25,800,000","25,300,000","25,500,000","26,600,000","27,200,000","27,100,000","26,900,000","27,300,000","27,100,000","28,700,000","29,100,000","32,500,000","19,500,000","15,800,000","15,600,000","14,000,000","13,800,000","14,700,000","15,200,000","16,100,000","15,800,000","17,000,000","21,700,000","32,700,000","35,900,000","36,700,000","34,700,000","34,700,000","34,400,000","30,500,000","31,900,000","36,000,000","37,100,000","33,700,000","37,800,000","39,800,000","39,500,000","40,000,000","38,500,000","38,600,000","38,900,000","38,200,000","37,500,000","40,400,000","37,200,000","37,900,000","39,100,000","34,500,000","36,800,000","36,800,000","36,300,000","86,900,000","37,400,000","36,100,000","35,700,000","64,000,000","31,800,000","25,700,000","40,400,000","47,800,000","24,000,000","32,400,000","29,000,000","16,200,000","15,900,000","14,700,000","15,200,000","13,400,000","13,600,000","15,000,000","15,700,000","16,500,000","38,200,000","32,400,000","43,000,000","190,800,000","467,200,000","566,200,000","546,000,000","1,139,700,000","2,173,900,000","1,142,100,000","1,139,300,000","309,700,000","268,200,000","192,600,000","180,200,000","8,600,000","11,900,000","4,100,000","6,100,000","4,100,000","2,100,000","2,500,000","1,400,000","1,100,000","1,400,000","1,100,000","1,100,000","700,000","500,000","500,000","400,000","400,000","300,000","300,000","200,000","300,000","200,000","200,000","200,000"
				Depreciation,"39,100,000","12,300,000","8,900,000","8,900,000","9,000,000","9,200,000","8,800,000","8,800,000","10,000,000","10,300,000","9,900,000","9,800,000","10,000,000","10,000,000","9,800,000","9,900,000","10,200,000","8,800,000","8,300,000","8,400,000","7,200,000","6,700,000","7,600,000","7,900,000","8,300,000","8,100,000","8,700,000","13,000,000","20,500,000","20,100,000","20,600,000","19,600,000","18,700,000","18,200,000","17,800,000","17,800,000","17,500,000","17,000,000","16,900,000","17,000,000","17,700,000","17,900,000","17,400,000","17,300,000","16,600,000","16,600,000","16,100,000","14,800,000","14,300,000","14,100,000","14,500,000","15,400,000","16,700,000","17,100,000","18,000,000","16,700,000","16,700,000","16,400,000","16,200,000","15,900,000","-33,600,000","30,800,000","47,600,000","16,600,000","16,200,000","15,000,000","13,600,000","12,600,000","10,000,000","11,000,000","10,100,000","10,400,000","9,400,000","9,400,000","10,500,000","10,600,000","9,500,000","14,500,000","15,800,000","19,600,000","92,600,000","69,800,000","95,300,000","78,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
