name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,12/31/2009
TotalAssets,"69,135,000,000","70,416,000,000","69,640,000,000","70,175,000,000","71,208,000,000","71,973,000,000","71,821,000,000","71,784,000,000","73,530,000,000","74,157,000,000","76,931,000,000","76,695,000,000","76,292,000,000","78,866,000,000","79,063,000,000","78,315,000,000","79,011,000,000","79,055,000,000","80,351,000,000","80,203,000,000","79,793,000,000","80,305,000,000","81,604,000,000","84,317,000,000","84,229,000,000","84,104,000,000","85,677,000,000","85,610,000,000","86,164,000,000","83,198,000,000","77,118,000,000","76,364,000,000","76,054,000,000","75,185,000,000","74,575,000,000","74,120,000,000","68,308,000,000","68,185,000,000","70,053,000,000","69,575,000,000","30,370,000,000","30,717,000,000","30,157,400,000","28,969,900,000","28,406,500,000","28,908,100,000","28,748,800,000","27,581,000,000"
	CurrentAssets,"3,033,000,000","3,829,000,000","2,686,000,000","4,283,000,000","3,734,000,000","3,203,000,000","2,672,000,000","2,490,000,000","3,096,000,000","3,238,000,000","2,365,000,000","2,300,000,000","2,262,000,000","5,722,000,000","5,766,000,000","2,634,000,000","2,628,000,000","2,715,000,000","2,613,000,000","2,726,000,000","2,675,000,000","3,229,000,000","3,363,000,000","2,470,000,000","2,481,000,000","2,824,000,000","3,067,000,000","2,936,000,000","3,289,000,000","3,752,000,000","3,486,000,000","3,367,000,000","3,662,000,000","3,868,000,000","3,591,000,000","3,772,000,000","3,686,000,000","3,674,000,000","5,122,000,000","5,331,000,000","3,902,000,000","1,663,300,000","1,478,200,000","1,632,600,000","1,288,800,000","1,786,900,000","1,261,900,000","1,380,300,000"
		CashCashEquivalentsAndShortTermInvestments,"84,000,000","1,140,000,000","102,000,000","1,365,000,000","1,377,000,000","1,184,000,000","632,000,000","526,000,000","360,000,000","1,110,000,000","241,000,000","213,000,000","221,000,000","3,280,000,000","3,459,000,000","271,000,000","294,000,000","264,000,000","539,000,000","452,000,000","396,000,000","684,000,000","357,000,000","180,000,000","175,000,000","229,000,000","179,000,000","163,000,000","259,000,000","315,000,000","472,000,000","363,000,000","513,000,000","598,000,000","816,000,000","1,017,000,000","1,106,000,000","714,000,000","775,000,000","675,000,000","494,000,000","411,400,000","273,900,000","354,400,000","189,500,000","502,400,000","196,600,000","165,600,000"
			CashAndCashEquivalents,"84,000,000","1,140,000,000","102,000,000","1,365,000,000","1,377,000,000","1,184,000,000","632,000,000","526,000,000","360,000,000","185,000,000","241,000,000","213,000,000","221,000,000","3,280,000,000","3,459,000,000","271,000,000","294,000,000","264,000,000","539,000,000","452,000,000","396,000,000","684,000,000","357,000,000","180,000,000","175,000,000","229,000,000","179,000,000","163,000,000","259,000,000","315,000,000","472,000,000","363,000,000","513,000,000","598,000,000","816,000,000","1,017,000,000","1,106,000,000","714,000,000","775,000,000","675,000,000","494,000,000","411,400,000","273,900,000","354,400,000","189,500,000","502,400,000","196,600,000","165,600,000"
			OtherShortTermInvestments,,,,,,"0","0","0","0","925,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0"
		Receivables,"1,661,000,000","1,611,000,000","1,433,000,000","1,416,000,000","1,425,000,000","1,293,000,000","1,142,000,000","1,073,000,000","1,186,000,000","1,370,000,000","1,273,000,000","1,227,000,000","1,310,000,000","1,521,000,000","1,545,000,000","1,520,000,000","1,512,000,000","1,613,000,000","1,214,000,000","1,353,000,000","1,440,000,000","1,550,000,000","1,282,000,000","1,278,000,000","1,203,000,000","1,315,000,000","1,404,000,000","1,349,000,000","1,420,000,000","1,641,000,000","1,696,000,000","1,633,000,000","1,838,000,000","1,721,000,000","1,420,000,000","1,488,000,000","1,290,000,000","1,404,000,000","1,296,000,000","1,275,000,000","761,000,000","914,200,000","830,200,000","919,200,000","843,800,000","971,400,000","779,500,000","916,300,000"
			AccountsReceivable,"1,661,000,000","1,611,000,000","1,433,000,000","1,416,000,000","1,425,000,000","1,293,000,000","1,142,000,000","1,073,000,000","1,186,000,000","1,370,000,000","1,273,000,000","1,227,000,000","1,310,000,000","1,498,000,000","1,384,000,000","1,357,000,000","1,349,000,000","1,448,000,000","1,194,000,000","1,184,000,000","1,263,000,000","1,370,000,000","1,282,000,000","1,278,000,000","1,203,000,000","1,315,000,000","1,404,000,000","1,349,000,000","1,420,000,000","1,641,000,000","1,696,000,000","1,633,000,000","1,645,000,000","1,721,000,000","1,420,000,000","1,488,000,000","1,290,000,000","1,404,000,000",,,,,,,,,,
				GrossAccountsReceivable,,"1,612,000,000",,,,"1,319,000,000",,,,"1,379,000,000",,,,"1,501,000,000",,,,"1,483,000,000",,,,"1,409,000,000",,,,"1,406,000,000",,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-1,000,000",,,,"-26,000,000",,,,"-9,000,000",,,,"-3,000,000",,,,"-35,000,000",,,,"-39,000,000",,,,"-91,000,000",,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,"23,000,000","161,000,000","163,000,000","163,000,000","165,000,000","20,000,000","169,000,000","177,000,000","180,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"193,000,000",,,,,,,,,,,,,,,
		Inventory,"591,000,000","562,000,000","457,000,000","396,000,000","389,000,000","348,000,000","317,000,000","336,000,000","307,000,000","371,000,000","405,000,000","450,000,000","429,000,000","385,000,000","383,000,000","420,000,000","442,000,000","424,000,000","428,000,000","438,000,000","380,000,000","357,000,000","325,000,000","361,000,000","364,000,000","407,000,000","445,000,000","474,000,000","453,000,000","459,000,000","461,000,000","460,000,000","417,000,000","430,000,000","435,000,000","428,000,000","389,000,000","374,000,000","379,000,000","361,000,000","235,000,000","171,600,000","128,500,000","149,700,000","120,400,000","94,200,000","130,200,000","115,400,000"
			RawMaterials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,000,000","48,000,000","58,000,000","61,800,000","27,200,000","68,900,000","27,400,000","2,200,000",,
			OtherInventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"322,000,000","313,000,000","177,000,000","109,800,000","101,300,000","80,800,000","93,000,000","92,000,000",,
		RestrictedCash,"264,000,000","7,000,000","177,000,000","604,000,000","46,000,000","25,000,000","67,000,000","20,000,000","582,000,000","24,000,000","27,000,000","36,000,000","49,000,000","51,000,000","101,000,000","76,000,000","69,000,000","62,000,000","81,000,000","66,000,000","90,000,000","103,000,000","888,000,000",,,,,,,,,,,,,,,,"56,000,000","53,000,000","31,000,000","34,500,000","41,800,000","46,600,000","41,400,000","90,500,000","39,800,000","52,500,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,"0","50,000,000","56,000,000","56,000,000","56,000,000","222,000,000","329,000,000","448,000,000","567,000,000","428,000,000","358,000,000","522,000,000",,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,"0","50,000,000","56,000,000","56,000,000","56,000,000","222,000,000","329,000,000","448,000,000","567,000,000","428,000,000","358,000,000","522,000,000",,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","32,000,000","32,000,000","298,000,000","1,909,000,000","2,019,000,000","2,287,000,000",,,,,,,
		HedgingAssetsCurrent,"147,000,000","220,000,000","199,000,000","221,000,000","218,000,000","185,000,000","257,000,000","295,000,000","448,000,000","84,000,000","144,000,000","110,000,000","57,000,000","260,000,000","51,000,000","93,000,000","94,000,000","114,000,000","175,000,000","230,000,000","213,000,000","198,000,000","281,000,000","313,000,000","454,000,000","507,000,000","529,000,000","401,000,000","561,000,000","535,000,000",,,,,,"67,000,000","39,000,000","63,000,000","82,000,000","161,000,000","67,000,000","71,400,000","135,200,000","39,800,000","35,200,000","24,000,000","50,000,000","20,800,000"
		OtherCurrentAssets,"286,000,000","289,000,000","318,000,000","281,000,000","279,000,000","168,000,000","257,000,000","240,000,000","213,000,000","279,000,000","275,000,000","264,000,000","196,000,000","225,000,000","227,000,000","254,000,000","217,000,000","238,000,000","176,000,000","187,000,000","156,000,000","337,000,000","230,000,000","338,000,000","285,000,000","366,000,000","460,000,000","493,000,000","540,000,000","746,000,000","635,000,000","582,000,000","446,000,000","552,000,000","492,000,000","382,000,000","308,000,000","821,000,000","625,000,000","787,000,000","27,000,000","60,200,000","68,600,000","122,900,000","58,500,000","104,400,000","65,800,000","109,700,000"
	TotalNonCurrentAssets,"66,102,000,000","66,587,000,000","66,954,000,000","65,892,000,000","67,474,000,000","68,770,000,000","69,149,000,000","69,294,000,000","70,434,000,000","70,919,000,000","74,566,000,000","74,395,000,000","74,030,000,000","73,144,000,000","73,297,000,000","75,681,000,000","76,383,000,000","76,340,000,000","77,738,000,000","77,477,000,000","77,118,000,000","77,077,000,000","78,241,000,000","81,847,000,000","81,748,000,000","81,280,000,000","82,610,000,000","82,674,000,000","82,875,000,000","79,446,000,000","73,632,000,000","72,997,000,000","72,392,000,000","71,317,000,000","70,984,000,000","70,348,000,000","64,622,000,000","64,511,000,000","64,931,000,000","64,244,000,000","26,468,000,000","29,053,700,000","28,679,200,000","27,337,300,000","27,117,700,000","27,121,200,000","27,486,900,000","26,200,700,000"
		NetPPE,"35,557,000,000","35,653,000,000","35,576,000,000","34,570,000,000","35,605,000,000","35,836,000,000","35,958,000,000","36,027,000,000","36,041,000,000","36,419,000,000","37,934,000,000","37,840,000,000","37,782,000,000","37,897,000,000","37,795,000,000","39,905,000,000","40,333,000,000","40,155,000,000","39,867,000,000","39,423,000,000","39,023,000,000","38,705,000,000","38,780,000,000","41,199,000,000","41,042,000,000","40,547,000,000","40,608,000,000","40,586,000,000","40,289,000,000","38,564,000,000","38,100,000,000","37,607,000,000","36,952,000,000","35,847,000,000","35,275,000,000","34,599,000,000","31,201,000,000","30,996,000,000","30,881,000,000","30,613,000,000","17,304,000,000","17,926,000,000","17,715,900,000","17,227,500,000","17,133,700,000","17,070,700,000","16,947,900,000","16,803,500,000"
			GrossPPE,,"54,445,000,000",,,,"53,654,000,000",,,,"53,369,000,000",,,,"53,256,000,000",,,,"54,330,000,000",,,,"51,011,000,000",,,,"51,398,000,000",,,,"46,933,000,000",,,,"42,604,000,000",,,,"36,274,000,000",,,,"21,837,800,000",,,,"20,024,600,000",,"18,806,300,000"
				LandAndImprovements,,"1,718,000,000",,,,"1,403,000,000",,,,"1,356,000,000",,,,"1,378,000,000",,,,"1,456,000,000",,,,"1,431,000,000",,,,"1,450,000,000",,,,"1,324,000,000",,,,"1,158,000,000",,,,"1,143,000,000",,,,"691,400,000",,,,,,"519,500,000"
				MachineryFurnitureEquipment,,,,,,,,,,"25,791,000,000",,,,"24,392,000,000",,,,"24,152,000,000",,,,"23,298,000,000",,,,"22,979,000,000",,,,"21,233,000,000",,,,"17,960,000,000",,,,"15,309,000,000",,,,"18,343,800,000",,,,,,
				OtherProperties,,"52,121,000,000",,,,"51,669,000,000",,,,"51,007,000,000",,,,"49,566,000,000",,,,"49,879,000,000",,,,"47,419,000,000",,,,"47,553,000,000",,,,"43,836,000,000",,,,"39,274,000,000",,,,"33,635,000,000",,,,"2,004,700,000",,,,"19,511,900,000",,"17,712,700,000"
				ConstructionInProgress,,"606,000,000",,,,"582,000,000",,,,"1,006,000,000",,,,"2,312,000,000",,,,"2,995,000,000",,,,"2,161,000,000",,,,"2,395,000,000",,,,"1,773,000,000",,,,"2,172,000,000",,,,"1,496,000,000",,,,"797,900,000",,,,"512,700,000",,"574,100,000"
