name,ttm
OperatingCashFlow,"-7,474,000"
	CashFlowFromContinuingOperatingActivities,"-7,474,000"
		NetIncomeFromContinuingOperations,"-9,666,000"
		OperatingGainsLosses,"-8,000"
			GainLossOnSaleOfPPE,"-8,000"
		DepreciationAmortizationDepletion,"30,000"
			DepreciationAndAmortization,"30,000"
				Depreciation,"30,000"
		StockBasedCompensation,"1,530,000"
		ChangeInWorkingCapital,"640,000"
			ChangeInReceivables,"0"
			ChangeInPrepaidAssets,"-37,000"
			ChangeInPayablesAndAccruedExpense,"677,000"
				ChangeInPayable,"45,000"
				ChangeInAccruedExpense,"632,000"
InvestingCashFlow,"-56,000"
	CashFlowFromContinuingInvestingActivities,"-56,000"
		NetPPEPurchaseAndSale,"-56,000"
			PurchaseOfPPE,"-74,000"
			SaleOfPPE,"18,000"
FinancingCashFlow,"-583,000"
	CashFlowFromContinuingFinancingActivities,"-583,000"
		NetIssuancePaymentsOfDebt,"0"
			NetLongTermDebtIssuance,"0"
				LongTermDebtIssuance,"0"
				LongTermDebtPayments,"0"
		NetCommonStockIssuance,"0"
			CommonStockIssuance,"0"
		NetPreferredStockIssuance,"0"
			PreferredStockIssuance,"0"
		ProceedsFromStockOptionExercised,"232,000"
		NetOtherFinancingCharges,"-815,000"
EndCashPosition,"17,344,000"
	ChangesInCash,"-8,113,000"
	EffectOfExchangeRateChanges,"-161,000"
	BeginningCashPosition,"25,618,000"
InterestPaidSupplementalData,"0"
CapitalExpenditure,"-74,000"
IssuanceOfCapitalStock,"0"
IssuanceOfDebt,"0"
RepaymentOfDebt,"0"
FreeCashFlow,"-7,548,000"
