name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989
TotalAssets,"401,394,000","435,527,000","411,024,000","418,347,000","422,925,000","430,949,000","450,797,000","468,703,000","484,133,000","460,387,000","441,431,000","438,736,000","422,332,000","335,349,000","328,758,000","334,559,000","333,589,000","323,782,000","309,226,000","306,904,000","308,159,000","306,151,000","297,732,000","293,240,000","288,837,000","297,037,000","289,707,000","285,114,000","281,064,000","289,858,000","284,279,000","284,194,000","287,731,000","295,777,000","299,909,000","301,398,000","311,293,000","324,885,000","325,854,000","328,880,000","336,242,000","350,501,000","280,636,000","286,662,000","296,768,000","311,206,000","312,678,000","296,665,000","313,733,000","312,627,000","330,718,000","329,479,000","336,598,000","347,195,000","357,679,000","354,766,000","380,136,000","381,102,000","412,930,000","438,643,000","443,683,000","443,912,000","454,338,000","500,288,000","504,981,000","512,881,000","498,149,000","494,109,000","496,346,000","500,493,000","729,673,000","485,424,000","490,696,000","506,652,000","512,892,000","525,265,000","538,490,000","551,491,000","549,777,000","563,406,000","588,008,000","607,253,000","630,136,000","650,005,000","686,517,000","743,433,000","942,785,000","1,068,301,000","1,305,868,000","1,468,099,000","1,677,438,000","1,764,620,000","1,875,069,000","1,986,208,000","2,096,801,000","2,185,162,000","2,298,308,000","1,687,370,000","1,724,200,000","1,704,900,000","1,451,700,000","1,507,751,000","1,513,200,000","1,524,700,000","1,547,800,000","1,582,135,000","1,594,000,000","1,576,400,000","1,526,900,000","1,797,300,000","3,387,500,000","3,424,000,000","3,383,800,000","3,390,000,000","3,339,500,000","3,339,300,000","3,353,900,000","3,384,500,000","3,430,800,000","3,462,800,000","3,470,100,000","3,495,500,000","3,530,900,000","3,590,500,000","3,605,100,000","3,632,200,000"
	CurrentAssets,"52,031,000","69,249,000","46,595,000","48,427,000","53,734,000","48,666,000","57,181,000","63,013,000","71,584,000","52,733,000","39,032,000","57,417,000","49,039,000","47,600,000","34,505,000","37,861,000","35,580,000","41,289,000","30,657,000","28,010,000","31,597,000","35,907,000","25,880,000","30,492,000","30,634,000","36,414,000","55,903,000","51,440,000","49,501,000","56,071,000","47,302,000","45,444,000","46,822,000","53,826,000","50,460,000","47,658,000","56,372,000","64,610,000","68,233,000","64,079,000","58,832,000","61,293,000","44,349,000","43,295,000","49,140,000","62,486,000","75,900,000","54,294,000","65,689,000","58,345,000","65,889,000","56,115,000","53,098,000","53,459,000","54,174,000","42,114,000","63,291,000","57,873,000","63,336,000","79,872,000","71,575,000","62,796,000","62,016,000","65,694,000","62,930,000","63,249,000","60,678,000","53,693,000","47,774,000","43,555,000","51,565,000","27,582,000","27,571,000","32,257,000","30,281,000","33,858,000","34,131,000","33,741,000","28,535,000","31,072,000","39,387,000","40,137,000","41,377,000","39,816,000","38,087,000","54,529,000","192,888,000","285,568,000","279,898,000","399,300,000","239,396,000","297,677,000","218,682,000","295,353,000","336,080,000","371,132,000","331,907,000","190,655,000","197,800,000","156,300,000","255,800,000","285,342,000","241,500,000","212,100,000","228,900,000","258,058,000","298,900,000","292,100,000","216,000,000","251,000,000","237,500,000","243,700,000","215,600,000","206,700,000","204,600,000","195,900,000","187,500,000","190,200,000","213,300,000","211,600,000","208,300,000","209,700,000","230,800,000","272,400,000","265,400,000","252,300,000"
		CashCashEquivalentsAndShortTermInvestments,"9,778,000","33,175,000","12,285,000","12,951,000","16,572,000","6,164,000","13,483,000","23,317,000","44,383,000","7,021,000","5,208,000","5,407,000","4,945,000","6,735,000","3,580,000","3,750,000","3,919,000","4,983,000","1,663,000","1,668,000","1,740,000","2,592,000","1,526,000","6,693,000","4,137,000","1,671,000","8,601,000","5,125,000","1,718,000","3,074,000","1,450,000","1,221,000","1,414,000","2,943,000","6,330,000","2,011,000","10,263,000","13,565,000","24,148,000","20,997,000","13,540,000","13,740,000","14,947,000","12,937,000","19,171,000","29,074,000","40,638,000","21,677,000","33,741,000","26,525,000","29,886,000","19,865,000","21,607,000","21,042,000","21,422,000","12,046,000","18,563,000","21,565,000","29,075,000","47,263,000","35,165,000","26,226,000","26,059,000","35,753,000","29,909,000","28,236,000","27,828,000","27,094,000","19,932,000","15,561,000","27,342,000","4,038,000","3,334,000","7,363,000","3,801,000","4,547,000","3,748,000","5,717,000","4,035,000","3,672,000","5,350,000","6,696,000","3,665,000","4,145,000","4,090,000","27,260,000","12,571,000","5,948,000","71,678,000","191,310,000","87,198,000","150,217,000","146,914,000","224,768,000","259,786,000","302,088,000","228,262,000","92,369,000","105,500,000","68,200,000","162,200,000","196,966,000","86,600,000","23,200,000","30,200,000","66,720,000","143,200,000","148,600,000","24,500,000","45,000,000","45,000,000","49,900,000","39,800,000","39,300,000","25,800,000","15,700,000","14,400,000","19,200,000","36,600,000","24,400,000","18,300,000","23,300,000","18,100,000","49,600,000","14,700,000","7,800,000"
			CashAndCashEquivalents,"6,091,000","30,624,000","10,203,000","10,882,000","14,508,000","3,892,000","11,217,000","21,077,000","39,218,000","3,372,000","2,020,000","2,292,000","1,897,000","5,026,000","1,871,000","3,750,000","3,919,000","4,983,000","1,663,000","1,668,000","1,740,000","2,592,000","1,526,000","6,693,000","4,137,000","1,671,000","8,601,000","5,125,000","1,718,000","3,074,000","1,450,000","1,221,000","1,414,000","2,943,000","6,330,000","2,011,000","10,263,000","13,565,000","24,148,000","20,997,000","13,540,000","13,740,000","14,947,000","12,937,000","19,171,000","29,074,000","40,638,000","21,677,000","33,741,000","26,525,000","29,886,000","19,865,000","21,607,000","21,042,000","21,422,000","12,046,000","18,563,000","21,565,000","29,075,000","47,263,000","35,165,000","26,226,000","26,059,000","35,753,000","29,909,000","28,236,000","27,828,000","27,094,000","19,932,000","15,561,000","27,342,000","4,038,000","3,334,000","7,363,000","3,801,000","4,547,000","3,748,000","5,717,000","4,035,000","3,672,000","5,350,000","6,696,000","3,665,000","4,145,000","4,090,000","27,260,000","12,571,000","5,948,000","68,973,000","174,226,000","87,198,000","150,217,000","146,914,000","224,768,000","259,786,000","302,088,000","228,262,000","92,369,000","105,500,000","68,200,000","162,200,000","196,966,000","86,600,000","23,200,000","30,200,000","66,720,000","143,200,000","148,600,000","24,500,000","45,000,000","45,000,000","49,900,000","39,800,000","39,300,000","25,800,000","15,700,000","14,400,000","19,200,000","36,600,000","24,400,000","18,300,000","23,300,000","18,100,000","49,600,000","14,700,000","7,800,000"
			OtherShortTermInvestments,"3,687,000","2,551,000","2,082,000","2,069,000","2,064,000","2,272,000","2,266,000","2,240,000","5,165,000","3,649,000","3,188,000","3,115,000","3,048,000","1,709,000","1,709,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,024,000",,"5,019,000","3,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,705,000","17,084,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"23,161,000","19,621,000","16,903,000","20,407,000","20,821,000","21,349,000","20,637,000","19,049,000","15,136,000","27,488,000","19,903,000","18,628,000","18,304,000","26,283,000","17,186,000","18,975,000","19,512,000","21,384,000","17,423,000","16,742,000","18,738,000","19,841,000","14,175,000","14,109,000","13,819,000","16,552,000","13,187,000","13,749,000","14,140,000","18,059,000","14,759,000","13,998,000","14,216,000","17,321,000","14,167,000","16,389,000","16,762,000","19,947,000","13,614,000","11,729,000","12,377,000","14,971,000","13,523,000","15,920,000","15,266,000","17,280,000","13,718,000","13,352,000","13,735,000","18,106,000","12,620,000","14,185,000","13,417,000","15,146,000","11,408,000","15,085,000","26,355,000","13,585,000","12,580,000","13,626,000","13,521,000","14,564,000","10,828,000","14,036,000","16,592,000","18,444,000","15,854,000","12,216,000","11,878,000","12,375,000","7,768,000","8,688,000","8,009,000","9,771,000","8,114,000","7,941,000","8,566,000","11,980,000","6,745,000","7,521,000","8,511,000","6,508,000","3,782,000","6,153,000","4,897,000","6,427,000","10,171,000","14,209,000","22,035,000","21,711,000","16,951,000","15,086,000","19,749,000","18,461,000","19,246,000","13,498,000","12,301,000","31,734,000","23,200,000","24,100,000","26,800,000","29,844,000","22,700,000","28,100,000","27,400,000","37,381,000","34,000,000","41,700,000","36,600,000","97,800,000","80,600,000","78,100,000","71,600,000","71,500,000","70,300,000","68,200,000","63,000,000","64,400,000","65,100,000","66,900,000","64,700,000","66,900,000","66,600,000","70,000,000","72,400,000","72,700,000"
			AccountsReceivable,"12,897,000","13,430,000","13,194,000","15,580,000","16,593,000","15,535,000","17,306,000","15,286,000","8,669,000","14,551,000","12,054,000","11,349,000","9,863,000","11,459,000","9,267,000","10,060,000","10,379,000","10,688,000","11,471,000","10,088,000","9,943,000","10,513,000","10,064,000","10,163,000","9,949,000","10,591,000","9,492,000","9,840,000","9,855,000","10,929,000","9,886,000","9,563,000","9,874,000","10,072,000","9,228,000","9,808,000","10,158,000","10,200,000","9,289,000","9,641,000","9,694,000","9,444,000","9,372,000","15,920,000",,,,"13,352,000",,,,"14,185,000",,"15,146,000","11,408,000","15,085,000","26,355,000","13,585,000","12,580,000","13,626,000","13,521,000","14,564,000","10,828,000","14,036,000","16,592,000","18,444,000","15,854,000","12,216,000","11,878,000","12,375,000","7,768,000","8,688,000","8,009,000","9,771,000","8,114,000","7,941,000","8,566,000","11,980,000","6,745,000","7,521,000","8,511,000","6,508,000","3,782,000","6,153,000","4,897,000","6,427,000","10,171,000","14,209,000","22,035,000","21,711,000","16,951,000","15,086,000","19,749,000","18,461,000","19,246,000","13,498,000","12,301,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,212,000","9,289,000","9,663,000","9,716,000","9,452,000","9,377,000","16,257,000",,,,"13,499,000",,,,"15,016,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-12,000",,"-22,000","-22,000","-8,000","-5,000","-337,000",,,,"-147,000",,,,"-831,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,"1,557,000","1,363,000","1,253,000","1,352,000","1,174,000","1,304,000","1,275,000","1,419,000","1,563,000","1,472,000","1,532,000","1,800,000","2,049,000","2,738,000","3,523,000","4,310,000","750,000","593,000","396,000","992,000","1,479,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
