name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
TotalAssets,"9,857,200,000","9,997,200,000","9,747,300,000","9,860,400,000","9,924,900,000","9,219,400,000","9,185,400,000","8,985,100,000","9,172,400,000","9,112,800,000"
	CurrentAssets,"732,300,000","718,000,000","649,000,000","624,200,000","673,200,000","874,000,000","723,400,000","489,000,000","570,100,000","417,900,000"
		CashCashEquivalentsAndShortTermInvestments,"215,800,000","177,100,000","234,400,000","177,600,000","173,400,000","354,500,000","311,300,000","99,800,000","167,600,000","98,600,000"
			CashAndCashEquivalents,"215,800,000","177,100,000","234,400,000","177,600,000","173,400,000","354,500,000","311,300,000","99,800,000","167,600,000","98,600,000"
		Receivables,"339,400,000","401,700,000","294,900,000","330,400,000","375,700,000","321,300,000","260,200,000","254,100,000","265,400,000","279,300,000"
			AccountsReceivable,"339,400,000","401,700,000","285,200,000","322,500,000","366,800,000","313,700,000","250,400,000","246,200,000","256,200,000","269,300,000"
				GrossAccountsReceivable,"356,900,000","418,200,000","300,700,000","339,100,000","381,400,000","324,700,000","261,100,000","256,300,000","264,600,000","276,600,000"
				AllowanceForDoubtfulAccountsReceivable,"-17,500,000","-16,500,000","-15,500,000","-16,600,000","-14,600,000","-11,000,000","-10,700,000","-10,100,000","-8,400,000","-7,300,000"
			OtherReceivables,,,"9,700,000","7,900,000","8,900,000","7,600,000","9,800,000","7,900,000","9,200,000","10,000,000"
		PrepaidAssets,"120,700,000","116,100,000","115,900,000","113,100,000","118,000,000","168,900,000","147,000,000","128,600,000","132,900,000","35,400,000"
		HedgingAssetsCurrent,"42,400,000",,,,,,,,,
		OtherCurrentAssets,"14,000,000","23,100,000","3,800,000","3,100,000","6,100,000","29,300,000","4,900,000","6,500,000","4,200,000","4,600,000"
	TotalNonCurrentAssets,"9,124,900,000","9,279,200,000","9,098,300,000","9,236,200,000","9,251,700,000","8,345,400,000","8,462,000,000","8,496,100,000","8,602,300,000","8,694,900,000"
		NetPPE,"158,300,000","168,700,000","173,200,000","177,200,000","114,100,000","99,300,000","119,400,000","106,400,000","27,800,000","29,400,000"
			GrossPPE,"188,600,000","196,200,000","200,800,000","202,200,000","136,300,000","113,300,000","133,800,000","118,400,000","37,600,000","36,900,000"
				Properties,,"0",,,,"0",,,,"0"
				LandAndImprovements,,"7,700,000",,,,,,,,
				BuildingsAndImprovements,,"61,800,000",,,,,,,,"0"
				MachineryFurnitureEquipment,,"38,200,000",,,,"24,300,000",,,,"22,400,000"
				OtherProperties,"188,600,000","71,900,000","200,800,000","202,200,000","136,300,000","72,900,000","133,800,000","118,400,000",,
				Leases,,"16,600,000",,,,"16,100,000",,,,"14,500,000"
			AccumulatedDepreciation,"-30,300,000","-27,500,000","-27,600,000","-25,000,000","-22,200,000","-14,000,000","-14,400,000","-12,000,000","-9,800,000","-7,500,000"
		GoodwillAndOtherIntangibleAssets,"8,728,500,000","8,875,200,000","8,754,200,000","8,894,900,000","8,984,000,000","8,100,900,000","8,200,800,000","8,262,100,000","8,375,300,000","8,471,300,000"
			Goodwill,"3,475,400,000","3,493,300,000","3,318,700,000","3,331,100,000","3,318,200,000","2,856,200,000","2,853,900,000","2,848,000,000","2,850,800,000","2,840,100,000"
			OtherIntangibleAssets,"5,253,100,000","5,381,900,000","5,435,500,000","5,563,800,000","5,665,800,000","5,244,700,000","5,346,900,000","5,414,100,000","5,524,500,000","5,631,200,000"
