name,ttm,04/30/2022,01/31/2022,04/30/2021,01/31/2021
TotalRevenue,"106,477,000","37,526,000","31,800,000","19,750,000","13,458,000"
	OperatingRevenue,"106,477,000","37,526,000","31,800,000","19,750,000","13,458,000"
CostOfRevenue,"42,462,000","13,757,000","12,688,000","6,386,000","5,387,000"
GrossProfit,"64,015,000","23,769,000","19,112,000","13,364,000","8,071,000"
OperatingExpense,"82,849,000","26,968,000","19,563,000","15,274,000","12,865,000"
	SellingGeneralAndAdministration,"34,900,000","11,507,000","8,568,000","7,065,000","5,872,000"
	ResearchAndDevelopment,"47,949,000","15,461,000","10,995,000","8,209,000","6,993,000"
OperatingIncome,"-18,834,000","-3,199,000","-451,000","-1,910,000","-4,794,000"
OtherIncomeExpense,"-3,379,000","-3,309,000","-80,000","-22,000","49,000"
	SpecialIncomeCharges,"-3,134,000"
		ImpairmentOfCapitalAssets,"3,134,000"
	OtherNonOperatingIncomeExpenses,"-245,000","-175,000","-80,000","-22,000","49,000"
PretaxIncome,"-22,213,000","-6,508,000","-531,000","-1,932,000","-4,745,000"
TaxProvision,"-37,000","-1,153,000","-387,000","1,154,000","372,000"
NetIncomeCommonStockholders,"-22,176,000","-5,355,000","-144,000","-3,086,000","-5,117,000"
	NetIncome,"-22,176,000","-5,355,000","-144,000","-3,086,000","-5,117,000"
		NetIncomeIncludingNoncontrollingInterests,"-22,176,000","-5,355,000","-144,000","-3,086,000","-5,117,000"
			NetIncomeContinuousOperations,"-22,176,000","-5,355,000","-144,000","-3,086,000","-5,117,000"
		MinorityInterests,"0"
DilutedNIAvailtoComStockholders,"-22,176,000","-5,355,000","-144,000","-3,086,000","-5,117,000"
BasicEPS,,,"-0.002",,"-0.037"
DilutedEPS,,,"-0.002",,"-0.037"
BasicAverageShares,,,"73,815,000",,"139,947,064"
DilutedAverageShares,,,"73,815,000",,"139,947,064"
TotalOperatingIncomeAsReported,"-21,968,000","-6,333,000","-451,000","-1,910,000","-4,794,000"
TotalExpenses,"125,311,000","40,725,000","32,251,000","21,660,000","18,252,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-22,176,000","-5,355,000","-144,000","-3,086,000","-5,117,000"
NormalizedIncome,"-19,047,220.276","-5,355,000","-144,000","-3,086,000","-5,117,000"
EBIT,"-18,834,000","-3,199,000","-451,000","-1,910,000","-4,794,000"
EBITDA,"-14,041,000"
ReconciledCostOfRevenue,"42,462,000","13,757,000","12,688,000","6,386,000","5,387,000"
ReconciledDepreciation,"4,793,000","1,531,000","1,262,000","672,000","562,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-22,176,000","-5,355,000","-144,000","-3,086,000","-5,117,000"
TotalUnusualItemsExcludingGoodwill,"-3,134,000"
TotalUnusualItems,"-3,134,000"
NormalizedEBITDA,"-10,907,000","-1,668,000","811,000","-1,238,000","-4,232,000"
TaxRateForCalcs,"0.002","0.177","0.4","0.27","0.27"
TaxEffectOfUnusualItems,"-5,220.276","0","0","0","0"
