name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,12/31/1995
TotalAssets,"11,715,000,000","11,641,000,000","11,589,000,000","12,063,000,000","8,702,000,000","8,414,000,000","9,828,000,000","9,949,000,000","9,555,000,000","8,987,000,000","8,451,000,000","8,222,000,000","8,198,000,000","7,761,000,000","7,505,000,000","7,364,000,000","7,641,000,000","7,654,000,000","7,850,000,000","7,767,000,000","7,725,000,000","7,673,000,000","7,711,000,000","7,751,000,000","7,752,000,000","7,635,000,000","7,887,000,000","8,066,000,000","8,513,000,000","8,607,000,000","8,610,000,000","8,849,000,000","8,828,000,000","8,108,000,000","6,878,000,000","6,706,000,000","6,655,000,000","6,371,000,000","6,034,000,000","5,623,000,000","5,690,000,000","5,591,000,000","5,680,000,000","4,504,000,000","4,472,000,000","4,361,000,000","4,318,000,000","4,125,000,000","4,104,000,000","4,094,000,000","3,904,000,000","3,819,000,000","4,141,000,000","4,255,000,000","4,406,000,000","4,556,000,000","4,656,000,000","4,780,000,000","4,747,000,000","5,615,000,000","5,419,000,000","5,227,000,000","5,661,000,000","5,409,000,000","5,315,000,000","5,287,000,000","5,434,000,000","5,318,000,000","5,398,000,000","5,554,000,000","5,410,000,000","5,440,000,000","5,423,000,000","5,480,000,000","4,748,000,000","4,717,000,000","4,568,000,000","4,672,000,000","4,835,000,000","4,866,000,000","4,827,000,000","4,855,000,000","4,838,000,000","4,777,000,000","4,796,000,000","5,106,000,000","4,815,000,000","4,777,000,000","4,794,000,000","4,895,000,000","4,783,000,000","4,720,000,000","4,799,000,000","4,892,000,000","4,825,000,000","5,022,000,000","5,239,000,000","5,293,000,000","5,125,000,000","5,285,000,000","5,167,000,000","5,280,000,000","5,256,000,000"
	CurrentAssets,"2,976,000,000","2,876,000,000","2,778,000,000","3,106,000,000","2,612,000,000","2,478,000,000","3,997,000,000","4,136,000,000","3,777,000,000","3,144,000,000","3,156,000,000","3,035,000,000","3,016,000,000","3,023,000,000","2,855,000,000","2,739,000,000","2,791,000,000","2,830,000,000","2,900,000,000","2,816,000,000","2,780,000,000","2,757,000,000","2,751,000,000","2,753,000,000","2,705,000,000","2,549,000,000","2,898,000,000","3,040,000,000","3,102,000,000","3,088,000,000","3,212,000,000","3,390,000,000","3,385,000,000","4,339,000,000","3,242,000,000","3,076,000,000","3,013,000,000","3,406,000,000","2,956,000,000","2,612,000,000","2,678,000,000","2,515,000,000","2,684,000,000","2,575,000,000","2,568,000,000","2,478,000,000","2,486,000,000","2,349,000,000","2,299,000,000","2,299,000,000","2,241,000,000","2,239,000,000","2,523,000,000","2,557,000,000","2,629,000,000","2,765,000,000","2,911,000,000","3,088,000,000","3,133,000,000","3,606,000,000","3,446,000,000","3,332,000,000","3,040,000,000","2,966,000,000","2,663,000,000","2,693,000,000","2,621,000,000","2,509,000,000","2,538,000,000","2,633,000,000","2,375,000,000","2,415,000,000","2,371,000,000","2,422,000,000","2,239,000,000","2,191,000,000","2,097,000,000","2,186,000,000","2,162,000,000","2,208,000,000","1,947,000,000","1,963,000,000","1,911,000,000","1,943,000,000","1,996,000,000","2,234,000,000","2,365,000,000","2,331,000,000","2,434,000,000","2,541,000,000","2,435,000,000","2,469,000,000","2,509,000,000","2,632,000,000","2,647,000,000","2,900,000,000","3,218,000,000","3,271,000,000","3,166,000,000","3,363,000,000","3,261,000,000","3,318,000,000","3,318,000,000"
		CashCashEquivalentsAndShortTermInvestments,"412,000,000","447,000,000","383,000,000","449,000,000","319,000,000","338,000,000","1,605,000,000","1,681,000,000","1,214,000,000","509,000,000","388,000,000","335,000,000","414,000,000","464,000,000","334,000,000","343,000,000","348,000,000","537,000,000","405,000,000","377,000,000","401,000,000","498,000,000","318,000,000","332,000,000","333,000,000","328,000,000","303,000,000","425,000,000","462,000,000","511,000,000","424,000,000","483,000,000","515,000,000","528,000,000","460,000,000","460,000,000","483,000,000","1,069,000,000","581,000,000","377,000,000","414,000,000","398,000,000","341,000,000","457,000,000","480,000,000","496,000,000","360,000,000","447,000,000","408,000,000","451,000,000","419,000,000","407,000,000","717,000,000","711,000,000","733,000,000","754,000,000","851,000,000","952,000,000","1,033,000,000","1,139,000,000","1,080,000,000","947,000,000","761,000,000","747,000,000","746,000,000","810,000,000","740,000,000","724,000,000","655,000,000","750,000,000","625,000,000","633,000,000","666,000,000","689,000,000","581,000,000","585,000,000","529,000,000","526,000,000","461,000,000","569,000,000","379,000,000","336,000,000","284,000,000","327,000,000","325,000,000","357,000,000","621,000,000","561,000,000","670,000,000","763,000,000","595,000,000","576,000,000","595,000,000","514,000,000","536,000,000","770,000,000","1,106,000,000","1,129,000,000","1,027,000,000","1,156,000,000","1,133,000,000","1,203,000,000","314,000,000"
			CashAndCashEquivalents,"412,000,000","447,000,000","383,000,000","449,000,000","319,000,000","338,000,000","1,605,000,000","1,681,000,000","1,214,000,000","509,000,000","388,000,000","335,000,000","414,000,000","464,000,000","334,000,000","343,000,000","348,000,000","537,000,000","405,000,000","377,000,000","401,000,000","498,000,000","318,000,000","332,000,000","333,000,000","328,000,000","303,000,000","425,000,000","462,000,000","511,000,000","424,000,000","483,000,000","515,000,000","528,000,000","460,000,000","460,000,000","483,000,000","1,069,000,000","581,000,000","377,000,000","414,000,000","398,000,000","341,000,000","457,000,000","480,000,000","496,000,000","360,000,000","447,000,000","408,000,000","451,000,000","419,000,000","407,000,000","717,000,000","711,000,000","733,000,000","754,000,000","851,000,000","952,000,000","1,033,000,000","1,139,000,000","1,080,000,000","947,000,000","761,000,000","747,000,000","746,000,000","810,000,000","740,000,000","724,000,000","655,000,000","750,000,000","625,000,000","633,000,000","666,000,000","689,000,000","581,000,000","585,000,000","529,000,000","526,000,000","461,000,000","569,000,000","379,000,000","336,000,000","265,000,000","300,000,000","305,000,000","347,000,000","482,000,000","406,000,000","458,000,000","571,000,000","476,000,000","441,000,000","575,000,000","488,000,000","443,000,000","593,000,000","787,000,000","886,000,000","773,000,000","839,000,000","856,000,000","1,163,000,000","314,000,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,000,000","27,000,000","20,000,000","10,000,000","139,000,000","155,000,000","212,000,000","192,000,000","119,000,000","135,000,000","20,000,000","26,000,000","93,000,000","177,000,000","319,000,000","243,000,000","254,000,000","317,000,000","277,000,000","40,000,000",
		Receivables,"1,071,000,000","959,000,000","943,000,000","1,271,000,000","1,212,000,000","1,117,000,000","1,248,000,000","1,249,000,000","1,353,000,000","1,490,000,000","1,487,000,000","1,430,000,000","1,335,000,000","1,356,000,000","1,309,000,000","1,272,000,000","1,338,000,000","1,270,000,000","1,408,000,000","1,321,000,000","1,298,000,000","1,282,000,000","1,387,000,000","1,362,000,000","1,306,000,000","1,251,000,000","1,424,000,000","1,425,000,000","1,415,000,000","1,404,000,000","1,454,000,000","1,464,000,000","1,442,000,000","1,339,000,000","1,349,000,000","1,266,000,000","1,193,000,000","1,086,000,000","1,124,000,000","1,078,000,000","1,065,000,000","1,038,000,000","1,128,000,000","980,000,000","946,000,000","928,000,000","957,000,000","879,000,000","884,000,000","896,000,000","844,000,000","856,000,000","855,000,000","913,000,000","943,000,000","991,000,000","1,048,000,000","1,167,000,000","1,014,000,000","1,385,000,000","1,324,000,000","1,408,000,000","1,306,000,000","1,301,000,000","1,290,000,000","1,305,000,000","1,270,000,000","1,184,000,000","1,284,000,000","1,304,000,000","1,143,000,000","1,195,000,000","1,171,000,000","1,230,000,000","1,152,000,000","1,132,000,000","1,107,000,000","1,204,000,000","1,196,000,000","1,130,000,000","1,081,000,000","1,126,000,000","1,064,000,000","1,060,000,000","1,092,000,000","1,338,000,000","1,152,000,000","1,173,000,000","1,132,000,000","1,197,000,000","1,291,000,000","1,354,000,000","1,357,000,000","1,556,000,000","1,485,000,000","1,472,000,000","1,355,000,000","1,471,000,000","1,363,000,000","1,446,000,000","1,336,000,000","1,457,000,000","1,908,000,000"
			AccountsReceivable,"1,049,000,000","939,000,000","947,000,000","1,286,000,000","1,207,000,000","1,120,000,000","1,260,000,000","1,266,000,000","1,359,000,000","1,482,000,000","1,498,000,000","1,435,000,000","1,342,000,000","1,364,000,000","1,307,000,000","1,262,000,000","1,334,000,000","1,270,000,000","1,409,000,000","1,321,000,000","1,290,000,000","1,266,000,000","1,372,000,000","1,358,000,000","1,304,000,000","1,259,000,000","1,408,000,000","1,412,000,000","1,397,000,000","1,382,000,000","1,431,000,000","1,437,000,000","1,414,000,000","1,318,000,000","1,328,000,000","1,244,000,000","1,170,000,000","1,056,000,000","1,124,000,000","1,078,000,000","1,065,000,000","1,038,000,000","1,128,000,000","980,000,000","946,000,000","928,000,000","957,000,000","879,000,000","884,000,000","896,000,000","844,000,000","856,000,000","855,000,000","913,000,000","943,000,000","991,000,000","1,048,000,000","1,167,000,000","1,014,000,000","1,385,000,000","1,324,000,000","1,408,000,000","1,306,000,000","1,301,000,000","1,290,000,000","1,305,000,000","1,270,000,000","1,184,000,000","1,284,000,000","1,304,000,000","1,143,000,000","1,195,000,000","1,171,000,000","1,230,000,000","1,152,000,000","1,132,000,000","1,107,000,000","1,204,000,000","1,196,000,000","1,130,000,000","1,081,000,000","1,126,000,000","1,064,000,000","1,060,000,000","1,092,000,000","1,338,000,000","1,152,000,000","1,173,000,000","1,132,000,000","1,197,000,000","1,291,000,000","1,354,000,000","1,357,000,000","1,556,000,000","1,485,000,000","1,472,000,000","1,355,000,000","1,471,000,000","1,363,000,000","1,446,000,000","1,336,000,000","1,457,000,000",
				GrossAccountsReceivable,"1,099,000,000","983,000,000","974,000,000","1,311,000,000","1,251,000,000","1,168,000,000",,"1,303,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,141,000,000",,,"1,054,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-28,000,000","-24,000,000","-31,000,000","-40,000,000","-39,000,000","-51,000,000",,"-54,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-17,000,000",,,"-16,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"48,000,000","44,000,000","27,000,000","25,000,000","44,000,000","48,000,000","43,000,000","37,000,000","44,000,000","52,000,000","33,000,000","30,000,000","25,000,000","23,000,000","28,000,000","37,000,000","43,000,000","37,000,000","39,000,000","39,000,000","49,000,000","57,000,000","56,000,000","49,000,000","46,000,000","39,000,000","41,000,000","34,000,000","37,000,000","41,000,000","41,000,000","45,000,000","46,000,000","39,000,000","41,000,000","42,000,000","43,000,000","46,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,"-26,000,000","-24,000,000","-31,000,000","-40,000,000","-39,000,000","-51,000,000","-55,000,000","-54,000,000","-50,000,000","-44,000,000","-44,000,000","-35,000,000","-32,000,000","-31,000,000","-26,000,000","-27,000,000","-39,000,000","-37,000,000","-40,000,000","-39,000,000","-41,000,000","-41,000,000","-41,000,000","-45,000,000","-44,000,000","-47,000,000","-25,000,000","-21,000,000","-19,000,000","-19,000,000","-18,000,000","-18,000,000","-18,000,000","-18,000,000","-20,000,000","-20,000,000","-20,000,000","-16,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"805,000,000","754,000,000","747,000,000","695,000,000","634,000,000","601,000,000","748,000,000","782,000,000","747,000,000","784,000,000","865,000,000","868,000,000","874,000,000","806,000,000","916,000,000","842,000,000","822,000,000","780,000,000","824,000,000","828,000,000","800,000,000","699,000,000","776,000,000","765,000,000","725,000,000","643,000,000","718,000,000","709,000,000","676,000,000","669,000,000","777,000,000","816,000,000","820,000,000","790,000,000","842,000,000","825,000,000","847,000,000","797,000,000","826,000,000","798,000,000","802,000,000","774,000,000","850,000,000","810,000,000","793,000,000","741,000,000","815,000,000","729,000,000","720,000,000","686,000,000","708,000,000","691,000,000","697,000,000","692,000,000","711,000,000","735,000,000","752,000,000","717,000,000","767,000,000","739,000,000","717,000,000","677,000,000","708,000,000","665,000,000","393,000,000","361,000,000","395,000,000","369,000,000","356,000,000","355,000,000","392,000,000","382,000,000","341,000,000","308,000,000","319,000,000","297,000,000","274,000,000","263,000,000","311,000,000","296,000,000","282,000,000","280,000,000","312,000,000","309,000,000","329,000,000","288,000,000","311,000,000","299,000,000","292,000,000","299,000,000","392,000,000","394,000,000","399,000,000","384,000,000","458,000,000","451,000,000","545,000,000","489,000,000","540,000,000","517,000,000","535,000,000","439,000,000","621,000,000"
