name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,04/30/1989,04/30/1988,04/30/1987,04/30/1986
TotalAssets,"1,389,100,000","1,411,300,000","1,430,700,000","1,459,000,000","1,467,000,000","1,444,500,000","1,489,300,000","1,418,200,000","1,370,600,000","1,282,300,000","1,282,700,000","1,268,900,000","1,231,700,000","1,226,200,000","1,270,500,000","892,800,000","915,900,000","959,800,000","898,300,000","783,400,000","704,000,000","667,000,000","666,500,000","656,100,000","655,900,000","612,600,000","609,900,000","587,800,000","605,800,000","587,600,000","593,500,000","575,700,000","575,500,000","507,214,000","502,497,000","473,893,000","434,939,000","411,084,000","422,376,000","405,480,000","403,648,000","368,047,000","370,198,000","361,207,000","334,744,000","326,491,000","340,364,000","313,328,000","310,823,000","298,248,000","316,211,000","305,365,000","305,288,000","385,866,000","437,832,000","467,905,000","470,631,000","446,281,000","443,742,000","426,127,000","411,740,000","377,361,000","371,556,000","366,601,000","374,583,000","356,698,000","360,835,000","349,255,000","356,681,000","342,699,000","331,726,000","312,762,000","314,188,000","307,225,000","311,116,000","297,402,000","315,474,000","308,646,000","302,590,000","299,997,000","291,926,000","296,780,000","301,699,000","294,273,000","294,930,000","569,284,000","569,866,000","552,471,631","340,973,000","324,300,000","329,000,000","324,200,000","316,600,000","306,900,000","305,400,000","290,700,000","287,500,000","269,100,000","277,000,000","266,700,000","253,500,000","235,500,000","233,600,000","227,400,000","223,300,000","210,700,000","200,500,000","189,200,000","191,500,000","181,100,000","172,500,000","163,600,000","160,600,000","146,900,000","141,700,000","132,400,000","129,400,000","120,800,000","114,000,000","112,200,000","107,000,000","100,400,000","97,300,000","92,500,000","90,000,000","86,800,000","89,900,000","84,600,000","84,800,000","74,300,000","69,600,000","63,000,000","59,400,000"
	CurrentAssets,"629,000,000","640,400,000","643,100,000","660,900,000","674,000,000","645,000,000","682,300,000","598,000,000","565,600,000","463,900,000","465,400,000","461,300,000","453,500,000","446,400,000","491,100,000","523,900,000","550,000,000","605,300,000","568,900,000","546,900,000","530,300,000","499,100,000","497,100,000","487,900,000","496,200,000","453,700,000","450,400,000","427,100,000","438,300,000","415,100,000","412,800,000","385,500,000","381,700,000","324,999,000","317,597,000","292,217,000","258,654,000","233,459,000","248,667,000","240,171,000","240,433,000","219,823,000","225,855,000","222,668,000","195,961,000","200,783,000","215,576,000","187,827,000","184,596,000","172,595,000","193,785,000","181,335,000","181,246,000","183,068,000","209,015,000","257,531,000","261,228,000","234,772,000","233,190,000","222,383,000","209,441,000","230,073,000","223,317,000","217,472,000","221,272,000","202,973,000","207,425,000","197,730,000","205,332,000","191,819,000","182,974,000","166,056,000","169,355,000","164,844,000","170,775,000","157,811,000","175,163,000","162,160,000","172,941,000","170,629,000","165,417,000","166,493,000","170,759,000","176,359,000","177,325,000","379,872,000","390,272,000","383,746,633","178,586,000","164,200,000","178,000,000","176,400,000","171,000,000","165,800,000","166,000,000","154,800,000","144,700,000","132,100,000","141,100,000","131,700,000","122,800,000","142,700,000","142,900,000","140,300,000","137,000,000","130,700,000","121,600,000","116,700,000","119,700,000","111,600,000","104,500,000","98,600,000","97,000,000","85,500,000","80,400,000","72,300,000","72,000,000","68,400,000","64,300,000","65,400,000","59,600,000","56,100,000","60,900,000","57,100,000","53,900,000","50,800,000","52,800,000","50,300,000","51,400,000","42,300,000","41,500,000","36,600,000","35,600,000"
		CashCashEquivalentsAndShortTermInvestments,"172,000,000","153,100,000","177,200,000","207,900,000","233,200,000","218,700,000","242,300,000","211,000,000","217,300,000","79,900,000","95,600,000","73,800,000","83,200,000","73,700,000","110,900,000","228,500,000","246,100,000","304,000,000","258,600,000","297,900,000","294,000,000","268,800,000","249,600,000","249,300,000","227,800,000","202,300,000","186,600,000","167,900,000","168,100,000","167,800,000","144,200,000","135,700,000","116,400,000","96,779,000","87,819,000","73,412,000","65,811,000","73,375,000","76,999,000","85,147,000","86,797,000","76,811,000","75,548,000","84,426,000","57,445,000","69,417,000","77,192,000","56,449,000","63,821,000","57,245,000","60,274,000","57,052,000","54,030,000","54,427,000","52,806,000","111,488,000","104,716,000","90,526,000","82,850,000","72,269,000","60,091,000","107,979,000","95,406,000","92,094,000","81,646,000","79,379,000","84,642,000","77,579,000","87,142,000","81,301,000","67,929,000","65,970,000","61,757,000","60,543,000","61,334,000","66,096,000","64,261,000","61,139,000","66,445,000","64,553,000","49,902,000","54,332,000","46,371,000","49,039,000","42,788,000","187,771,000","205,379,000","226,055,534","29,427,000","25,000,000","35,000,000","39,800,000","22,800,000","24,400,000","22,500,000","27,600,000","24,200,000","23,000,000","21,700,000","24,000,000","23,100,000","62,500,000","56,200,000","60,500,000","50,200,000","51,700,000","39,200,000","44,500,000","40,800,000","32,300,000","22,600,000","26,400,000","26,800,000","21,700,000","16,300,000","20,200,000","21,900,000","18,800,000","14,600,000","21,500,000","19,800,000","17,500,000","16,300,000","16,700,000","11,100,000","9,800,000","6,700,000","8,900,000","9,400,000","2,300,000","3,300,000","5,600,000","6,100,000"
			CashAndCashEquivalents,"172,000,000","153,100,000","177,200,000","207,900,000","233,200,000","218,700,000","242,300,000","211,000,000","217,300,000","79,900,000","95,600,000","73,800,000","83,200,000","73,700,000","110,900,000","228,500,000","246,100,000","304,000,000","258,600,000","297,900,000","294,000,000","268,800,000","249,600,000","249,300,000","227,800,000","202,300,000","186,600,000","167,900,000","168,100,000","167,800,000","144,200,000","135,700,000","116,400,000","96,779,000","87,819,000","73,412,000","65,811,000","73,375,000","76,999,000","85,147,000","86,797,000","76,811,000","75,548,000","84,426,000","57,445,000","69,417,000","77,192,000","56,449,000","63,821,000","57,245,000","60,274,000","57,052,000","54,030,000","54,427,000","52,806,000","111,488,000","104,716,000","90,526,000","82,850,000","72,269,000","60,091,000","107,979,000","95,406,000","92,094,000","81,646,000","79,379,000","84,642,000","77,579,000","87,142,000","81,301,000","67,929,000","65,970,000","61,757,000","60,543,000","61,334,000","66,096,000","64,261,000","61,139,000","66,445,000","64,553,000","49,902,000","54,332,000","46,371,000","49,039,000","42,788,000","187,771,000","205,379,000","226,055,534","29,427,000","25,000,000","35,000,000","39,800,000","22,800,000","24,400,000","22,500,000","27,600,000","24,200,000","23,000,000","21,700,000","24,000,000","23,100,000","62,500,000","56,200,000","60,500,000","50,200,000","51,700,000","39,200,000","44,500,000","40,800,000","32,300,000","22,600,000","26,400,000","26,800,000","21,700,000","16,300,000","20,200,000","21,900,000","18,800,000","14,600,000","21,500,000","19,800,000","17,500,000","16,300,000","16,700,000","11,100,000","9,800,000","6,700,000","8,900,000","9,400,000","2,300,000","3,300,000","5,600,000","6,100,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,417,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"281,600,000","299,400,000","295,000,000","290,000,000","294,000,000","284,000,000","301,100,000","246,600,000","201,400,000","237,600,000","217,300,000","246,500,000","233,600,000","211,500,000","229,800,000","181,100,000","202,600,000","201,400,000","215,400,000","164,500,000","165,300,000","153,800,000","172,000,000","155,800,000","175,500,000","146,600,000","165,200,000","159,700,000","170,400,000","145,200,000","172,400,000","156,700,000","173,000,000","134,881,000","147,453,000","135,585,000","119,816,000","94,420,000","107,894,000","94,677,000","98,359,000","86,133,000","96,092,000","83,996,000","88,036,000","79,367,000","80,599,000","75,617,000","68,649,000","67,595,000","80,910,000","69,704,000","75,170,000","51,325,000","73,599,000","74,172,000","85,805,000","71,335,000","78,369,000","71,927,000","79,180,000","61,620,000","66,393,000","60,762,000","74,223,000","60,023,000","65,079,000","63,018,000","65,699,000","60,954,000","66,192,000","58,139,000","65,360,000","58,768,000","66,235,000","49,308,000","58,246,000","53,796,000","57,143,000","52,714,000","64,061,000","57,232,000","62,763,000","63,491,000","66,124,000","98,994,000","101,553,000","82,874,124","79,408,000","71,500,000","74,800,000","75,000,000","88,200,000","84,200,000","87,200,000","67,200,000","64,500,000","50,500,000","65,400,000","56,700,000","54,100,000","43,800,000","52,400,000","43,900,000","48,300,000","40,500,000","45,800,000","36,500,000","39,500,000","41,900,000","44,700,000","36,600,000","37,000,000","32,100,000","36,000,000","22,900,000","25,600,000","25,400,000","26,700,000","19,700,000","17,700,000","16,700,000","22,800,000","19,200,000","20,400,000","19,400,000","24,000,000","19,000,000","20,700,000","17,700,000","19,100,000","16,300,000","14,800,000"
			AccountsReceivable,"273,300,000","285,200,000","281,000,000","276,700,000","282,500,000","278,500,000","290,300,000","233,000,000","188,500,000","227,900,000","205,300,000","233,100,000","219,300,000","211,500,000","229,800,000","181,100,000","202,600,000","201,400,000","215,400,000","164,500,000","165,300,000","153,800,000","172,000,000","155,800,000","175,500,000","146,600,000","165,200,000","159,700,000","170,400,000","145,200,000","172,400,000","156,700,000","173,000,000","134,881,000","147,453,000","135,585,000","119,816,000","94,420,000","107,894,000","94,677,000","98,359,000","86,133,000","96,092,000","83,996,000","88,036,000","79,367,000","80,599,000","75,617,000","68,649,000","67,595,000","71,837,000","54,840,000","60,406,000","51,325,000","73,599,000","74,172,000","85,805,000","71,335,000","78,369,000","71,927,000","79,180,000","61,620,000","66,393,000","60,762,000","74,223,000","60,023,000","65,079,000","63,018,000","65,699,000","60,954,000","66,192,000","58,139,000","65,360,000","58,768,000","66,235,000","49,308,000","58,246,000","53,796,000","57,143,000","52,714,000","64,061,000","57,232,000","62,763,000","63,491,000","66,124,000","98,994,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"274,300,000","286,100,000","281,800,000","277,500,000","283,200,000",,,,"189,200,000",,,,"220,200,000",,,,"203,100,000",,,,"165,900,000",,,,"176,000,000",,,,"170,900,000",,,,"173,700,000",,,,"120,838,000",,,,"99,638,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,000,000","-900,000","-800,000","-800,000","-700,000",,,,"-700,000",,,,"-900,000",,,,"-500,000",,,,"-600,000",,,,"-500,000",,,,"-500,000",,,,"-700,000",,,,"-1,022,000",,,,"-1,279,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"8,300,000","14,200,000","14,000,000","13,300,000","11,500,000","5,500,000","10,800,000","13,600,000","12,900,000","9,700,000","12,000,000","13,400,000","14,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,073,000","14,864,000","14,764,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
