name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,09/30/2020
TotalRevenue,"0","0","0","0","0","0","0"
	OperatingRevenue,"0","0","0","0","0","0","0"
OperatingExpense,"282,438,000","100,739,000","83,090,000","56,418,000","42,191,000","37,709,000","8,093,000"
	SellingGeneralAndAdministration,"41,544,000","8,704,000","14,664,000","11,052,000","7,124,000","3,677,000","842,000"
		GeneralAndAdministrativeExpense,"41,544,000","8,704,000","14,664,000","11,052,000","7,124,000","3,677,000","842,000"
			SalariesAndWages,"19,689,000","1,643,000","7,560,000","6,432,000","4,054,000","1,494,000","204,000"
			OtherGandA,"21,855,000","7,061,000","7,104,000","4,620,000","3,070,000","2,183,000","638,000"
	ResearchAndDevelopment,"240,894,000","92,035,000","68,426,000","45,366,000","35,067,000","34,032,000","7,251,000"
OperatingIncome,"-282,438,000","-100,739,000","-83,090,000","-56,418,000","-42,191,000","-37,709,000","-8,093,000"
NetNonOperatingInterestIncomeExpense,,,,"48,000","23,000","9,000","0"
	InterestIncomeNonOperating,,,,"48,000","23,000","9,000","0"
OtherIncomeExpense,"-6,318,000","73,000","128,000","-4,005,000","-2,505,000","-1,000,000","-39,915,000"
	SpecialIncomeCharges,"-6,500,000","0","0","-4,000,000","-2,500,000","-1,000,000","-39,915,000"
		OtherSpecialCharges,,,"0","4,000,000","2,500,000","1,000,000","39,915,000"
	OtherNonOperatingIncomeExpenses,"182,000","73,000","128,000","-5,000","-5,000",,
PretaxIncome,"-288,756,000","-100,666,000","-83,042,000","-60,375,000","-44,673,000","-38,700,000","-48,008,000"
NetIncomeCommonStockholders,"-288,756,000","-100,666,000","-83,042,000","-60,375,000","-44,673,000","-38,700,000","-48,008,000"
	NetIncome,"-288,756,000","-100,666,000","-83,042,000","-60,375,000","-44,673,000","-38,700,000","-48,008,000"
		NetIncomeIncludingNoncontrollingInterests,"-288,756,000","-100,666,000","-83,042,000","-60,375,000","-44,673,000","-38,700,000","-48,008,000"
			NetIncomeContinuousOperations,"-288,756,000","-100,666,000","-83,042,000","-60,375,000","-44,673,000","-38,700,000","-48,008,000"
DilutedNIAvailtoComStockholders,"-288,756,000","-100,666,000","-83,042,000","-60,375,000","-44,673,000","-38,700,000","-48,008,000"
BasicEPS,,"-0.93",,"-0.98","-0.414","-0.61","-0.759"
DilutedEPS,,"-0.93",,"-0.98","-0.414","-0.61","-0.759"
BasicAverageShares,,"107,869,570",,"61,297,086","108,015,660","63,240,000","63,240,000"
DilutedAverageShares,,"107,869,570",,"61,297,086","108,015,660","63,240,000","63,240,000"
TotalOperatingIncomeAsReported,"-288,938,000","-100,739,000","-83,090,000","-60,418,000","-44,691,000","-38,709,000","-48,008,000"
TotalExpenses,"282,438,000","100,739,000","83,090,000","56,418,000","42,191,000","37,709,000","8,093,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-288,756,000","-100,666,000","-83,042,000","-60,375,000","-44,673,000","-38,700,000","-48,008,000"
NormalizedIncome,"-282,256,000","-100,666,000","-83,042,000","-56,375,000","-42,173,000","-37,700,000","-8,093,000"
InterestIncome,,,,"48,000","23,000","9,000","0"
NetInterestIncome,,,,"48,000","23,000","9,000","0"
EBIT,"-282,438,000","-100,739,000","-83,090,000","-56,418,000","-42,191,000","-37,709,000","-8,093,000"
EBITDA,"-282,353,000"
ReconciledDepreciation,"85,000","84,000",,,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"-288,756,000","-100,666,000","-83,042,000","-60,375,000","-44,673,000","-38,700,000","-48,008,000"
TotalUnusualItemsExcludingGoodwill,"-6,500,000","0","0","-4,000,000","-2,500,000","-1,000,000","-39,915,000"
TotalUnusualItems,"-6,500,000","0","0","-4,000,000","-2,500,000","-1,000,000","-39,915,000"
NormalizedEBITDA,"-275,853,000","-100,655,000","-83,090,000","-52,418,000","-39,691,000","-36,709,000","31,822,000"
TaxRateForCalcs,"0","0","0","0","0","0","0"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0"
