name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,12/31/2017
TotalAssets,"16,251,000,000","16,483,000,000","16,565,000,000","16,833,000,000","16,988,000,000","17,692,700,000","17,237,000,000","9,876,000,000","9,727,200,000","8,985,800,000","8,823,700,000","8,856,900,000","8,747,400,000","8,956,700,000","9,211,500,000","8,577,400,000","8,940,300,000"
	CurrentAssets,"3,194,000,000","3,276,000,000","3,160,000,000","3,431,000,000","3,344,000,000","3,416,500,000","3,281,400,000","3,191,300,000","3,120,600,000","2,373,100,000","2,310,400,000","2,383,500,000","2,278,300,000","2,504,900,000","2,703,700,000","2,056,900,000","2,123,700,000"
		CashCashEquivalentsAndShortTermInvestments,"342,000,000","638,000,000","453,000,000","580,000,000","515,000,000","494,700,000","659,900,000","1,391,100,000","1,206,400,000","334,000,000","309,200,000","385,100,000","272,100,000","474,800,000","300,000,000","321,000,000","323,400,000"
			CashAndCashEquivalents,"342,000,000","638,000,000","453,000,000","580,000,000","515,000,000","494,700,000","659,900,000","1,391,100,000","1,206,400,000","334,000,000","309,200,000","385,100,000","272,100,000","474,800,000","300,000,000","321,000,000","323,400,000"
		Receivables,"1,192,000,000","1,028,000,000","1,082,000,000","1,174,000,000","1,132,000,000","1,076,700,000","833,100,000","616,800,000","752,400,000","889,900,000","823,400,000","831,500,000","827,400,000","709,400,000","636,900,000","623,700,000","601,900,000"
			AccountsReceivable,"973,000,000","833,000,000","924,000,000","1,067,000,000","1,028,000,000","871,600,000","762,300,000","543,900,000","676,800,000","816,900,000","758,300,000","757,200,000","684,100,000","651,800,000","606,100,000","587,800,000","567,400,000"
				GrossAccountsReceivable,"985,000,000","845,000,000","935,000,000","1,077,000,000","1,037,000,000","880,100,000","771,100,000","551,200,000","684,200,000","823,100,000","764,600,000","762,900,000","692,400,000","660,200,000","614,900,000","596,900,000","577,200,000"
				AllowanceForDoubtfulAccountsReceivable,"-12,000,000","-12,000,000","-11,000,000","-10,000,000","-9,000,000","-8,500,000","-8,800,000","-7,300,000","-7,400,000","-6,200,000","-6,300,000","-5,700,000","-8,300,000","-8,400,000","-8,800,000","-9,100,000","-9,800,000"
			DuefromRelatedPartiesCurrent,,,,,,,,,"8,700,000",,,,"35,500,000",,,,
			OtherReceivables,"219,000,000","195,000,000","158,000,000","107,000,000","104,000,000","205,100,000","70,800,000","72,900,000","66,900,000","73,000,000","65,100,000","74,300,000","107,800,000","57,600,000","30,800,000","35,900,000","34,500,000"
		Inventory,"1,345,000,000","1,373,000,000","1,383,000,000","1,450,000,000","1,424,000,000","1,578,100,000","1,597,100,000","1,065,300,000","1,019,000,000","1,050,700,000","1,068,700,000","1,053,100,000","1,035,500,000","1,004,100,000","1,008,700,000","1,005,600,000","1,062,300,000"
			RawMaterials,"219,000,000","256,000,000","255,000,000","227,000,000","211,000,000","210,200,000","167,000,000","84,100,000","80,700,000","83,900,000","84,600,000","72,700,000","83,700,000","80,400,000","71,400,000","69,000,000","70,400,000"
			WorkInProcess,"572,000,000","565,000,000","576,000,000","662,000,000","630,000,000","625,200,000","664,100,000","575,400,000","592,100,000","603,200,000","588,100,000","610,200,000","580,500,000","570,400,000","572,300,000","578,600,000","580,000,000"
			FinishedGoods,"603,000,000","598,000,000","595,000,000","599,000,000","613,000,000","771,400,000","797,100,000","439,500,000","384,200,000","402,900,000","435,100,000","412,400,000","415,500,000","400,700,000","408,100,000","400,000,000","452,000,000"
			InventoriesAdjustmentsAllowances,"-49,000,000","-46,000,000","-43,000,000","-38,000,000","-30,000,000","-28,700,000","-31,100,000","-33,700,000","-38,000,000","-39,300,000","-39,100,000","-42,200,000","-44,200,000","-47,400,000","-43,100,000","-42,000,000","-40,100,000"
		PrepaidAssets,"315,000,000","237,000,000","242,000,000","227,000,000","273,000,000","256,300,000","180,600,000","107,400,000","132,100,000","87,400,000","98,000,000","102,300,000","114,800,000","113,900,000","123,200,000","106,600,000","136,100,000"
		RestrictedCash,,"0","0","0","0","10,700,000","10,700,000","10,700,000","10,700,000","11,100,000","11,100,000","11,500,000","28,500,000","202,700,000","634,900,000",,
	TotalNonCurrentAssets,"13,057,000,000","13,207,000,000","13,405,000,000","13,402,000,000","13,644,000,000","14,276,200,000","13,955,600,000","6,684,700,000","6,606,600,000","6,612,700,000","6,513,300,000","6,473,400,000","6,469,100,000","6,451,800,000","6,507,800,000","6,520,500,000","6,816,600,000"
