name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
OperatingCashFlow,"27,760,000","-4,252,000","6,824,000","-2,006,000","27,194,000","23,185,000","23,939,000","22,929,000","28,726,000","30,082,000","32,066,000","24,310,000","25,969,000","26,218,000","25,301,000","20,029,000","25,641,000","873,000","8,779,000","8,028,000","9,736,000","24,889,000","14,238,000","10,283,000","15,132,000","4,330,000","11,865,000","5,613,000","12,687,000","9,114,000","8,228,000","2,178,000","2,509,000","2,201,000","7,358,000","2,173,000","4,822,000","1,697,000","1,559,000","-9,949,000","4,182,000","12,443,000","11,028,000","4,216,000","8,629,000","5,392,000","8,103,000","9,350,000","3,413,000","4,521,000","5,167,000","2,607,000","3,343,000","2,486,000","2,734,000","2,636,000","2,465,000","9,590,000","-2,291,000","3,962,000","7,045,000","-6,612,000","-5,309,000","-5,437,000","-3,660,000","5,370,000","2,643,000","17,700,000","4,913,000","13,601,000","8,299,000","11,173,000","5,350,000","2,749,000","8,681,000","9,162,000","7,551,000","6,306,000","21,823,000","14,820,000","61,000","7,473,000","1,202,000","7,206,000","6,589,000","10,097,000","4,510,000","4,882,000","3,200,000","6,162,000","7,000,000","14,300,000","-4,300,000","3,400,000","6,000,000","4,000,000","4,200,000","400,000"
	CashFlowFromContinuingOperatingActivities,"27,760,000","-4,252,000","6,824,000","-2,006,000","27,194,000","23,185,000","23,939,000","22,929,000","28,726,000","30,082,000","32,066,000","24,310,000","25,969,000","26,218,000","25,301,000","20,029,000","25,641,000","873,000","8,779,000","8,028,000","9,736,000","24,889,000","14,238,000","10,283,000","15,132,000","4,330,000","11,865,000","5,613,000","12,687,000","9,114,000","8,228,000","2,178,000","2,509,000","2,201,000","7,358,000","2,173,000","4,822,000","1,697,000","1,559,000","-9,949,000","4,182,000","12,443,000","11,028,000","4,216,000","8,629,000","5,392,000","8,103,000","9,350,000","3,413,000","4,521,000","5,167,000","2,607,000","3,343,000","1,999,000","3,221,000","2,636,000","1,460,000","9,590,000","-2,291,000","3,962,000","7,045,000","-6,612,000","-5,309,000","-5,437,000","-3,660,000","5,370,000","2,643,000","17,700,000","4,913,000","13,601,000","8,299,000","11,173,000","5,350,000","2,749,000","8,681,000","9,162,000","7,551,000","6,306,000","21,823,000","14,820,000","61,000","7,473,000","1,202,000","7,206,000","6,589,000","10,097,000","4,510,000","4,882,000","3,200,000","6,162,000","7,000,000","14,300,000","-4,300,000","3,400,000","6,000,000","4,000,000","4,200,000","400,000"
		NetIncomeFromContinuingOperations,"12,285,000","4,139,000","-2,639,000","-7,140,000","17,925,000","15,635,000","12,686,000","15,798,000","27,224,000","23,565,000","15,676,000","19,247,000","12,804,000","14,109,000","12,383,000","7,479,000","10,101,000","3,696,000","9,133,000","17,953,000","8,804,000","7,048,000","5,204,000","3,819,000","8,463,000","4,526,000","4,793,000","1,960,000","5,930,000","4,567,000","265,000","499,000","-7,546,000","-578,000","-1,045,000","-2,256,000","-2,012,000","788,000","-4,784,000","-7,200,000","5,676,000",,,,"4,251,000","5,378,000","5,183,000","3,630,000",,"3,276,000","1,997,000","4,358,000","13,596,000","3,510,000","-17,064,000","-1,304,000","-20,379,000","-5,639,000","-6,087,000","-3,308,000","-19,718,000","-5,414,000","-1,035,000","-11,653,000","-6,341,000","-14,132,000","1,233,000","3,072,000","10,086,000","8,156,000","6,846,000","5,098,000","9,564,000","6,303,000","3,724,000","3,294,000","4,246,000","7,864,000","6,455,000","4,112,000","5,391,000","2,650,000","3,782,000","4,005,000","8,726,000","7,941,000","6,908,000","7,109,000","4,678,000","6,118,000","5,800,000","8,300,000","4,500,000","3,400,000","3,100,000","2,500,000","2,700,000","2,400,000"
		OperatingGainsLosses,,,,,,,,,"-2,007,000","-3,810,000",,,"5,420,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-336,000",,,,,,,,,"3,040,000","-80,000","46,000","54,000","-7,659,000","2,779,000","2,805,000","2,625,000","-215,000","1,913,000","770,000","274,000","933,000","845,000","190,000","425,000","423,000","-1,749,000","-1,103,000","-1,398,000","-770,000","-1,238,000","801,000","-456,000","-6,080,000","1,968,000","744,000","1,013,000","537,000","-1,023,000","900,000","1,800,000","3,700,000","-1,500,000",,,,
			GainLossOnInvestmentSecurities,,,,,,,,,"-2,007,000",,,,"5,420,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"90,863,000","24,465,000","24,066,000","21,490,000","20,842,000","19,960,000","13,284,000","12,997,000","12,751,000","12,651,000","12,547,000","11,381,000","11,562,000","11,576,000","11,708,000","11,546,000","11,957,000","11,381,000","9,602,000","9,337,000","9,130,000","7,963,000","7,856,000","7,320,000","5,864,000","3,319,000","3,258,000","3,301,000","3,394,000","3,296,000","3,520,000","3,630,000","3,716,000","3,864,000","3,908,000","4,120,000","4,365,000","4,424,000","4,421,000","3,999,000","3,277,000","3,113,000","2,597,000","2,671,000","2,409,000","2,323,000","1,869,000","1,747,000","1,765,000","1,746,000","1,658,000","1,688,000","1,871,000","2,074,000","2,393,000","3,026,000","3,856,000","4,254,000","3,891,000","3,987,000","4,295,000","4,728,000","4,533,000","4,406,000","4,157,000","4,725,000","4,888,000","3,790,000","2,752,000","3,012,000","2,759,000","2,050,000","2,092,000","1,543,000","1,855,000","1,916,000","2,093,000","2,098,000","2,039,000","1,982,000","2,335,000","1,446,000","1,662,000","1,643,000","1,641,000","1,510,000","1,569,000","1,408,000","1,417,000","1,082,000","1,300,000","1,300,000","1,500,000","1,100,000","900,000","1,000,000","900,000","800,000"
			DepreciationAndAmortization,"90,863,000","24,465,000","24,066,000","21,490,000","20,842,000","19,960,000","13,284,000","12,997,000","12,751,000","12,651,000","12,547,000","11,381,000","11,562,000","11,576,000","11,708,000","11,546,000","11,957,000","11,381,000","9,602,000","9,337,000","9,130,000","7,963,000","7,856,000","7,320,000","5,864,000","3,319,000","3,258,000","3,301,000","3,394,000","3,296,000","3,520,000","3,630,000","3,716,000","3,864,000","3,908,000","4,120,000","4,365,000","4,424,000","4,421,000","3,999,000","3,277,000","3,113,000","2,597,000","2,671,000","2,409,000","2,323,000","1,869,000","1,747,000","1,765,000","1,746,000","1,658,000","1,688,000","1,871,000","2,074,000","2,393,000","3,026,000","3,856,000","4,254,000","3,891,000","3,987,000","4,295,000","4,728,000","4,533,000","4,406,000","4,157,000","4,725,000","4,888,000","3,790,000","2,752,000","3,012,000","2,759,000","2,050,000","2,092,000","1,543,000","1,855,000","1,916,000","2,093,000","2,098,000","2,039,000","1,982,000","2,335,000","1,446,000","1,662,000","1,643,000","1,641,000","1,510,000","1,569,000","1,408,000","1,417,000","1,082,000","1,300,000","1,300,000","1,500,000","1,100,000","900,000","1,000,000","900,000","800,000"
		DeferredTax,"-9,000","-1,035,000","-2,035,000","-2,171,000","5,232,000","-2,584,000","-852,000","-2,921,000","-4,193,000","581,000","355,000","238,000","-503,000","889,000","-1,562,000","-381,000","18,000","-649,000","-647,000","-4,186,000","-2,223,000","-4,616,000","1,604,000","-2,606,000","-1,804,000","-363,000","-482,000","-412,000","-221,000","497,000","-494,000","-820,000","-322,000","-5,973,000","332,000","464,000","-3,615,000","-578,000","-2,383,000","-3,507,000",,,,,"1,034,000","48,000","668,000","138,000","-9,634,000","1,746,000","-328,000","-1,482,000","-1,197,000",,,"-12,000","634,000","922,000","1,952,000","74,000","6,704,000","-1,884,000","-1,904,000","-1,098,000","-840,000","-2,578,000","-1,300,000","-1,253,000",,,,,"-1,738,000",,,,,,,,,,,,,,,,,,,,,,,,"-800,000","0"
			DeferredIncomeTax,"-9,000","-1,035,000","-2,035,000","-2,171,000","5,232,000","-2,584,000","-852,000","-2,921,000","-4,193,000","581,000","355,000","238,000","-503,000","889,000","-1,562,000","-381,000","18,000","-649,000","-647,000","-4,186,000","-2,223,000","-4,616,000","1,604,000","-2,606,000","-1,804,000","-363,000","-482,000","-412,000","-221,000","497,000","-494,000","-820,000","-322,000","-5,973,000","332,000","464,000","-3,615,000","-578,000","-2,383,000","-3,507,000",,,,,"1,034,000","48,000","668,000","138,000","-9,634,000","1,746,000","-328,000","-1,482,000","-1,197,000",,,"-12,000","634,000","922,000","1,952,000","74,000","6,704,000","-1,884,000","-1,904,000","-1,098,000","-840,000","-2,578,000","-1,300,000","-1,253,000",,,,,"-1,738,000",,,,,,,,,,,,,,,,,,,,,,,,"-800,000","0"
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","0",,,"0","0",,,"6,687,000",,,,,,,,,,,,"150,000","0",,,"0","61,000","150,000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
