name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,03/31/1990,03/31/1989,03/31/1988
TotalAssets,"912,570,000","871,087,000","1,535,958,000","1,496,377,000","1,403,587,000","1,343,409,000","1,442,978,000","1,531,747,000","1,494,821,000","1,505,089,000","1,486,684,000","1,455,160,000","1,429,156,000","1,549,504,000","1,346,874,000","1,333,911,000","1,299,122,000","1,328,278,000","1,409,904,000","1,420,286,000","1,387,072,000","1,404,035,000","1,464,730,000","1,479,500,000","1,228,789,000","1,310,756,000","1,398,801,000","1,462,843,000","1,550,923,000","1,573,392,000","1,643,383,000","1,642,662,000","1,459,245,000","1,260,159,000","1,120,955,000","1,069,543,000","1,066,769,000","1,086,731,000","885,641,000","885,738,000","886,082,000","927,768,000","930,952,000","941,159,000","924,561,000","949,595,000","859,004,000","849,986,000","743,080,000","735,542,000","775,380,000","757,231,000","683,226,000","717,712,000","789,695,000","788,059,000","788,561,000","785,289,000","763,191,000","620,126,000","664,946,000","637,462,000","598,986,000","583,687,000","608,894,000","603,130,000","536,407,000","527,474,000","504,898,000","535,895,000","528,047,000","551,504,000","606,709,000","628,212,000","632,385,000","684,739,000","716,096,000","708,495,000","675,087,000","717,455,000","659,694,000","688,903,000","797,929,000","623,393,000","432,296,000","461,975,000","443,900,000","530,930,000","534,002,000","504,400,000","509,300,000","548,900,000","248,300,000","229,000,000","141,300,000","144,400,000","134,400,000","126,500,000","126,000,000","135,300,000","141,300,000","177,700,000","163,700,000","206,700,000","202,300,000","225,600,000","211,300,000","211,900,000","234,500,000","229,400,000","134,900,000","139,000,000","156,200,000","164,800,000","165,800,000","166,000,000","232,200,000","568,000,000","610,300,000","677,700,000","581,300,000","669,200,000","687,900,000","712,900,000","237,200,000","218,200,000","200,100,000"
	CurrentAssets,"507,622,000","471,803,000","858,002,000","838,186,000","725,230,000","663,903,000","752,423,000","798,738,000","753,867,000","681,614,000","634,368,000","638,493,000","627,361,000","872,221,000","661,668,000","629,012,000","571,684,000","613,709,000","699,932,000","716,523,000","660,452,000","705,463,000","783,725,000","803,221,000","526,645,000","583,739,000","686,188,000","745,058,000","821,001,000","857,846,000","906,138,000","940,320,000","766,878,000","588,311,000","586,477,000","580,219,000","602,800,000","639,056,000","447,183,000","448,278,000","463,536,000","509,741,000","559,399,000","564,816,000","515,031,000","526,763,000","471,189,000","485,815,000","394,604,000","389,208,000","417,265,000","400,630,000","335,423,000","355,283,000","370,669,000","379,625,000","382,943,000","395,626,000","391,254,000","285,324,000","330,439,000","303,156,000","284,712,000","305,389,000","327,223,000","319,099,000","290,739,000","282,922,000","266,576,000","242,124,000","237,489,000","236,774,000","295,410,000","315,377,000","333,223,000","353,623,000","384,064,000","381,091,000","384,586,000","421,681,000","465,188,000","515,727,000","517,565,000","355,533,000","228,995,000","269,942,000","282,137,000","241,089,000","213,745,000","188,700,000","233,200,000","241,900,000","126,200,000","122,600,000","72,600,000","77,400,000","72,400,000","68,000,000","73,000,000","95,500,000","101,700,000","80,600,000","81,400,000","88,700,000","90,500,000","95,900,000","86,900,000","77,500,000","118,600,000","87,500,000","87,400,000","89,400,000","103,500,000","114,400,000","110,900,000","109,300,000","164,700,000","274,700,000","328,800,000","393,000,000","299,600,000","356,900,000","368,500,000","392,300,000","191,100,000","173,300,000","158,600,000"
		CashCashEquivalentsAndShortTermInvestments,"371,643,000","340,098,000","678,826,000","647,391,000","531,474,000","488,427,000","575,163,000","629,006,000","571,139,000","500,982,000","459,988,000","458,961,000","447,290,000","716,150,000","498,965,000","467,640,000","420,802,000","451,842,000","550,705,000","556,632,000","506,918,000","550,433,000","621,527,000","635,592,000","361,748,000","422,344,000","534,723,000","580,900,000","623,383,000","672,408,000","714,299,000","744,190,000","562,312,000","407,000,000","406,030,000","415,854,000","434,341,000","475,839,000","282,449,000","276,889,000","284,793,000","317,409,000","387,346,000","384,329,000","343,617,000","378,579,000","330,684,000","356,262,000","264,572,000","261,197,000","299,562,000","274,745,000","226,845,000","239,623,000","252,660,000","257,306,000","264,567,000","283,992,000","284,090,000","176,999,000","185,878,000","165,729,000","167,902,000","180,772,000","202,734,000","199,566,000","178,636,000","183,170,000","160,955,000","124,931,000","114,687,000","99,428,000","126,480,000","142,329,000","146,129,000","169,129,000","194,146,000","228,457,000","254,622,000","285,419,000","350,264,000","391,458,000","416,854,000","258,092,000","157,214,000","205,198,000","198,759,000","69,802,000","82,605,000","20,100,000","57,500,000","8,400,000","5,500,000","7,400,000","6,300,000","11,400,000","4,600,000","4,800,000","2,300,000","19,500,000","2,200,000","1,900,000","2,100,000","4,400,000","5,400,000","3,400,000","17,000,000","8,600,000","35,900,000","4,300,000","7,800,000","6,500,000","18,300,000","15,800,000","16,000,000","11,800,000","14,400,000","40,700,000","58,500,000","99,800,000","33,600,000","47,300,000","43,700,000","64,200,000","82,200,000","62,000,000","27,300,000"
			CashAndCashEquivalents,"238,305,000","193,411,000","523,731,000","490,390,000","382,387,000","352,842,000","451,071,000","540,363,000","467,264,000","371,341,000","319,298,000","323,861,000","312,638,000","584,581,000","363,719,000","322,414,000","281,986,000","301,353,000","396,060,000","410,409,000","356,687,000","393,530,000","445,874,000","474,738,000","209,048,000","240,368,000","246,347,000","238,323,000","270,572,000","326,365,000","380,416,000","506,423,000","381,476,000","234,466,000","260,461,000","281,713,000","351,902,000","405,855,000","217,256,000","208,748,000","219,551,000","240,923,000","328,411,000","319,989,000","276,416,000","299,825,000","258,564,000","285,530,000","202,957,000","209,454,000","237,468,000","232,526,000","202,349,000","211,105,000","206,509,000","219,798,000","218,825,000","238,117,000","237,356,000","126,385,000","137,839,000","146,769,000","143,417,000","155,752,000","172,151,000","181,059,000","158,964,000","163,489,000","140,509,000","110,004,000","97,500,000","80,397,000","74,323,000","74,808,000","69,935,000","77,473,000","85,963,000","100,027,000","109,227,000","120,369,000","175,824,000","217,761,000","234,507,000","220,556,000","120,130,000","157,513,000","153,294,000","33,046,000","22,810,000","20,100,000","6,300,000","8,400,000","5,500,000","7,400,000","6,300,000","11,400,000","4,600,000","4,800,000","2,300,000","19,500,000","2,200,000","1,900,000","2,100,000","4,400,000","5,400,000","3,400,000","17,000,000","8,600,000","35,900,000","4,300,000","7,800,000","6,500,000","18,300,000","15,800,000","16,000,000","11,800,000","14,400,000","40,700,000","58,500,000","99,800,000","33,600,000","47,300,000","43,700,000","64,200,000","82,200,000","62,000,000","27,300,000"
			OtherShortTermInvestments,"133,338,000","146,687,000","155,095,000","157,001,000","149,087,000","135,585,000","124,092,000","88,643,000","103,875,000","129,641,000","140,690,000","135,100,000","134,652,000","131,569,000","135,246,000","145,226,000","138,816,000","150,489,000","154,645,000","146,223,000","150,231,000","156,903,000","175,653,000","160,854,000","152,700,000","181,976,000","288,376,000","342,577,000","352,811,000","346,043,000","333,883,000","237,767,000","180,836,000","172,534,000","145,569,000","134,141,000","82,439,000","69,984,000","65,193,000","68,141,000","65,242,000","76,486,000","58,935,000","64,340,000","67,201,000","78,754,000","72,120,000","70,732,000","61,615,000","51,743,000","62,094,000","42,219,000","24,496,000","28,518,000","46,151,000","37,508,000","45,742,000","45,875,000","46,734,000","50,614,000","48,039,000","18,960,000","24,485,000","25,020,000","30,583,000","18,507,000","19,672,000","19,681,000","20,446,000","14,927,000","17,187,000","19,031,000","52,157,000","67,521,000","76,194,000","91,656,000","108,183,000","128,430,000","145,395,000","165,050,000","174,440,000","173,697,000","182,347,000","37,536,000","37,084,000","47,685,000","45,465,000","36,756,000","59,795,000",,"51,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"29,885,000","27,015,000","46,426,000","51,463,000","45,905,000","40,711,000","43,999,000","32,760,000","39,453,000","36,959,000","42,653,000","44,347,000","36,440,000","34,246,000","27,918,000","39,962,000","26,897,000","40,698,000","18,055,000","33,657,000","33,832,000","34,911,000","30,658,000","25,294,000","25,070,000","26,730,000","20,112,000","18,022,000","24,893,000","26,610,000","28,419,000","28,522,000","35,341,000","12,159,000","22,595,000","29,126,000","27,220,000","18,026,000","12,390,000","17,243,000","20,944,000","34,422,000","17,516,000","20,722,000","16,881,000","1,849,000","5,975,000","6,743,000","7,154,000","8,098,000","6,824,000","9,511,000","1,756,000","9,506,000","7,398,000","8,607,000","9,080,000","3,113,000","3,855,000","15,642,000","37,964,000","15,480,000","8,494,000","15,722,000","17,219,000","13,352,000","22,875,000","11,493,000","12,988,000","3,117,000","6,440,000","12,385,000","18,050,000","13,030,000","10,897,000","18,215,000","26,592,000","17,248,000","15,223,000","25,151,000","15,690,000","35,614,000","34,911,000","36,900,000","28,533,000","21,543,000","31,796,000","36,360,000","44,614,000","31,900,000","24,000,000","14,400,000","18,900,000","16,100,000","12,200,000","14,800,000","13,900,000","13,700,000","25,700,000","24,800,000","44,100,000","20,700,000","20,300,000","23,800,000","16,800,000","26,800,000","21,400,000","18,400,000","28,200,000","32,900,000","29,900,000","30,800,000","33,200,000","53,200,000","35,100,000","36,500,000","64,400,000","105,100,000","127,200,000","114,400,000","124,800,000","125,700,000","134,600,000","138,900,000","28,700,000","42,200,000","41,000,000"
			AccountsReceivable,"29,885,000","16,067,000","46,426,000","51,463,000","45,905,000","40,711,000","43,999,000","32,760,000","39,453,000","36,959,000","42,653,000","44,347,000","36,440,000","34,246,000","27,918,000","30,836,000","23,321,000","29,481,000","18,055,000","25,479,000","14,490,000","18,801,000","23,371,000","25,076,000","20,449,000","23,889,000","20,112,000","18,022,000","18,092,000","23,328,000","13,607,000","15,753,000","13,181,000","12,159,000","11,931,000","12,495,000","10,416,000","11,247,000","11,567,000","10,825,000","10,812,000","24,869,000","17,516,000","20,722,000","16,881,000","1,849,000","5,975,000","6,743,000","7,154,000","8,098,000","6,824,000","9,511,000","1,756,000","9,506,000","7,398,000","8,607,000","9,080,000","3,113,000","3,855,000","15,642,000","17,964,000","15,480,000","8,494,000","15,722,000","16,503,000","12,714,000","22,373,000","10,974,000","12,421,000","2,464,000","4,794,000","10,339,000","14,849,000","10,425,000","8,630,000","15,942,000","23,929,000","13,395,000","11,790,000","18,927,000","11,597,000","34,380,000","15,937,000","10,359,000","28,533,000","21,543,000","31,796,000","36,360,000",,"31,900,000","24,000,000",,,"16,100,000","12,200,000",,,"13,700,000","25,700,000","24,800,000","44,100,000","20,700,000","20,300,000","23,800,000","16,800,000","26,800,000","21,400,000","18,400,000",,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,"16,393,000",,,,,,,,"37,952,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-326,000",,,,,,,,"-993,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"0","10,948,000",,,,,,"0",,,,,,"0","0","9,126,000","3,576,000","11,217,000","0","8,178,000","19,342,000","16,110,000","7,287,000","218,000","4,621,000","2,841,000","0","0","6,801,000","3,282,000","14,812,000","12,769,000","22,160,000","0","10,664,000","16,631,000","16,804,000","6,779,000","823,000","6,418,000","10,132,000","9,553,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
