name,03/31/2022
TotalAssets,"8,728,959"
	CurrentAssets,"768,736"
		CashCashEquivalentsAndShortTermInvestments,"648,176"
			CashAndCashEquivalents,"648,176"
				CashFinancial,"648,176"
		PrepaidAssets,"120,560"
	TotalNonCurrentAssets,"7,960,223"
		NetPPE,"7,959,223"
			GrossPPE,"10,268,833"
				Properties,"0"
				LandAndImprovements,"260,000"
				BuildingsAndImprovements,"8,883,851"
				MachineryFurnitureEquipment,"77,222"
				ConstructionInProgress,"1,047,760"
			AccumulatedDepreciation,"-2,309,610"
		GoodwillAndOtherIntangibleAssets,"1,000"
			OtherIntangibleAssets,"1,000"
TotalLiabilitiesNetMinorityInterest,"1,184,906"
	CurrentLiabilities,"1,184,906"
		PayablesAndAccruedExpenses,"1,184,906"
			Payables,"1,132,101"
				AccountsPayable,"739,907"
				DuetoRelatedPartiesCurrent,"392,194"
			CurrentAccruedExpenses,"52,805"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"0"
TotalEquityGrossMinorityInterest,"7,544,053"
	StockholdersEquity,"7,544,053"
		CapitalStock,"15,755"
			CommonStock,"15,755"
		AdditionalPaidInCapital,"14,668,388"
		RetainedEarnings,"-7,140,090"
TotalCapitalization,"7,544,053"
CommonStockEquity,"7,544,053"
NetTangibleAssets,"7,543,053"
WorkingCapital,"-416,170"
InvestedCapital,"7,544,053"
TangibleBookValue,"7,543,053"
ShareIssued,"158,357,000"
OrdinarySharesNumber,"158,357,000"
