name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000
OperatingCashFlow,"249,100,000","18,900,000","123,800,000","41,900,000","64,500,000","3,600,000","152,900,000","-7,300,000","88,800,000","-12,800,000","102,200,000","99,200,000","124,100,000","-24,700,000","82,800,000","62,000,000","82,200,000","26,700,000","91,200,000","67,500,000","67,400,000","-23,700,000","94,500,000","77,400,000","78,600,000","-29,200,000","98,600,000","68,700,000","117,700,000","-57,800,000","76,600,000","88,000,000","118,700,000","-74,900,000","113,800,000","20,400,000","66,300,000","-91,500,000","20,000,000","54,600,000","52,400,000","-20,100,000","53,300,000","28,100,000","30,500,000","-39,400,000","58,400,000","41,200,000","38,400,000","2,800,000","12,800,000","82,300,000","64,200,000","70,400,000","55,500,000","17,300,000","-57,400,000","57,100,000","22,600,000","-55,700,000","96,500,000","3,800,000","16,700,000","48,800,000","57,000,000","-10,800,000","28,200,000","25,600,000","6,400,000","3,500,000","-36,400,000","53,100,000","-63,700,000","20,000,000","-11,600,000","7,400,000","-137,200,000","-34,600,000","47,200,000","3,800,000","-50,300,000","-32,000,000","56,000,000","-5,900,000","180,300,000","78,300,000","96,000,000"
	CashFlowFromContinuingOperatingActivities,"249,100,000","18,900,000","123,800,000","41,900,000","64,500,000","3,600,000","152,900,000","-7,300,000","88,800,000","-12,800,000","102,200,000","99,200,000","124,100,000","-24,700,000","82,800,000","62,000,000","82,200,000","26,700,000","91,200,000","67,500,000","67,400,000","-23,700,000","94,500,000","77,400,000","78,600,000","-29,200,000","98,600,000","68,700,000","117,700,000","-57,800,000","76,600,000","88,000,000","118,700,000","-74,900,000","113,800,000","20,400,000","66,300,000","-91,500,000","20,000,000","54,600,000","52,400,000","-20,100,000","53,300,000","28,100,000","30,500,000","-39,400,000","58,400,000","41,200,000","38,400,000","2,800,000","12,800,000","82,300,000","64,200,000","70,400,000","55,500,000","17,300,000","-57,400,000","57,100,000","22,600,000","-55,700,000","96,500,000","3,800,000","15,900,000","46,500,000","57,000,000","-10,700,000","51,300,000","19,600,000","-6,100,000","-1,100,000","-36,200,000","54,900,000","-79,800,000","9,500,000","-11,600,000","7,400,000","-137,200,000","-34,600,000","47,200,000","3,800,000","-50,300,000","-32,000,000","56,000,000","-5,900,000","180,300,000","78,300,000","96,000,000"
		NetIncomeFromContinuingOperations,"235,400,000","84,500,000","28,900,000","52,600,000","69,400,000","79,700,000","74,800,000","2,600,000","23,200,000","32,800,000","465,300,000","43,100,000","42,100,000","38,300,000","11,200,000","50,200,000","51,200,000","46,900,000","38,100,000","38,800,000","-181,400,000","46,900,000","33,700,000","42,300,000","50,000,000","39,000,000","3,000,000","44,500,000","67,000,000","30,200,000","-15,000,000","32,700,000","31,500,000","29,200,000","24,200,000","22,800,000","180,600,000","15,100,000",,,,,,,,"110,200,000","97,500,000","1,000,000","45,700,000","18,400,000","24,000,000","49,600,000","3,500,000","-9,300,000","-282,600,000","-5,600,000","8,800,000","6,500,000","7,100,000","2,300,000","-5,400,000","7,400,000","14,400,000","19,600,000","42,400,000","46,800,000","21,700,000","-16,500,000","22,600,000","19,100,000","-5,900,000","3,900,000","21,500,000","4,000,000","-182,600,000","-43,200,000","-6,000,000","-19,300,000","-17,500,000","9,800,000","6,100,000","-57,300,000","-30,100,000","2,900,000","2,500,000","-21,400,000","-13,200,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,"1,000,000","0",,,"-1,000,000","-1,100,000","226,200,000","300,000","0","0",,,,,,,"0","-400,000",,,"-26,900,000","5,100,000","-223,600,000","10,600,000","-23,000,000","0","0","-400,000","-17,200,000","0","6,000,000","-133,900,000","32,400,000","-400,000","-6,900,000","-900,000","2,300,000","8,200,000","2,700,000","-11,900,000","29,100,000","-8,800,000","-11,400,000","-7,200,000","18,200,000","2,700,000","-4,700,000","-6,300,000","16,300,000","-800,000","7,100,000","-32,200,000","15,800,000","32,900,000","-20,800,000","-29,300,000","-10,800,000","50,900,000","-57,400,000","-11,700,000","151,200,000","-1,300,000","-18,800,000","2,100,000","23,900,000","-26,600,000","-4,800,000","54,600,000","17,400,000","2,100,000","-4,200,000","22,000,000","32,300,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,"0",,,,"-1,000,000","-600,000",,,,,,,"0","0",,,"0","-400,000",,,"0","-100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,"0",,,,"0","-500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-18,100,000","0","6,000,000","-133,900,000",,"-10,500,000","-7,800,000","-1,500,000",,"-5,200,000","-10,100,000","-13,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"146,600,000","37,800,000","38,200,000","36,800,000","33,800,000","37,100,000","37,700,000","36,500,000","20,900,000","19,900,000","19,100,000","21,500,000","23,600,000","23,300,000","22,500,000","24,000,000","22,600,000","22,400,000","21,700,000","23,100,000","27,000,000","26,500,000","26,600,000","26,000,000","26,200,000","27,100,000","25,800,000","39,800,000","25,000,000","25,100,000","25,000,000","26,700,000","39,400,000","32,800,000","38,500,000","25,500,000","25,900,000","19,900,000","17,000,000","17,200,000","17,900,000","17,700,000","15,100,000","14,000,000","14,300,000","14,100,000","13,700,000","13,700,000","13,800,000","14,000,000","15,000,000","15,800,000","14,000,000","20,000,000","16,200,000","20,100,000","15,900,000","15,800,000","14,700,000","14,100,000","14,500,000","14,100,000","14,300,000","14,200,000","14,300,000","14,300,000","12,400,000","13,400,000","12,400,000","12,500,000","19,200,000","9,100,000","11,000,000","11,600,000","-3,700,000","18,200,000","18,400,000","18,500,000","16,200,000","18,900,000","19,100,000","18,300,000","18,400,000","20,600,000","25,900,000","26,400,000","24,700,000"
			DepreciationAndAmortization,"146,600,000","37,800,000","38,200,000","36,800,000","33,800,000","37,100,000","37,700,000","36,500,000","20,900,000","19,900,000","19,100,000","21,500,000","23,600,000","23,300,000","22,500,000","24,000,000","22,600,000","22,400,000","21,700,000","23,100,000","27,000,000","26,500,000","26,600,000","26,000,000","26,200,000","27,100,000","25,800,000","39,800,000","25,000,000","25,100,000","25,000,000","26,700,000","39,400,000","32,800,000","38,500,000","25,500,000","25,900,000","19,900,000","17,000,000","17,200,000","17,900,000","17,700,000","15,100,000",,,,"13,700,000","13,700,000","13,800,000","14,000,000","15,000,000","15,800,000","14,000,000","20,000,000","16,200,000","20,100,000","15,900,000","15,800,000","14,700,000","14,100,000","14,500,000","14,100,000","14,300,000","14,200,000","14,300,000","14,300,000","12,400,000","13,400,000","12,400,000","12,500,000","19,200,000","9,100,000","11,000,000","11,600,000","-3,700,000","18,200,000","18,400,000","18,500,000","16,200,000","18,900,000","19,100,000","18,300,000","18,400,000","20,600,000","25,900,000","26,400,000","24,700,000"
				Depreciation,,"37,800,000",,,,,,,,,"19,100,000",,,"23,300,000","22,500,000","24,000,000","22,600,000","22,400,000","21,700,000","23,100,000","27,000,000","26,500,000","26,600,000","26,000,000","26,200,000","27,100,000","25,800,000","39,800,000","25,000,000","25,100,000","25,000,000","26,700,000","39,400,000","32,800,000","38,500,000","25,500,000","25,900,000","19,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,600,000","3,700,000","10,400,000","900,000","-31,900,000","-1,300,000","10,100,000","26,700,000","-73,500,000","2,200,000","1,900,000","0","-3,500,000","600,000","9,400,000","-600,000","94,500,000","-5,500,000","1,000,000","-600,000","-4,900,000",,,"1,100,000","-14,100,000","0","300,000","200,000","1,000,000","100,000",,,"-800,000","300,000",,,,,,,,,,,"-26,200,000","1,200,000","5,100,000","-9,100,000","0"
			DeferredIncomeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,600,000","3,700,000","10,400,000","900,000","-31,900,000","-1,300,000","10,100,000","26,700,000","-73,500,000","2,200,000","1,900,000","0","-3,500,000","600,000","9,400,000","-600,000","94,500,000","-5,500,000","1,000,000","-600,000","-4,900,000",,,"1,100,000","-14,100,000","0","300,000","200,000","1,000,000","100,000",,,"-800,000","300,000",,,,,,,,,,,"-26,200,000","1,200,000","5,100,000","-9,100,000","0"
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,,,,,,,,,,,,,,,,,,,,,,,,"0","0","100,000",,"100,000","0","0","200,000","-100,000","100,000","200,000","-300,000","500,000","0","0","-400,000","0","100,000","600,000","200,000","600,000","300,000","900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"11,700,000","3,200,000","2,800,000","2,800,000","2,900,000","2,700,000","4,200,000","1,400,000","3,600,000","2,100,000","3,600,000","3,000,000","3,200,000","2,500,000","2,600,000","2,800,000","2,800,000","2,700,000","2,200,000","2,300,000","3,300,000","2,400,000","1,900,000","2,200,000","2,100,000","2,200,000","3,100,000","1,800,000","2,300,000","1,900,000","2,800,000","1,300,000","6,300,000","3,800,000","3,300,000","3,100,000","3,100,000","7,000,000","2,600,000","2,800,000","3,000,000","2,000,000","1,400,000","1,400,000","1,400,000","1,200,000","1,200,000","1,100,000","1,200,000","900,000","400,000","800,000","800,000","600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,,,,,,,"0","-17,100,000","0","-21,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,000,000","24,600,000","20,200,000","12,300,000","21,600,000",,,"-41,400,000","27,600,000","1,200,000","1,300,000","-3,700,000","7,800,000","700,000","2,200,000","2,700,000","18,000,000","-4,500,000","-6,600,000","-40,000,000","34,800,000",,,"-800,000",,,,,,,,,,,,,,,,,,,,,,,,
		ChangeInWorkingCapital,"-117,300,000","-106,600,000","81,200,000","-50,300,000","-41,600,000","-115,900,000","37,900,000","111,300,000","41,100,000","-46,600,000","75,100,000","31,600,000","55,200,000","-88,800,000","50,300,000","-15,000,000","5,500,000","-45,300,000","31,600,000","4,400,000","-7,700,000","-99,800,000","21,900,000","6,900,000","-100,000","-97,600,000","77,800,000","-17,500,000","23,400,000","-115,000,000","108,800,000","27,800,000","42,200,000","-140,900,000","66,900,000","-41,400,000","80,300,000","-144,100,000","22,400,000","6,900,000","-3,600,000","-61,100,000","73,400,000","-8,200,000","-30,100,000","-58,600,000","28,500,000","-4,000,000","-18,500,000","-30,900,000","-21,700,000","-500,000","33,100,000","64,400,000","22,600,000","-900,000","-67,200,000","49,200,000","27,500,000","-57,400,000","72,000,000","-12,500,000","-14,200,000","9,900,000","-7,100,000","-39,800,000","400,000","-10,300,000","-21,200,000","-3,400,000","-37,900,000","-9,300,000","-56,000,000","5,600,000","19,000,000","9,500,000","-106,600,000","-35,900,000","37,300,000","1,700,000","-70,700,000","-47,600,000","76,500,000","-32,700,000","151,000,000","60,400,000","52,200,000"
			ChangeInReceivables,"-124,300,000","-118,800,000","56,600,000","-3,600,000","-58,500,000","-137,600,000","8,100,000","-29,500,000","73,700,000","-56,900,000","42,400,000","33,400,000","6,900,000","-53,000,000","59,300,000","16,400,000","-4,600,000","-82,400,000","38,900,000","14,900,000","-11,800,000","-86,700,000","49,800,000","16,900,000","-4,800,000","-79,500,000","61,100,000","22,300,000","15,000,000","-55,800,000","62,300,000","36,100,000","7,700,000","-81,700,000","77,700,000","19,800,000","5,600,000","-76,200,000","57,700,000","33,800,000","-7,900,000","-80,200,000","75,000,000","21,400,000","-12,900,000","-78,100,000","53,100,000","22,200,000","-28,900,000","-71,300,000","21,500,000","-10,800,000","-25,400,000","1,800,000","144,100,000","8,000,000","-27,500,000","-49,600,000","43,100,000","-70,400,000","76,600,000","-58,200,000","51,700,000","14,700,000","3,900,000","-55,200,000","18,100,000","17,700,000","-51,300,000","-200,000","116,300,000","-17,200,000","-50,100,000","-64,000,000","143,300,000","-16,000,000","-87,400,000","-37,700,000","35,300,000","19,900,000","-23,500,000","-70,300,000","58,000,000","4,700,000","87,600,000","40,700,000","88,300,000"
				ChangesInAccountReceivables,"-124,300,000","-118,800,000","56,600,000","-3,600,000","-58,500,000","-137,600,000","8,100,000","-29,500,000","73,700,000","-56,900,000","42,400,000","33,400,000","6,900,000","-53,000,000","59,300,000","16,400,000","-4,600,000","-82,400,000","38,900,000","14,900,000","-11,800,000","-86,700,000","49,800,000","16,900,000","-4,800,000","-79,500,000","61,100,000","22,300,000","15,000,000","-55,800,000","62,300,000","36,100,000","7,700,000","-81,700,000","77,700,000","19,800,000","5,600,000","-76,200,000","57,700,000","33,800,000","-7,900,000","-80,200,000","75,000,000","21,400,000","-12,900,000","-78,100,000","53,100,000","22,200,000","-28,900,000","-71,300,000","21,500,000","-10,800,000","-25,400,000","1,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInInventory,"-119,500,000","-15,100,000","16,700,000","-68,100,000","-53,000,000","-35,100,000","-12,800,000","35,600,000","30,400,000","-13,000,000","20,200,000","10,400,000","21,600,000","-12,000,000","-10,500,000","-15,600,000","-1,500,000","17,000,000","-19,400,000","-3,900,000","4,600,000","-22,400,000","11,200,000","-6,100,000","9,000,000","-13,300,000","2,500,000","13,700,000","-2,200,000","7,400,000","-1,900,000","6,900,000","17,500,000","5,900,000","-1,100,000","25,400,000","-15,300,000","11,400,000","10,600,000","2,100,000","-7,900,000","-7,500,000","26,600,000","11,800,000","-16,300,000","-17,400,000","22,600,000","-2,800,000","-24,700,000","-24,300,000","-800,000","-7,100,000","11,200,000","35,800,000","68,400,000","-1,500,000","-4,800,000","-28,500,000","35,700,000","8,000,000","-12,100,000","-4,900,000","-3,200,000","-20,000,000","-8,500,000","-7,900,000","11,700,000","3,700,000","25,800,000","-31,900,000","26,800,000","-5,800,000","-2,000,000","-17,900,000","23,000,000","27,300,000","8,100,000","-34,100,000","34,200,000","-2,200,000","-14,700,000","-16,500,000","24,600,000","-6,200,000","47,100,000","14,200,000","200,000"
			ChangeInPayablesAndAccruedExpense,"118,500,000","90,500,000","0","-13,100,000","41,100,000","67,300,000","57,100,000","44,800,000","-68,100,000","44,600,000","5,600,000","-20,100,000","-9,400,000","1,200,000","-20,500,000","-5,600,000","17,400,000","16,600,000","9,200,000","3,500,000","1,000,000","38,500,000","-17,700,000","8,500,000","-8,300,000","29,900,000","-23,300,000","-20,500,000","13,300,000","22,200,000","-41,500,000","-9,600,000","-7,300,000","43,200,000","-13,800,000","-18,300,000","-33,700,000","49,200,000","-26,600,000","-16,700,000","30,500,000","26,600,000","-89,400,000","-28,900,000","17,600,000","36,900,000","-47,200,000","-23,400,000","35,100,000","64,700,000","-48,700,000","23,700,000","47,300,000","26,800,000","-141,000,000","-42,200,000","32,700,000","45,600,000","-50,900,000","-11,100,000","35,700,000","44,100,000","-47,800,000","-1,100,000","12,500,000","19,200,000","-6,500,000","4,300,000","-20,000,000","35,200,000","-29,400,000","-4,900,000","-10,100,000","70,000,000","-40,600,000","-13,000,000","-33,900,000","56,200,000","-43,800,000","-6,000,000","-37,500,000","22,800,000","-28,400,000","-22,800,000","15,800,000","30,600,000","-800,000"
				ChangeInPayable,"118,500,000","90,500,000","0","-13,100,000","41,100,000","67,300,000","57,100,000","44,800,000","-68,100,000","44,600,000","5,600,000","-20,100,000","-9,400,000","1,200,000","-20,500,000","-5,600,000","17,400,000","16,600,000","9,200,000","3,500,000","1,000,000","38,500,000","-17,700,000","8,500,000","-8,300,000","29,900,000","-23,300,000","-20,500,000","13,300,000","22,200,000","-41,500,000","-9,600,000","-7,300,000","43,200,000","-13,800,000","-18,300,000","-33,700,000","49,200,000","-15,900,000","-27,300,000","-4,000,000","61,000,000","-45,400,000","-29,400,000","21,800,000","66,800,000","-41,200,000","-27,200,000","25,100,000","75,200,000","-21,500,000","23,100,000","49,000,000","25,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,"118,500,000","90,500,000","0","-13,100,000","41,100,000","67,300,000","57,100,000","44,800,000","-68,100,000","44,600,000","5,600,000","-20,100,000","-9,400,000","1,200,000","-20,500,000","-5,600,000","17,400,000","16,600,000","9,200,000","3,500,000","1,000,000","38,500,000","-17,700,000","8,500,000","-8,300,000","29,900,000","-23,300,000","-20,500,000","13,300,000","22,200,000","-41,500,000","-9,600,000","-7,300,000","43,200,000","-13,800,000","-18,300,000","-33,700,000","49,200,000","-15,900,000","-27,300,000","-4,000,000","61,000,000","-45,400,000","-29,400,000","21,800,000","66,800,000","-41,200,000","-27,200,000","25,100,000","75,200,000","-21,500,000","23,100,000","49,000,000","25,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ChangeInAccruedExpense,,,,,,"-3,400,000","-58,100,000","60,600,000","14,600,000","-19,100,000","-16,800,000","10,900,000","38,200,000","-23,100,000","9,500,000","-7,500,000","-3,100,000","5,800,000","2,100,000","-6,400,000","1,900,000","-25,900,000","-9,500,000","-8,200,000","7,400,000","-11,000,000","30,000,000","-28,800,000","1,200,000","-64,800,000","35,600,000","-2,400,000","27,000,000","-89,900,000","51,700,000","-57,100,000","134,700,000","-73,800,000","-18,900,000","10,600,000","34,500,000","-34,400,000","-44,000,000","500,000","-4,200,000","-29,900,000","-6,000,000","3,800,000","10,000,000","-10,500,000",,,"-1,700,000","1,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentLiabilities,,,"0",,,"0","-1,500,000","1,500,000","0","1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,900,000",,,,"6,500,000","-14,900,000","16,300,000","-15,000,000","4,100,000","-22,900,000","-36,000,000","24,300,000","-6,500,000","-151,600,000","18,600,000","6,200,000","17,500,000","-106,700,000","11,200,000","6,600,000","-20,300,000","11,600,000","-10,000,000","5,000,000","16,400,000","22,300,000","-8,400,000","500,000","-25,100,000","-22,200,000"
			ChangeInOtherWorkingCapital,"8,000,000","-63,200,000","7,900,000","34,500,000","28,800,000","-10,500,000","-12,000,000","58,900,000","5,100,000","-22,300,000","6,900,000","7,900,000","36,100,000","-25,000,000","22,000,000","-10,200,000","-5,800,000","3,500,000","2,900,000","-10,100,000","-1,500,000","-29,200,000","-21,400,000","-12,400,000","4,000,000","-34,700,000","37,500,000","-33,000,000","-2,700,000","-88,800,000","89,900,000","-5,600,000","24,300,000","-108,300,000","4,100,000","-68,300,000","123,700,000","-128,500,000","-19,300,000","-12,300,000",,,"61,200,000","-12,500,000",,,,,,,,"-5,700,000",,,,"11,700,000","-72,500,000","86,600,000",,"16,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		TaxesRefundPaid,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	CashFromDiscontinuedOperatingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"800,000","2,300,000","0","-100,000",,"6,000,000","12,500,000","4,600,000","-200,000","-1,800,000","16,100,000","10,500,000",,,,,,,,,,,,,
InvestingCashFlow,"-145,000,000","-13,300,000","-37,900,000","-68,200,000","-25,600,000","-18,500,000","-62,600,000","-1,360,000,000","-10,200,000","1,200,000","774,100,000","-20,000,000","-14,300,000","-127,900,000","-24,400,000","-15,800,000","-44,200,000","-85,900,000","-26,600,000","69,400,000","-126,700,000","-35,500,000","-28,900,000","-103,100,000","-11,000,000","-92,400,000","-46,800,000","-22,500,000","-23,200,000","-14,000,000","-79,300,000","-21,800,000","-20,000,000","9,300,000","-33,600,000","-14,500,000","236,700,000","-248,700,000","-58,200,000","-16,300,000","-8,800,000","11,000,000","-508,200,000","-7,800,000","-11,600,000","105,100,000","9,400,000","-8,000,000","-6,600,000","3,500,000","-10,300,000","-3,700,000","-5,500,000","-6,700,000","-12,600,000","-11,000,000","-11,500,000","-158,400,000","-1,500,000","233,200,000","-12,900,000","-3,500,000","-14,800,000","-13,800,000","-2,800,000","14,600,000","-13,500,000","1,100,000","-2,100,000","-9,700,000","-7,900,000","94,300,000","34,200,000","-8,700,000","900,000","49,300,000","-65,900,000","2,800,000","-44,300,000","1,600,000","-27,300,000","-8,600,000","-32,200,000","-13,500,000","-9,000,000","-20,200,000","-32,600,000"
	CashFlowFromContinuingInvestingActivities,"-145,000,000","-13,300,000","-37,900,000","-68,200,000","-25,600,000","-18,500,000","-62,600,000","-1,360,000,000","-10,200,000","1,200,000","774,100,000","-20,000,000","-14,300,000","-127,900,000","-24,400,000","-15,800,000","-44,200,000","-85,900,000","-26,600,000","69,400,000","-126,700,000","-35,500,000","-28,900,000","-103,100,000","-11,000,000","-92,400,000","-46,800,000","-22,500,000","-23,200,000","-14,000,000","-79,300,000","-21,800,000","-20,000,000","9,300,000","-33,600,000","-14,500,000","236,700,000","-248,700,000","-58,200,000","-16,300,000","-8,800,000","11,000,000","-508,200,000","-7,800,000","-11,600,000","105,100,000","9,400,000","-8,000,000","-6,600,000","3,500,000","-10,300,000","-3,700,000","-5,500,000","-6,700,000","-12,600,000","-11,000,000","-11,500,000","-158,400,000","-1,500,000","233,200,000","-12,900,000","-3,500,000","-14,800,000","-13,800,000","-20,100,000","14,800,000","-11,800,000","1,100,000","-2,100,000","-9,700,000","-7,900,000","94,300,000","34,200,000","-8,700,000","900,000","49,300,000","-65,900,000","2,800,000","-44,300,000","1,600,000","-27,300,000","-8,600,000","-32,200,000","-13,500,000","-9,000,000","-20,200,000","-32,600,000"
		CapitalExpenditureReported,"-97,400,000","-13,300,000","-37,900,000","-20,600,000","-25,600,000","-16,500,000","-25,100,000","-17,300,000","-10,200,000","-11,100,000","-33,800,000","-21,400,000","-16,600,000","-9,900,000","-24,800,000","-19,700,000","-18,600,000","-12,900,000","-27,600,000","-17,900,000","-18,600,000","-15,500,000","-26,200,000","-18,400,000","-20,000,000","-19,600,000","-29,600,000","-22,500,000","-24,000,000","-15,100,000","-32,100,000","-22,700,000","-20,500,000","-17,500,000","-34,600,000","-15,100,000","-13,800,000","-12,900,000",,,,,,,,,"-20,600,000","-8,000,000","-6,600,000","-4,300,000","-15,800,000","-3,700,000","-5,500,000","-6,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
