name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,12/31/2004
TotalAssets,"5,634,000,000","6,199,000,000","5,832,000,000","5,522,000,000","5,675,000,000","5,705,000,000","5,308,000,000","5,010,000,000","5,104,000,000","5,364,000,000","5,402,000,000","5,318,000,000","5,317,000,000","5,072,000,000","4,863,000,000","4,710,000,000","4,364,000,000","3,674,000,000","3,601,000,000","3,581,000,000","3,962,000,000","4,144,000,000","4,242,000,000","3,432,000,000","3,370,000,000","3,412,000,000","3,651,000,000","3,822,000,000","3,883,000,000","4,199,000,000","5,386,000,000","5,311,000,000","5,323,000,000","5,516,000,000","5,420,000,000","5,408,000,000","5,547,000,000","5,767,000,000","5,718,000,000","5,695,000,000","5,536,000,000","5,673,000,000","5,569,000,000","5,477,000,000","5,467,000,000","5,417,000,000","5,647,000,000","5,589,000,000","5,327,000,000","5,578,000,000","5,647,000,000","5,655,000,000","5,884,000,000","5,323,000,000","5,178,000,000","5,267,000,000","5,203,000,000","5,177,000,000","5,222,000,000","5,446,000,000","5,407,000,000","5,742,000,000","5,623,000,000","5,059,000,000","5,182,000,000","5,487,000,000"
	CurrentAssets,"1,774,000,000","2,152,000,000","2,136,000,000","1,726,000,000","1,628,000,000","1,634,000,000","2,207,000,000","1,897,000,000","1,982,000,000","2,011,000,000","2,107,000,000","1,980,000,000","1,971,000,000","1,959,000,000","1,764,000,000","1,663,000,000","1,633,000,000","1,425,000,000","1,518,000,000","1,495,000,000","1,881,000,000","2,047,000,000","1,790,000,000","1,801,000,000","1,745,000,000","1,844,000,000","1,962,000,000","2,154,000,000","2,233,000,000","2,544,000,000","2,823,000,000","2,745,000,000","2,781,000,000","3,010,000,000","3,218,000,000","3,193,000,000","3,495,000,000","3,668,000,000","3,612,000,000","3,446,000,000","3,271,000,000","3,442,000,000","3,366,000,000","3,249,000,000","3,229,000,000","3,262,000,000","3,803,000,000","3,791,000,000","3,641,000,000","3,927,000,000","3,939,000,000","3,975,000,000","4,142,000,000","3,659,000,000","4,011,000,000","4,095,000,000","4,056,000,000","4,020,000,000","4,080,000,000","3,994,000,000","3,898,000,000","4,070,000,000","3,956,000,000","3,367,000,000","3,510,000,000","3,732,000,000"
		CashCashEquivalentsAndShortTermInvestments,"412,000,000","370,000,000","550,000,000","483,000,000","445,000,000","436,000,000","949,000,000","635,000,000","566,000,000","712,000,000","681,000,000","611,000,000","708,000,000","739,000,000","581,000,000","519,000,000","486,000,000","439,000,000","511,000,000","491,000,000","410,000,000","536,000,000","569,000,000","804,000,000","824,000,000","883,000,000","768,000,000","731,000,000","758,000,000","970,000,000","1,048,000,000","969,000,000","996,000,000","1,099,000,000","959,000,000","800,000,000","904,000,000","1,053,000,000","846,000,000","824,000,000","837,000,000","966,000,000","690,000,000","712,000,000","788,000,000","786,000,000","1,235,000,000","908,000,000","941,000,000","1,020,000,000","1,077,000,000","921,000,000","1,145,000,000","1,110,000,000","1,556,000,000","1,927,000,000","1,861,000,000","1,795,000,000","2,016,000,000","1,287,000,000","1,461,000,000","1,022,000,000","930,000,000","366,000,000","394,000,000","234,000,000"
			CashAndCashEquivalents,"412,000,000","370,000,000","550,000,000","483,000,000","445,000,000","436,000,000","949,000,000","635,000,000","566,000,000","712,000,000","681,000,000","611,000,000","708,000,000","739,000,000","581,000,000","519,000,000","486,000,000","439,000,000","511,000,000","491,000,000","410,000,000","536,000,000","569,000,000","804,000,000","824,000,000","883,000,000","768,000,000","731,000,000","758,000,000","970,000,000","1,048,000,000","969,000,000","996,000,000","1,099,000,000","959,000,000","800,000,000","904,000,000","1,053,000,000","846,000,000","824,000,000","837,000,000","966,000,000","690,000,000","712,000,000","788,000,000","786,000,000","1,235,000,000","908,000,000","941,000,000","1,020,000,000","1,077,000,000","921,000,000","1,145,000,000","1,110,000,000","1,556,000,000","1,927,000,000","1,861,000,000","1,795,000,000","2,016,000,000","1,287,000,000","1,461,000,000","1,022,000,000","930,000,000","366,000,000","394,000,000","234,000,000"
				CashFinancial,"412,000,000","368,000,000","550,000,000","483,000,000","445,000,000","433,000,000",,"635,000,000","566,000,000","561,000,000","577,000,000","586,000,000","599,000,000","545,000,000","535,000,000","495,000,000","436,000,000","297,000,000",,,,"461,000,000","371,000,000","453,000,000","457,000,000","483,000,000","503,000,000","439,000,000","431,000,000","410,000,000","657,000,000","495,000,000","475,000,000","481,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,"2,000,000",,,,"3,000,000",,,,"151,000,000","104,000,000","25,000,000","109,000,000","194,000,000","46,000,000","24,000,000","50,000,000","142,000,000",,,,"75,000,000","198,000,000","351,000,000","367,000,000","400,000,000","265,000,000","292,000,000","327,000,000","560,000,000","391,000,000","474,000,000","521,000,000","618,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"1,246,000,000","1,656,000,000","1,472,000,000","1,117,000,000","1,059,000,000","1,099,000,000","1,143,000,000","1,137,000,000","1,282,000,000","1,190,000,000","1,273,000,000","1,237,000,000","1,160,000,000","1,141,000,000","1,080,000,000","1,027,000,000","1,045,000,000","904,000,000","913,000,000","907,000,000","1,376,000,000","1,425,000,000","1,098,000,000","870,000,000","805,000,000","861,000,000","983,000,000","1,182,000,000","1,248,000,000","1,364,000,000","1,473,000,000","1,477,000,000","1,421,000,000","1,609,000,000","1,786,000,000","1,934,000,000","2,064,000,000","1,900,000,000","2,050,000,000","1,865,000,000","1,688,000,000","1,662,000,000","1,921,000,000","1,963,000,000","1,866,000,000","1,883,000,000","1,948,000,000","2,179,000,000","1,900,000,000","2,270,000,000","2,149,000,000","2,329,000,000","1,312,000,000","2,093,000,000","1,997,000,000","1,711,000,000","1,747,000,000","1,800,000,000","1,651,000,000","2,310,000,000","2,045,000,000","2,053,000,000","2,670,000,000","2,551,000,000","2,547,000,000","3,074,000,000"
			AccountsReceivable,"1,035,000,000","1,411,000,000","1,245,000,000","934,000,000","877,000,000","899,000,000","976,000,000","541,000,000","493,000,000","938,000,000","614,000,000","1,035,000,000","974,000,000","927,000,000","866,000,000","779,000,000","810,000,000","510,000,000","501,000,000","527,000,000","562,000,000","592,000,000","708,000,000","618,000,000","583,000,000","628,000,000","699,000,000","850,000,000","823,000,000","847,000,000","964,000,000","962,000,000","933,000,000","1,063,000,000","1,046,000,000","1,224,000,000","1,280,000,000","1,196,000,000","1,287,000,000","1,155,000,000","1,101,000,000","1,227,000,000","1,352,000,000","1,516,000,000","1,398,000,000","1,455,000,000","1,419,000,000","1,693,000,000","1,243,000,000","1,538,000,000","1,398,000,000","1,531,000,000",,"760,000,000","829,000,000","765,000,000","820,000,000","812,000,000","836,000,000","2,310,000,000","2,045,000,000","2,053,000,000","2,346,000,000","2,551,000,000","2,547,000,000","3,074,000,000"
				GrossAccountsReceivable,"1,048,000,000","1,424,000,000","1,258,000,000","947,000,000","891,000,000","912,000,000","988,000,000","971,000,000","1,094,000,000","952,000,000",,"1,042,000,000","988,000,000","936,000,000","878,000,000","792,000,000","822,000,000","522,000,000","515,000,000",,"571,000,000","606,000,000","723,000,000","632,000,000","601,000,000","645,000,000","719,000,000","872,000,000","845,000,000","866,000,000","985,000,000","985,000,000","956,000,000","1,081,000,000","1,061,000,000","1,245,000,000","1,296,000,000","1,211,000,000","1,301,000,000","1,168,000,000","1,113,000,000","1,251,000,000","1,376,000,000","1,542,000,000",,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-13,000,000","-13,000,000","-13,000,000","-13,000,000","-14,000,000","-13,000,000","-12,000,000","-11,000,000","-9,000,000","-14,000,000",,"-7,000,000","-14,000,000","-9,000,000","-12,000,000","-13,000,000","-12,000,000","-12,000,000","-14,000,000",,"-9,000,000","-14,000,000","-15,000,000","-14,000,000","-18,000,000","-17,000,000","-20,000,000","-22,000,000","-22,000,000","-19,000,000","-21,000,000","-23,000,000","-23,000,000","-18,000,000","-15,000,000","-21,000,000","-16,000,000","-15,000,000","-14,000,000","-13,000,000","-12,000,000","-24,000,000","-24,000,000","-26,000,000",,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,333,000,000","1,168,000,000","946,000,000","927,000,000","988,000,000","815,000,000",,,,"324,000,000",,,
			TaxesReceivable,,"21,000,000",,,,"22,000,000",,,,"37,000,000",,,,"29,000,000",,,,"11,000,000",,,,"17,000,000",,,,"9,000,000",,,,"27,000,000",,,,"88,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"211,000,000","224,000,000","227,000,000","183,000,000","182,000,000","178,000,000","167,000,000","596,000,000","789,000,000","215,000,000","659,000,000","202,000,000","186,000,000","185,000,000","214,000,000","248,000,000","235,000,000","383,000,000","412,000,000","380,000,000","814,000,000","816,000,000","390,000,000","252,000,000","222,000,000","224,000,000","284,000,000","332,000,000","425,000,000","490,000,000","509,000,000","515,000,000","488,000,000","458,000,000","740,000,000","710,000,000","784,000,000","704,000,000","763,000,000","710,000,000","587,000,000","435,000,000","569,000,000","447,000,000","468,000,000","428,000,000","529,000,000","486,000,000","657,000,000","732,000,000","751,000,000","798,000,000",,,,,,,,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,,,,,,"5,000,000",,,,"5,000,000",,,,"8,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,,"90,000,000",,,,"81,000,000",,,,"85,000,000",,,,"54,000,000",,,,"53,000,000",,,,"57,000,000",,,,"67,000,000",,,,"58,000,000",,,,"72,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,"2,000,000",,,,"2,000,000",,,,"17,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,000,000","105,000,000","97,000,000","90,000,000","151,000,000","132,000,000","150,000,000","194,000,000","153,000,000","171,000,000","194,000,000","251,000,000","256,000,000","277,000,000","283,000,000","297,000,000","268,000,000","194,000,000","190,000,000","199,000,000","216,000,000","196,000,000","192,000,000","130,000,000","183,000,000","163,000,000","107,000,000","167,000,000","138,000,000","178,000,000","165,000,000","142,000,000","132,000,000","138,000,000","120,000,000","111,000,000","114,000,000","33,000,000","99,000,000","79,000,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,000,000","105,000,000","97,000,000","90,000,000","151,000,000","132,000,000","150,000,000","194,000,000","153,000,000","171,000,000","194,000,000","251,000,000","256,000,000","277,000,000","283,000,000","297,000,000","268,000,000","194,000,000","190,000,000","199,000,000","216,000,000","196,000,000","192,000,000","130,000,000","183,000,000","163,000,000","107,000,000","167,000,000","138,000,000","178,000,000","165,000,000","142,000,000","132,000,000","138,000,000","120,000,000","111,000,000","114,000,000","33,000,000","99,000,000","79,000,000"
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"116,000,000","36,000,000","114,000,000","126,000,000","124,000,000","18,000,000","115,000,000","125,000,000","134,000,000","24,000,000","153,000,000","132,000,000","103,000,000","25,000,000","103,000,000","117,000,000","102,000,000","29,000,000","94,000,000","97,000,000","95,000,000","22,000,000","123,000,000","127,000,000","116,000,000","26,000,000","143,000,000","136,000,000","130,000,000","27,000,000","151,000,000","167,000,000","214,000,000","36,000,000","320,000,000","288,000,000","333,000,000","464,000,000","460,000,000","480,000,000","463,000,000","517,000,000","487,000,000","380,000,000","385,000,000","394,000,000","404,000,000","508,000,000","608,000,000","507,000,000","530,000,000","562,000,000","1,578,000,000","289,000,000","320,000,000","279,000,000","283,000,000","283,000,000","281,000,000","259,000,000","272,000,000","884,000,000","242,000,000","417,000,000","470,000,000","345,000,000"
	TotalNonCurrentAssets,"3,860,000,000","4,047,000,000","3,696,000,000","3,796,000,000","4,047,000,000","4,071,000,000","3,101,000,000","3,113,000,000","3,122,000,000","3,353,000,000","3,295,000,000","3,338,000,000","3,346,000,000","3,113,000,000","3,099,000,000","3,047,000,000","2,731,000,000","2,249,000,000","2,083,000,000","2,086,000,000","2,081,000,000","2,097,000,000","2,452,000,000","1,631,000,000","1,625,000,000","1,568,000,000","1,689,000,000","1,668,000,000","1,650,000,000","1,655,000,000","2,563,000,000","2,566,000,000","2,542,000,000","2,506,000,000","2,202,000,000","2,215,000,000","2,052,000,000","2,099,000,000","2,106,000,000","2,249,000,000","2,265,000,000","2,231,000,000","2,203,000,000","2,228,000,000","2,238,000,000","2,155,000,000","1,844,000,000","1,798,000,000","1,686,000,000","1,651,000,000","1,708,000,000","1,680,000,000","1,742,000,000","1,664,000,000","1,167,000,000","1,172,000,000","1,147,000,000","1,157,000,000","1,142,000,000","1,452,000,000","1,509,000,000","1,672,000,000","1,667,000,000","1,692,000,000","1,672,000,000","1,755,000,000"
		NetPPE,"283,000,000","294,000,000","285,000,000","297,000,000","279,000,000","284,000,000","224,000,000","218,000,000","240,000,000","305,000,000","292,000,000","297,000,000","300,000,000","121,000,000","129,000,000","133,000,000","142,000,000","130,000,000","134,000,000","139,000,000","143,000,000","145,000,000","165,000,000","153,000,000","162,000,000","169,000,000","198,000,000","229,000,000","230,000,000","247,000,000","410,000,000","421,000,000","415,000,000","415,000,000","405,000,000","395,000,000","390,000,000","390,000,000","380,000,000","368,000,000","389,000,000","384,000,000","379,000,000","381,000,000","374,000,000","355,000,000","335,000,000","321,000,000","251,000,000","242,000,000","245,000,000","240,000,000","245,000,000","262,000,000","220,000,000","220,000,000","220,000,000","219,000,000","215,000,000","491,000,000","492,000,000","481,000,000","475,000,000","457,000,000","444,000,000","467,000,000"
			GrossPPE,"718,000,000","725,000,000","720,000,000","728,000,000","703,000,000","703,000,000","637,000,000","618,000,000","628,000,000","691,000,000","667,000,000","668,000,000","667,000,000","476,000,000","489,000,000","488,000,000","478,000,000","459,000,000","457,000,000","174,000,000","178,000,000","469,000,000","503,000,000","506,000,000","516,000,000","521,000,000","538,000,000","591,000,000","611,000,000","632,000,000","836,000,000","847,000,000","827,000,000","812,000,000","789,000,000","758,000,000","455,000,000","746,000,000","732,000,000","697,000,000","765,000,000","748,000,000","738,000,000","734,000,000","717,000,000","689,000,000","634,000,000","621,000,000","515,000,000","500,000,000","493,000,000","471,000,000","469,000,000","502,000,000","458,000,000","453,000,000","447,000,000","446,000,000","436,000,000","863,000,000","852,000,000","825,000,000","804,000,000","769,000,000","749,000,000","830,000,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,"0",,,,"0",,,,"0",,,,"0","0",,,"0","0"
				LandAndImprovements,,"5,000,000",,,,"5,000,000",,,,"5,000,000",,,,"5,000,000",,,,"7,000,000",,,,"7,000,000",,,,"7,000,000",,,,"13,000,000",,,,"19,000,000",,,,"19,000,000",,,,"31,000,000",,,,"31,000,000",,,"30,000,000",,,,"30,000,000",,,,"28,000,000",,,,"32,000,000","24,000,000",,,"32,000,000","29,000,000"
