name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,04/30/1998,01/31/1998,09/30/1997,06/30/1997,03/31/1997,12/31/1996
TotalAssets,"6,397,294,000","6,369,742,000","6,290,551,000","6,251,056,000","6,276,637,000","6,165,833,000","5,390,524,000","5,244,232,000","5,289,652,000","5,113,679,000","5,157,747,000","4,426,077,000","4,361,734,000","4,244,922,000","4,215,922,000","4,064,984,000","4,075,435,000","4,156,806,000","4,008,616,000","4,110,718,000","4,008,867,000","3,982,467,000","3,924,119,000","2,482,018,000","2,521,300,000","2,475,152,000","2,445,338,000","2,489,621,000","2,419,505,000","2,346,152,000","2,340,868,000","2,173,849,000","2,448,444,000","2,341,974,000","2,249,874,000","2,275,422,000","2,079,669,000","2,003,749,000","1,913,435,000","1,927,614,000","2,049,739,000","1,999,235,000","1,940,348,000","1,946,236,000","2,038,938,000","2,001,793,000","1,918,790,000","1,922,809,000","1,944,839,000","1,956,065,000","1,870,130,000","1,884,480,000","1,940,651,000","1,917,597,000","1,865,185,000","1,925,954,000","2,121,426,000","2,101,815,000","1,934,921,000","1,909,123,000","1,895,118,000","1,832,616,000","1,674,985,000","1,687,643,000","1,712,735,000","1,652,680,000","1,519,804,000","1,525,921,000","1,530,285,000","1,551,809,000","1,540,424,000","1,533,957,000","1,548,872,000","1,535,701,000","1,449,504,000","1,455,442,000","1,431,136,000","1,474,366,000","1,455,148,000","1,447,710,000","1,352,404,000","1,327,525,000","1,194,367,000","1,188,128,000","1,155,207,000","1,173,429,000","1,143,742,000","1,127,818,000","1,120,773,000","1,134,200,000","1,105,300,000","1,089,239,000","1,014,800,000","1,036,100,000","1,004,100,000","934,000,000","948,100,000","855,900,000","814,400,000","857,100,000","450,200,000"
	CurrentAssets,"1,845,401,000","1,767,427,000","1,777,854,000","1,745,586,000","1,684,815,000","1,573,451,000","841,615,000","665,088,000","750,878,000","413,802,000","428,334,000","527,940,000","466,856,000","415,266,000","393,012,000","538,736,000","519,660,000","481,009,000","395,703,000","433,070,000","498,719,000","373,714,000","332,363,000","322,865,000","346,319,000","278,276,000","254,320,000","288,143,000","370,191,000","257,802,000","231,990,000","275,046,000","519,408,000","402,895,000","311,044,000","343,469,000","435,138,000","322,233,000","222,099,000","232,370,000","337,817,000","279,885,000","221,591,000","245,624,000","323,241,000","270,059,000","177,622,000","170,745,000","186,718,000","222,231,000","170,877,000","228,988,000","308,823,000","295,571,000","269,295,000","358,895,000","490,679,000","479,591,000","344,190,000","411,637,000","467,565,000","414,129,000","260,902,000","325,974,000","379,615,000","326,854,000","221,236,000","282,884,000","151,353,000","162,221,000","152,212,000","155,737,000","174,255,000","154,358,000","121,097,000","116,995,000","101,579,000","129,121,000","125,678,000","109,416,000","131,220,000","115,938,000","99,800,000","102,900,000","92,470,000","113,629,000","110,011,000","100,354,000","111,154,000","110,000,000","91,900,000","92,695,000","94,400,000","116,600,000","91,200,000","84,700,000","102,300,000","76,400,000","72,900,000","123,400,000","63,100,000"
		CashCashEquivalentsAndShortTermInvestments,"1,401,168,000","1,407,019,000","1,468,380,000","1,243,962,000","1,344,702,000","1,301,003,000","462,212,000","390,980,000","482,656,000","126,793,000","136,326,000","108,850,000","59,636,000","158,561,000","141,031,000","178,145,000","181,597,000","235,460,000","140,397,000","117,389,000","195,818,000","140,909,000","106,751,000","67,897,000","68,565,000","45,368,000","39,606,000","35,459,000","125,214,000","36,578,000","29,840,000","44,406,000","307,431,000","205,276,000","114,225,000","138,604,000","237,735,000","136,579,000","43,985,000","46,053,000","147,110,000","95,642,000","44,738,000","70,143,000","168,596,000","97,251,000","19,578,000","14,745,000","51,147,000","58,008,000","13,019,000","69,298,000","170,537,000","139,172,000","102,668,000","162,345,000","304,133,000","274,433,000","166,044,000","230,819,000","316,439,000","254,866,000","117,311,000","191,794,000","240,116,000","175,541,000","58,692,000","136,580,000","41,068,000","19,117,000","31,618,000","46,328,000","94,869,000","42,569,000","18,525,000","7,874,000","20,374,000","24,690,000","25,165,000","13,110,000","53,515,000","26,230,000","21,044,000","8,685,000","21,821,000","25,644,000","20,694,000","8,821,000","29,864,000","22,600,000","19,000,000","18,302,000","10,100,000","17,700,000","20,500,000","11,700,000","28,100,000","14,700,000","21,700,000","58,000,000","15,200,000"
			CashAndCashEquivalents,"1,401,168,000","1,407,019,000","1,468,380,000","1,243,962,000","1,344,702,000","1,301,003,000","462,212,000","390,980,000","482,656,000","126,793,000","136,326,000","108,850,000","59,636,000","158,561,000","141,031,000","178,145,000","181,597,000","235,460,000","140,397,000","117,389,000","195,818,000","140,909,000","106,751,000","67,897,000","68,565,000","45,368,000","39,606,000","35,459,000","125,214,000","36,578,000","29,840,000","44,406,000","307,431,000","205,276,000","114,225,000","138,604,000","237,735,000","136,579,000","43,985,000","46,053,000","147,110,000","95,642,000","44,738,000","70,143,000","168,596,000","97,251,000","19,578,000","14,745,000","51,147,000","58,008,000","13,019,000","69,298,000","170,537,000","139,172,000","102,668,000","162,345,000","304,133,000","274,433,000","166,044,000","230,819,000","316,439,000","254,866,000","117,311,000","191,794,000","240,116,000","175,541,000","58,692,000","136,580,000","41,068,000","19,117,000","31,618,000","46,328,000","94,869,000","42,569,000","18,525,000","7,874,000","20,374,000","24,690,000","25,165,000","13,110,000","53,515,000","26,230,000","21,044,000","8,685,000","21,821,000","25,644,000","20,694,000","8,821,000","29,864,000","22,600,000","19,000,000","18,302,000","10,100,000","17,700,000","20,500,000","11,700,000","28,100,000","14,700,000","21,700,000","58,000,000","15,200,000"
		Receivables,"267,111,000","167,088,000","108,988,000","345,408,000","208,132,000","117,012,000","208,540,000","106,664,000","100,225,000","105,325,000","87,301,000","270,896,000","273,108,000","87,721,000","74,240,000","230,829,000","220,248,000","85,428,000","84,571,000","186,913,000","174,433,000","80,758,000","59,445,000","147,113,000","145,483,000","87,055,000","52,389,000","113,990,000","105,617,000","68,454,000","36,137,000","95,977,000","79,815,000","57,673,000","37,551,000","79,037,000","73,733,000","53,486,000","29,721,000","65,743,000","65,133,000","48,430,000","29,627,000","58,529,000","46,417,000","55,123,000","35,120,000","53,622,000","35,039,000","45,366,000","32,821,000","58,063,000","47,729,000","50,495,000","44,468,000","50,185,000","39,054,000","44,756,000","24,954,000","43,557,000","35,258,000","43,728,000","27,532,000","35,949,000","35,618,000","39,712,000","25,458,000","33,136,000","33,493,000","51,917,000","29,913,000","36,957,000","29,455,000","46,195,000","34,940,000","49,748,000","31,710,000","41,656,000","34,924,000","31,837,000","34,111,000","41,285,000","20,342,000","26,691,000","29,044,000","43,163,000","39,296,000","39,427,000","43,078,000","42,600,000","26,600,000","29,650,000","47,900,000","57,700,000","25,500,000","27,800,000","28,800,000","22,100,000","16,400,000","30,000,000","14,200,000"
			AccountsReceivable,"267,111,000","167,088,000","108,988,000","345,408,000","208,132,000","117,012,000","208,540,000","106,664,000","100,225,000","105,325,000","87,301,000","270,896,000","273,108,000","87,721,000","74,240,000","230,829,000","220,248,000","85,428,000","84,571,000","186,913,000","174,433,000","80,758,000","59,445,000","147,113,000","145,483,000","87,055,000","52,389,000","113,990,000","105,617,000","68,454,000","36,137,000","95,977,000","79,815,000","57,673,000","37,551,000","79,037,000","73,733,000","53,486,000","29,721,000","65,743,000","65,133,000","48,430,000","29,627,000","58,529,000","46,417,000","55,123,000","35,120,000","53,622,000","35,039,000","45,366,000","32,821,000","58,063,000","47,729,000","50,495,000","44,468,000","50,185,000","39,054,000","44,756,000","24,954,000","43,557,000","35,258,000","43,728,000","27,532,000","35,949,000","35,618,000","39,712,000","25,458,000","33,136,000","33,493,000","51,917,000","29,913,000","31,915,000","29,455,000","46,195,000","34,940,000","37,830,000","31,710,000","41,656,000","34,924,000","31,837,000","33,172,000","40,346,000","19,403,000","25,752,000","27,110,000",,,,,,,"29,650,000",,,,,,,,,
				GrossAccountsReceivable,,,,"353,029,000",,,,"109,148,000",,,,"271,620,000",,,,"232,107,000",,,,"187,663,000",,,,"147,729,000",,,,"114,736,000",,,,"96,658,000",,,,"79,515,000",,,,"70,296,000",,,,"61,952,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,609,000",,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,"-7,621,000",,,,"-2,484,000",,,,"-724,000",,,,"-1,278,000",,,,"-750,000",,,,"-616,000",,,,"-746,000",,,,"-681,000",,,,"-478,000",,,,"-4,553,000",,,,"-3,423,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-959,000",,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,042,000",,,,"11,918,000",,,,,"939,000","939,000","939,000","939,000","1,934,000",,,,,,,,,,,,,,,,
