name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,03/31/2014
OperatingCashFlow,"252,264,000","46,256,000","70,894,000","72,353,000","62,761,000","57,319,000","105,498,000","59,763,000","44,267,000","49,148,000","56,940,000","64,292,000","46,630,000","34,005,000","39,442,000","52,501,000","41,343,000","23,298,000","28,652,000","39,000,000","30,408,000","-675,000","29,571,000","42,179,000","7,261,000","12,721,000","26,705,000","31,141,000","21,476,000","4,795,000","13,207,000"
	CashFlowFromContinuingOperatingActivities,"252,264,000","46,256,000","70,894,000","72,353,000","62,761,000","57,319,000","105,498,000","59,763,000","44,267,000","49,148,000","56,940,000","64,292,000","46,630,000","34,005,000","39,442,000","52,501,000","41,343,000","23,298,000","28,652,000","39,000,000","30,408,000","-675,000","29,571,000","42,179,000","7,261,000","12,721,000","26,705,000","31,141,000","21,476,000","4,795,000","13,207,000"
		NetIncomeFromContinuingOperations,"199,853,000","61,311,000","50,034,000","48,574,000","39,934,000","43,306,000","50,866,000","41,460,000","24,104,000","28,954,000","29,813,000","23,977,000","27,455,000","19,198,000","22,761,000","19,305,000","16,568,000","14,551,000","11,291,000","9,831,000","9,553,000","8,447,000","-21,000","5,036,000","4,962,000","3,448,000","-8,576,000","-133,000","95,000","-59,000","-1,236,000"
		DepreciationAmortizationDepletion,"21,137,000","5,108,000","5,465,000","5,334,000","5,230,000","5,090,000","5,483,000","4,941,000","4,654,000","4,450,000","5,320,000","5,057,000","4,977,000","7,835,000","9,747,000","9,733,000","9,616,000","9,705,000","11,600,000","11,733,000","11,563,000","11,578,000","14,629,000","14,583,000","14,461,000","14,441,000","14,783,000","17,385,000","18,579,000","18,774,000","7,031,000"
			DepreciationAndAmortization,"21,137,000","5,108,000","5,465,000","5,334,000","5,230,000","5,090,000","5,483,000","4,941,000","4,654,000","4,450,000","5,320,000","5,057,000","4,977,000","7,835,000","9,747,000","9,733,000","9,616,000","9,705,000","11,600,000","11,733,000","11,563,000","11,578,000","14,629,000","14,583,000","14,461,000","14,441,000","14,783,000","17,385,000","18,579,000","18,774,000","7,031,000"
				Depreciation,"16,463,000","4,270,000","4,186,000","4,056,000","3,951,000","3,812,000","3,534,000","2,991,000","2,674,000","2,453,000","2,325,000","2,062,000","1,982,000","1,991,000","2,357,000","2,343,000","2,226,000","2,314,000","2,106,000","2,237,000","2,101,000","2,130,000","1,961,000","1,915,000","1,793,000","1,773,000","1,658,000","1,611,000","1,537,000","1,573,000","1,832,000"
				AmortizationCashFlow,"4,674,000","838,000","1,279,000","1,278,000","1,279,000","1,278,000","1,949,000","1,950,000","1,980,000","1,997,000","2,995,000","2,995,000","2,995,000","5,844,000","7,390,000","7,390,000","7,390,000","7,391,000","9,494,000","9,496,000","9,462,000","9,448,000","12,668,000","12,668,000","12,668,000","12,668,000","13,125,000","15,774,000","17,042,000","17,201,000","5,199,000"
					AmortizationOfIntangibles,"4,674,000","838,000","1,279,000","1,278,000","1,279,000","1,278,000","1,949,000","1,950,000","1,980,000","1,997,000","2,995,000","2,995,000","2,995,000","5,844,000","7,390,000","7,390,000","7,390,000","7,391,000","9,494,000","9,496,000","9,462,000","9,448,000","12,668,000","12,668,000","12,668,000","12,668,000","13,125,000","15,774,000","17,042,000","17,201,000","5,199,000"
		DeferredTax,"-39,114,000","-713,000","-40,411,000","632,000","1,378,000","1,289,000","-6,384,000","4,495,000","1,337,000","1,079,000","7,211,000","999,000","1,184,000","656,000","-3,318,000","7,546,000","-38,000","-248,000","3,657,000","444,000","-454,000","-410,000","-8,438,000","-85,000","-173,000","-310,000","-4,376,000","-1,810,000","-2,886,000","-3,618,000","300,000"
			DeferredIncomeTax,"-39,114,000","-713,000","-40,411,000","632,000","1,378,000","1,289,000","-6,384,000","4,495,000","1,337,000","1,079,000","7,211,000","999,000","1,184,000","656,000","-3,318,000","7,546,000","-38,000","-248,000","3,657,000","444,000","-454,000","-410,000","-8,438,000","-85,000","-173,000","-310,000","-4,376,000","-1,810,000","-2,886,000","-3,618,000","300,000"
