name,ttm,03/31/2022,12/31/2021,03/31/2021,12/31/2020
TotalRevenue,"418,700,000","129,100,000","99,500,000","90,000,000","56,700,000"
	OperatingRevenue,"418,700,000","129,100,000","99,500,000","90,000,000","56,700,000"
CostOfRevenue,"29,700,000","7,700,000","7,200,000","6,500,000","5,800,000"
GrossProfit,"389,000,000","121,400,000","92,300,000","83,500,000","50,900,000"
OperatingExpense,"408,900,000","126,600,000","93,700,000","89,700,000","56,900,000"
	SellingGeneralAndAdministration,"341,500,000","109,200,000","75,100,000","77,500,000","43,500,000"
		GeneralAndAdministrativeExpense,"42,700,000","13,100,000","11,600,000","8,900,000","7,900,000"
			OtherGandA,"42,700,000","13,100,000","11,600,000","8,900,000","7,900,000"
		SellingAndMarketingExpense,"298,800,000","96,100,000","63,500,000","68,600,000","35,600,000"
	ResearchAndDevelopment,"67,400,000","17,400,000","18,600,000","12,200,000","13,400,000"
OperatingIncome,"-19,900,000","-5,200,000","-1,400,000","-6,200,000","-6,000,000"
NetNonOperatingInterestIncomeExpense,"-1,200,000","-200,000","-200,000","-300,000","-300,000"
	InterestIncomeNonOperating,,,"0",,"0"
	InterestExpenseNonOperating,"1,200,000","200,000","200,000","300,000","300,000"
OtherIncomeExpense,"-12,300,000","-3,900,000","-6,500,000","-7,100,000",
	SpecialIncomeCharges,"-15,000,000","-3,900,000","-8,000,000","-7,000,000","800,000"
		RestructuringAndMergernAcquisition,"15,000,000","3,900,000","8,000,000","7,000,000","-800,000"
	OtherNonOperatingIncomeExpenses,,,"1,500,000","-100,000",
PretaxIncome,"-33,400,000","-9,300,000","-8,100,000","-13,600,000","-5,600,000"
TaxProvision,"6,700,000","1,200,000","-200,000","-700,000","-2,200,000"
NetIncomeCommonStockholders,"-40,100,000","-10,500,000","-7,900,000","-12,900,000","-3,400,000"
	NetIncome,"-40,100,000","-10,500,000","-7,900,000","-12,900,000","-3,400,000"
		NetIncomeIncludingNoncontrollingInterests,"-40,100,000","-10,500,000","-7,900,000","-12,900,000","-3,400,000"
			NetIncomeContinuousOperations,"-40,100,000","-10,500,000","-7,900,000","-12,900,000","-3,400,000"
DilutedNIAvailtoComStockholders,"-40,100,000","-10,500,000","-7,900,000","-12,900,000","-3,400,000"
BasicEPS,,"-0.16","-0.13","-0.228",
DilutedEPS,,"-0.16","-0.13","-0.228",
BasicAverageShares,,"66,900,000","60,769,231","56,700,000",
DilutedAverageShares,,"66,900,000","60,769,231","56,700,000",
TotalOperatingIncomeAsReported,"-34,900,000","-9,100,000","-9,400,000","-13,200,000","-5,200,000"
TotalExpenses,"438,600,000","134,300,000","100,900,000","96,200,000","62,700,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-40,100,000","-10,500,000","-7,900,000","-12,900,000","-3,400,000"
NormalizedIncome,"-31,100,000","-8,160,000","-97,530.864","-6,236,000","-3,885,714.286"
InterestIncome,,,"0",,"0"
InterestExpense,"1,200,000","200,000","200,000","300,000","300,000"
NetInterestIncome,"-1,200,000","-200,000","-200,000","-300,000","-300,000"
EBIT,"-32,200,000","-9,100,000","-7,900,000","-13,300,000","-5,300,000"
EBITDA,"-4,100,000"
ReconciledCostOfRevenue,"29,700,000","7,700,000","7,200,000","6,500,000","5,800,000"
ReconciledDepreciation,"28,100,000","7,200,000","7,200,000","6,200,000","5,400,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-40,100,000","-10,500,000","-7,900,000","-12,900,000","-3,400,000"
TotalUnusualItemsExcludingGoodwill,"-15,000,000","-3,900,000","-8,000,000","-7,000,000","800,000"
TotalUnusualItems,"-15,000,000","-3,900,000","-8,000,000","-7,000,000","800,000"
NormalizedEBITDA,"10,900,000","2,000,000","7,300,000","-100,000","-700,000"
TaxRateForCalcs,"0.4","0.4","0.025","0.048","0.393"
TaxEffectOfUnusualItems,"-6,000,000","-1,560,000","-197,530.864","-336,000","314,285.714"
