name,ttm,03/31/2022
OperatingCashFlow,,"-388,599"
	CashFlowFromContinuingOperatingActivities,,"-388,599"
		NetIncomeFromContinuingOperations,,"-3,981,025"
		OtherNonCashItems,,"-25,176"
		ChangeInWorkingCapital,,"3,617,602"
			ChangeInPrepaidAssets,,"84,851"
			ChangeInPayablesAndAccruedExpense,,"3,532,751"
				ChangeInPayable,,"3,532,751"
					ChangeInAccountPayable,,"3,499,128"
FinancingCashFlow,,"0"
	CashFlowFromContinuingFinancingActivities,,"0"
		NetIssuancePaymentsOfDebt,,"0"
			NetLongTermDebtIssuance,,"0"
				LongTermDebtIssuance,,"0"
EndCashPosition,,"51,889"
	ChangesInCash,,"-388,599"
	BeginningCashPosition,,"440,488"
IssuanceOfDebt,,"0"
FreeCashFlow,,"-388,599"
