name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
TotalRevenue,"271,893,000","100,559,000","56,891,000","55,204,000","59,239,000","88,582,000","55,477,000","51,804,000","48,057,000"
	OperatingRevenue,"271,893,000","100,559,000","56,891,000","55,204,000","59,239,000","88,582,000","55,477,000","51,804,000","48,057,000"
CostOfRevenue,"138,948,000","53,502,000","29,628,000","27,276,000","28,542,000","44,053,000","30,089,000","27,209,000","25,563,000"
GrossProfit,"132,945,000","47,057,000","27,263,000","27,928,000","30,697,000","44,529,000","25,388,000","24,595,000","22,494,000"
OperatingExpense,"387,098,000","116,511,000","123,964,000","74,375,000","72,247,000","111,606,000","70,531,000","60,849,000","59,216,000"
	SellingGeneralAndAdministration,"197,721,000","3,695,000","96,155,000","29,852,000","28,015,000","11,370,000","49,031,000","22,644,000","24,846,000"
		GeneralAndAdministrativeExpense,"97,383,000","-38,184,000","60,390,000","16,264,000","12,596,000","-11,213,000","40,270,000","14,315,000","14,191,000"
			SalariesAndWages,,,"28,703,000",,,,"23,681,000",,
			OtherGandA,"97,383,000","36,836,000","31,687,000","16,264,000","12,596,000","54,055,000","16,589,000","14,315,000","14,191,000"
		SellingAndMarketingExpense,"100,338,000","41,879,000","35,765,000","13,588,000","15,419,000","22,583,000","8,761,000","8,329,000","10,655,000"
	ResearchAndDevelopment,"189,377,000","121,857,000","23,432,000","44,523,000","44,232,000","108,699,000","18,980,000","38,205,000","34,370,000"
	DepreciationAmortizationDepletionIncomeStatement,,,"4,377,000",,,,"2,520,000",,
		DepreciationAndAmortizationInIncomeStatement,,,"4,377,000",,,,"2,520,000",,
			DepreciationIncomeStatement,,,"4,377,000",,,,"2,520,000",,
OperatingIncome,"-254,153,000","-69,454,000","-96,701,000","-46,447,000","-41,550,000","-67,077,000","-45,143,000","-36,254,000","-36,722,000"
NetNonOperatingInterestIncomeExpense,"277,000","64,000","76,000","92,000","44,000","60,000","53,000","69,000","74,000"
	InterestIncomeNonOperating,,,"76,000","92,000","44,000",,"53,000","69,000","74,000"
	TotalOtherFinanceCost,"-277,000","-64,000",,,,,,,
OtherIncomeExpense,"32,906,000","-122,000","3,717,000","29,831,000","-520,000","4,000","445,000","-6,000","878,000"
	GainOnSaleOfSecurity,"32,989,000","0","3,695,000","29,828,000",,,,,
	SpecialIncomeCharges,"0"
		RestructuringAndMergernAcquisition,"0"
	OtherNonOperatingIncomeExpenses,"-83,000","-122,000","22,000","3,000","-520,000","4,000","445,000","-6,000","878,000"
PretaxIncome,"-220,970,000","-69,512,000","-92,908,000","-16,524,000","-42,026,000","-67,013,000","-44,645,000","-36,191,000","-35,770,000"
TaxProvision,"-3,480,000","32,000","-3,512,000",,,"0","0",,
NetIncomeCommonStockholders,"-217,490,000","-69,544,000","-89,396,000","-16,524,000","-42,026,000","-67,013,000","-44,645,000","-36,191,000","-35,770,000"
	NetIncome,"-217,490,000","-69,544,000","-89,396,000","-16,524,000","-42,026,000","-67,013,000","-44,645,000","-36,191,000","-35,770,000"
		NetIncomeIncludingNoncontrollingInterests,"-217,490,000","-69,544,000","-89,396,000","-16,524,000","-42,026,000","-67,013,000","-44,645,000","-36,191,000","-35,770,000"
			NetIncomeContinuousOperations,"-217,490,000","-69,544,000","-89,396,000","-16,524,000","-42,026,000","-67,013,000","-44,645,000","-36,191,000","-35,770,000"
DilutedNIAvailtoComStockholders,"-217,490,000","-69,544,000","-89,396,000","-16,524,000","-42,026,000","-67,013,000","-44,645,000","-36,191,000","-35,770,000"
BasicEPS,,"-0.16","-0.21","-0.04","-0.25",,"-0.11","-0.089","-0.088"
DilutedEPS,,"-0.16","-0.21","-0.04","-0.25",,"-0.11","-0.089","-0.088"
BasicAverageShares,,"444,139,193","426,591,111","406,886,060","168,191,762",,"406,414,839","406,414,839","406,414,839"
DilutedAverageShares,,"444,139,193","426,591,111","406,886,060","168,191,762",,"406,414,839","406,414,839","406,414,839"
TotalOperatingIncomeAsReported,"-254,153,000","-69,454,000","-96,701,000","-46,447,000","-41,550,000","-67,077,000","-45,143,000","-36,254,000","-36,722,000"
TotalExpenses,"526,046,000","170,013,000","153,592,000","101,651,000","100,789,000","155,659,000","100,620,000","88,058,000","84,779,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-217,490,000","-69,544,000","-89,396,000","-16,524,000","-42,026,000","-67,013,000","-44,645,000","-36,191,000","-35,770,000"
NormalizedIncome,"-249,819,220","-69,544,000","-92,951,325.914","-46,352,000","-42,026,000","-67,013,000","-44,645,000","-36,191,000","-35,770,000"
InterestIncome,,,"76,000","92,000","44,000",,"53,000","69,000","74,000"
NetInterestIncome,"277,000","64,000","76,000","92,000","44,000","60,000","53,000","69,000","74,000"
EBIT,"-254,153,000","-69,454,000","-96,701,000","-46,447,000","-41,550,000","-67,077,000","-45,143,000","-36,254,000","-36,722,000"
EBITDA,"-228,005,000"
ReconciledCostOfRevenue,"138,948,000","53,502,000","26,427,000","27,276,000","28,542,000","44,053,000","27,776,000","27,209,000","25,563,000"
ReconciledDepreciation,"26,148,000","9,062,000","7,578,000","4,870,000","4,638,000","4,714,000","4,833,000","5,167,000","5,532,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-217,490,000","-69,544,000","-89,396,000","-16,524,000","-42,026,000","-67,013,000","-44,645,000","-36,191,000","-35,770,000"
TotalUnusualItemsExcludingGoodwill,"32,989,000","0","3,695,000","29,828,000",,,,,
TotalUnusualItems,"32,989,000","0","3,695,000","29,828,000",,,,,
NormalizedEBITDA,"-260,994,000","-60,392,000","-92,818,000","-71,405,000","-36,912,000","-62,363,000","-40,310,000","-31,087,000","-31,190,000"
TaxRateForCalcs,"0.02","0.4","0.038","0","0","0","0","0","0"
TaxEffectOfUnusualItems,"659,780","0","139,674.086","0","0","0","0","0","0"
