name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012
OperatingCashFlow,"11,337,000","24,542,000","338,000","-4,305,000","-9,238,000","20,383,000","7,654,000","-2,692,000","-14,678,000","3,874,000","-7,000","-13,629,000","-11,102,000","14,055,000","7,280,000","-4,118,000","2,939,000","17,444,000","5,505,000","3,462,000","-913,000","8,297,000","2,811,000","2,195,000","-3,101,000","5,442,000","1,904,000","793,000","-6,671,000","1,245,000","-2,466,000","-4,064,000","-4,917,000","4,337,000","-728,000","755,000","-3,280,000","3,307,000","1,453,000"
	CashFlowFromContinuingOperatingActivities,"11,337,000","24,542,000","338,000","-4,305,000","-9,238,000","20,383,000","7,654,000","-2,692,000","-14,678,000","3,874,000","-7,000","-13,629,000","-11,102,000","14,055,000","7,280,000","-4,118,000","2,939,000","17,444,000","5,505,000","3,462,000","-913,000","8,297,000","2,811,000","2,195,000","-3,101,000","5,442,000","1,904,000","793,000","-6,671,000","1,245,000","-2,466,000","-4,064,000","-4,917,000","4,337,000","-728,000","755,000","-3,280,000","3,307,000","1,453,000"
		NetIncomeFromContinuingOperations,"-129,968,000","-48,763,000","-24,943,000","-23,314,000","-32,948,000","-35,656,000","-19,032,000","-19,225,000","-24,323,000","-31,430,000","-14,650,000","-16,987,000","-24,488,000","-22,639,000","6,468,000","-7,317,000","-12,683,000","-15,046,000","5,534,000","-3,314,000","-5,035,000","-10,879,000","3,522,000","-4,389,000","-6,493,000","-10,350,000","2,634,000","-4,925,000","-6,322,000","-12,670,000","-331,000","-6,354,000","-4,639,000","-8,074,000","1,516,000","-2,564,000","-1,636,000","-4,791,000","2,200,000"
		OperatingGainsLosses,,,,,,,,,,,"21,000","0","0","24,000","0","-25,000",,,"-6,000","-12,000",,,"0",,,,"-2,000","-1,000","0","-1,000",,,,,"0","-10,000",,,"0"
			GainLossOnSaleOfPPE,,,,,,,"0","0","0","0","21,000","0","0","24,000","0","-25,000",,,"-6,000","-12,000",,,"0","-2,000","0","0","-2,000","-1,000","0","-1,000","-10,000","0",,,"0","-10,000",,,"0"
		DepreciationAmortizationDepletion,"11,218,000","2,679,000","2,617,000","2,815,000","3,107,000","2,349,000","-4,642,000","5,347,000","5,140,000","4,058,000","4,015,000","5,676,000","2,917,000","2,736,000","1,676,000","854,000","829,000","797,000","1,358,000","686,000","662,000","622,000","570,000","544,000","569,000","497,000","564,000","362,000","345,000","344,000","427,000","324,000","280,000","254,000","230,000","213,000","191,000","162,000","136,000"
			DepreciationAndAmortization,"11,218,000","2,679,000","2,617,000","2,815,000","3,107,000","2,349,000","-4,642,000","5,347,000","5,140,000","4,058,000","4,015,000","5,676,000","2,917,000","2,736,000","1,676,000","854,000","829,000","797,000","1,358,000","686,000","662,000","622,000","570,000","544,000","569,000","497,000","564,000","362,000","345,000","344,000","427,000","324,000","280,000","254,000","230,000","213,000","191,000","162,000","136,000"
				Depreciation,,,,,,"2,349,000","-4,642,000","5,347,000","5,140,000","4,058,000","4,015,000","5,676,000","2,917,000","2,736,000","1,676,000","854,000","829,000","797,000","1,358,000","686,000","662,000","622,000","570,000","544,000","569,000","497,000","564,000","362,000","345,000","344,000","427,000","324,000","280,000","254,000","230,000","213,000","191,000","162,000","136,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0"
		StockBasedCompensation,"124,398,000","35,998,000","38,110,000","24,422,000","25,868,000","21,379,000","19,401,000","18,678,000","17,623,000","12,883,000","11,360,000","11,022,000","14,796,000","8,961,000","10,787,000","8,399,000","8,848,000","6,927,000","5,390,000","4,782,000","5,259,000","4,404,000","3,483,000","3,458,000","3,373,000","2,624,000","2,090,000","2,057,000","1,962,000","1,685,000","1,826,000","1,214,000","978,000","646,000","662,000","510,000","422,000","194,000","118,000"
		OtherNonCashItems,"29,977,000","8,816,000","6,413,000","7,159,000","7,589,000","8,088,000","13,960,000","5,416,000","3,314,000","3,249,000","3,100,000","3,394,000","3,510,000","3,626,000","3,467,000","3,277,000","3,116,000","3,325,000",,,,,,,,,,,,,"94,000","62,000","0","31,000","38,000","935,000","309,000","426,000","416,000"
		ChangeInWorkingCapital,"-24,288,000","25,812,000","-21,859,000","-15,387,000","-12,854,000","24,223,000","-2,033,000","-12,908,000","-16,432,000","15,114,000","-3,853,000","-16,734,000","-7,837,000","21,347,000","-15,118,000","-9,306,000","2,831,000","21,441,000","-6,771,000","1,320,000","-1,797,000","14,150,000","-4,764,000","2,584,000","-550,000","12,671,000","-3,382,000","3,300,000","-2,656,000","11,887,000","-4,472,000","690,000","-1,536,000","11,480,000","-3,174,000","1,671,000","-2,571,000","7,316,000","-1,417,000"
			ChangeInReceivables,"-12,302,000","53,575,000","-45,797,000","-11,237,000","-8,843,000","42,927,000","-34,014,000","-11,345,000","-10,501,000","36,785,000","-23,184,000","-6,303,000","-3,767,000","41,427,000","-30,285,000","-11,545,000","-8,925,000","43,128,000","-30,916,000","-3,367,000","-13,847,000","26,395,000","-23,736,000","3,368,000","-9,093,000","23,036,000","-19,250,000","763,000","-8,306,000","17,226,000","-16,723,000","-2,292,000","-4,600,000","14,014,000","-14,114,000","180,000","-4,470,000","10,171,000","-8,142,000"
				ChangesInAccountReceivables,"-12,302,000","53,575,000","-45,797,000","-11,237,000","-8,843,000","42,927,000","-34,014,000","-11,345,000","-10,501,000","36,785,000","-23,184,000","-6,303,000","-3,767,000","41,427,000","-30,285,000","-11,545,000","-8,925,000","43,128,000","-30,916,000","-3,367,000","-13,847,000","26,395,000","-23,736,000","3,368,000","-9,093,000","23,036,000","-19,250,000","763,000","-8,306,000","17,226,000","-16,723,000","-2,292,000","-4,600,000","14,014,000","-14,114,000","180,000","-4,470,000","10,171,000","-8,142,000"
			ChangeInPrepaidAssets,"-1,408,000","-2,575,000","-1,074,000","-253,000","2,494,000","-1,673,000","1,319,000","-892,000","-1,312,000","342,000","1,014,000","-335,000","-1,281,000","-623,000","-1,005,000","2,639,000","2,240,000","-5,806,000","-2,479,000","945,000","714,000","-2,497,000","-98,000","-977,000","695,000","-648,000","108,000","-572,000","196,000","1,064,000","251,000","-250,000","302,000","-284,000","-444,000","56,000","407,000","0","-548,000"
			ChangeInPayablesAndAccruedExpense,"2,511,000","-13,055,000","12,785,000","938,000","1,843,000","-5,242,000","17,376,000","593,000","4,857,000","-7,096,000","4,787,000","-2,404,000","4,462,000","-9,354,000","7,463,000","2,951,000","9,833,000","-8,352,000","9,555,000","1,416,000","8,956,000","-6,127,000","6,148,000","-1,648,000","5,968,000","-6,490,000","4,366,000","1,493,000","3,295,000","-2,975,000","2,794,000","2,429,000","2,001,000","-1,143,000","3,848,000","558,000","1,135,000","-1,814,000","2,984,000"
				ChangeInPayable,"4,134,000","-553,000","1,878,000","279,000","2,530,000","-213,000","51,000","90,000","-295,000","-174,000","-2,002,000","700,000","1,675,000","-1,996,000","-525,000","1,246,000","1,416,000","-152,000","-731,000","18,000","-234,000","294,000","344,000","-1,130,000","1,372,000","-1,910,000","397,000","-369,000","462,000","-581,000","-51,000","454,000","211,000","-74,000","651,000","235,000","-263,000","-356,000","1,188,000"
					ChangeInAccountPayable,"4,134,000","-553,000","1,878,000","279,000","2,530,000","-213,000","51,000","90,000","-295,000","-174,000","-2,002,000","700,000","1,675,000","-1,996,000","-525,000","1,246,000","1,416,000","-152,000","-731,000","18,000","-234,000","294,000","344,000","-1,130,000","1,372,000","-1,910,000","397,000","-369,000","462,000","-581,000","-51,000","454,000","211,000","-74,000","651,000","235,000","-263,000","-356,000","1,188,000"
				ChangeInAccruedExpense,"-1,623,000","-12,502,000","10,907,000","659,000","-687,000","-5,029,000","17,325,000","503,000","5,152,000","-6,922,000","6,789,000","-3,104,000","2,787,000","-7,358,000","7,988,000","1,705,000","8,417,000","-8,200,000","10,286,000","1,398,000","9,190,000","-6,421,000","5,804,000","-518,000","4,596,000","-4,580,000","3,969,000","1,862,000","2,833,000","-2,394,000","2,845,000","1,975,000","1,790,000","-1,069,000","3,197,000","323,000","1,398,000","-1,458,000","1,796,000"
			ChangeInOtherCurrentAssets,"863,000","359,000","585,000","56,000","-137,000","900,000","1,686,000","-42,000","-126,000","-82,000","31,000","43,000","26,000","-19,000","-275,000","-11,000","-25,000","41,000",,,,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentLiabilities,"2,875,000","96,000","479,000","368,000","1,932,000","-1,198,000","785,000","2,464,000","2,240,000","4,000","262,000","-147,000","31,000","170,000","-870,000","-281,000","-111,000","237,000","-385,000","9,000","-156,000","-199,000","-53,000","288,000","297,000","-521,000","454,000","343,000","638,000","-1,327,000","367,000","430,000","-2,000","3,000","-28,000","5,000","-78,000","26,000","-22,000"
