name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,06/30/2006
TotalAssets,"8,349,500,000","8,115,900,000","8,028,400,000","8,119,800,000","5,186,800,000","4,858,300,000","4,749,700,000","4,889,800,000","4,913,500,000","4,384,600,000","4,220,100,000","3,880,700,000","3,602,100,000","3,357,600,000","3,381,700,000","3,304,700,000","3,484,700,000","3,249,900,000","3,224,500,000","3,149,800,000","3,242,000,000","2,967,300,000","2,942,300,000","2,879,800,000","2,524,000,000","2,353,600,000","2,299,500,000","2,368,100,000","2,281,200,000","2,099,800,000","2,078,600,000","2,192,100,000","2,129,900,000","1,939,000,000","1,907,200,000","2,018,200,000","1,921,900,000","1,856,200,000","1,830,500,000","1,987,600,000","2,014,300,000","1,896,900,000","1,927,200,000","1,904,000,000","1,853,400,000","1,515,000,000","1,519,300,000","1,794,400,000","2,863,900,000","2,695,700,000","2,886,200,000","2,774,700,000","2,444,200,000","2,402,600,000","3,690,500,000","2,833,600,000","3,237,000,000","2,911,300,000","2,574,900,000","2,678,200,000","2,326,300,000","2,134,700,000"
	CurrentAssets,"1,495,100,000","1,266,600,000","1,211,100,000","1,261,300,000","1,378,600,000","1,148,500,000","1,120,000,000","1,328,000,000","1,361,000,000","1,010,600,000","1,095,100,000","1,042,300,000","1,195,400,000","966,400,000","967,900,000","991,100,000","1,203,000,000","1,051,200,000","1,034,300,000","989,600,000","1,118,200,000","899,400,000","885,800,000","1,289,100,000","1,003,800,000","828,200,000","795,500,000","861,400,000","932,000,000","780,400,000","775,600,000","880,600,000","814,200,000","687,200,000","656,600,000","807,000,000","711,300,000","653,600,000","620,900,000","777,400,000","749,600,000","634,900,000","685,300,000","751,400,000","705,600,000","608,000,000","640,300,000","992,400,000","2,138,200,000","1,980,000,000","2,123,600,000","2,003,600,000","1,730,100,000","1,681,500,000","2,941,600,000","2,079,200,000","2,487,400,000","2,168,800,000","1,844,900,000","1,960,000,000","1,613,600,000","1,405,900,000"
		CashCashEquivalentsAndShortTermInvestments,"277,300,000","281,100,000","316,700,000","274,500,000","355,700,000","365,600,000","356,600,000","476,600,000","402,000,000","234,000,000","358,300,000","273,200,000","292,100,000","249,700,000","204,600,000","263,800,000","352,100,000","366,500,000","288,800,000","271,100,000","269,500,000","235,700,000","227,400,000","727,700,000","354,400,000","305,100,000","286,300,000","324,100,000","310,100,000","314,100,000","331,300,000","347,600,000","244,400,000","240,300,000","183,100,000","266,000,000","182,200,000","259,100,000","211,800,000","320,500,000","218,800,000","238,200,000","252,800,000","241,500,000","151,300,000","187,800,000","180,700,000","412,600,000","177,900,000","147,100,000","422,500,000","527,400,000","460,000,000","382,700,000","493,000,000","232,000,000","269,800,000","104,200,000","86,400,000","155,000,000","43,200,000","50,100,000"
			CashAndCashEquivalents,"277,300,000","281,100,000","316,700,000","274,500,000","355,700,000","365,600,000","356,600,000","476,600,000","402,000,000","234,000,000","358,300,000","273,200,000","292,100,000","249,700,000","204,600,000","263,800,000","352,100,000","366,500,000","288,800,000","271,100,000","269,500,000","235,700,000","227,400,000","727,700,000","354,400,000","305,100,000","286,300,000","324,100,000","310,100,000","314,100,000","331,300,000","347,600,000","244,400,000","240,300,000","183,100,000","266,000,000","182,200,000","259,100,000","211,800,000","320,500,000","218,800,000","238,200,000","252,800,000","241,500,000","151,300,000","187,800,000","180,700,000","412,600,000","177,900,000","147,100,000","231,500,000","280,900,000","310,300,000","299,100,000","68,000,000","198,300,000","269,800,000","104,200,000","86,400,000","88,600,000","43,200,000","50,100,000"
				CashFinancial,"277,300,000","281,100,000","316,700,000","274,500,000","355,700,000","365,600,000","356,600,000","476,600,000","402,000,000","234,000,000","358,300,000","273,200,000","292,100,000","249,700,000","204,600,000","263,800,000","352,100,000",,,,,,,,,,,,,,,,,,,,,,"211,800,000","320,500,000","218,800,000","238,200,000","252,800,000","241,500,000","151,300,000",,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"191,000,000","246,500,000","149,700,000","83,600,000","425,000,000","33,700,000",,,,"66,400,000",,
		Receivables,"988,000,000","779,500,000","730,000,000","820,300,000","871,000,000","625,000,000","619,100,000","711,300,000","814,700,000","616,000,000","600,700,000","664,000,000","792,800,000","607,400,000","650,100,000","615,000,000","714,100,000","575,100,000","624,400,000","589,500,000","661,200,000","515,500,000","499,400,000","453,400,000","503,800,000","409,800,000","410,800,000","444,500,000","486,400,000","366,600,000","361,100,000","424,800,000","426,300,000","336,000,000","372,200,000","442,400,000","412,200,000","305,200,000","321,400,000","370,700,000","388,500,000","296,600,000","328,500,000","406,600,000","395,300,000","291,300,000","293,700,000","354,300,000","354,500,000","314,600,000","1,590,800,000","1,392,300,000","1,144,900,000","1,213,100,000","2,388,300,000","1,785,300,000","2,077,100,000","1,998,300,000","1,664,800,000","1,743,900,000","1,311,700,000","404,200,000"
			AccountsReceivable,"988,000,000","779,500,000","730,000,000","820,300,000","871,000,000","625,000,000","619,100,000","711,300,000","814,700,000","616,000,000","600,700,000","664,000,000","792,800,000","607,400,000","650,100,000","615,000,000","714,100,000","575,100,000","624,400,000","589,500,000","661,200,000","515,500,000","499,400,000","453,400,000","503,800,000","409,800,000","410,800,000","444,500,000","486,400,000","366,600,000","361,100,000","424,800,000","426,300,000","336,000,000","372,200,000","442,400,000","412,200,000","305,200,000","321,400,000","370,700,000","388,500,000","296,600,000","328,500,000","406,600,000","395,300,000","291,300,000","293,700,000","354,300,000","354,500,000","314,600,000","307,900,000","381,000,000","342,500,000","280,600,000","321,500,000","415,400,000","381,200,000","333,000,000","374,200,000","502,700,000","371,400,000","404,200,000"
				GrossAccountsReceivable,"993,200,000","785,300,000","736,400,000","829,600,000","879,200,000","632,100,000","626,600,000","721,100,000","818,500,000","618,700,000","602,800,000","666,600,000",,"609,600,000","652,200,000","617,700,000","719,900,000","580,100,000",,"593,200,000","664,300,000","518,500,000","502,400,000","455,700,000","507,000,000","414,000,000","414,400,000","448,300,000","488,700,000","369,200,000","364,000,000","428,100,000","429,600,000","338,200,000","375,400,000","446,100,000","414,100,000","310,300,000","327,900,000","377,200,000","390,700,000","298,800,000","330,500,000","408,600,000","397,400,000",,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-5,200,000","-5,800,000","-6,400,000","-9,300,000","-8,200,000","-7,100,000","-7,500,000","-9,800,000","-3,800,000","-2,700,000","-2,100,000","-2,600,000",,"-2,200,000","-2,100,000","-2,700,000","-5,800,000","-5,000,000",,"-3,700,000","-3,100,000","-3,000,000","-3,000,000","-2,300,000","-3,200,000","-4,200,000","-3,600,000","-3,800,000","-2,300,000","-2,600,000","-2,900,000","-3,300,000","-3,300,000","-2,200,000","-3,200,000","-3,700,000","-1,900,000","-5,100,000","-6,500,000","-6,500,000","-2,200,000","-2,200,000","-2,000,000","-2,000,000","-2,100,000",,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,282,900,000","1,011,300,000","802,400,000","932,500,000","2,066,800,000","1,369,900,000","1,695,900,000","1,665,300,000","1,290,600,000","1,241,200,000","940,300,000",
		RestrictedCash,,,,,,"66,100,000","63,400,000","66,800,000","83,500,000","91,500,000","84,400,000","77,900,000","66,600,000","79,100,000","66,800,000","62,000,000","65,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","30,900,000",,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"229,800,000","206,000,000","164,400,000","166,500,000","151,900,000","157,900,000","144,300,000","140,100,000","144,300,000","160,600,000","136,100,000","105,100,000","110,500,000","109,300,000","113,200,000","112,300,000","136,800,000","109,600,000","121,100,000","129,000,000","187,500,000","148,200,000","159,000,000","108,000,000","145,600,000","113,300,000","98,400,000","92,800,000","135,500,000","99,700,000","83,200,000","108,200,000","143,500,000","110,900,000","101,300,000","98,600,000","116,900,000","89,300,000","87,700,000","86,200,000","142,300,000","100,100,000","104,000,000","103,300,000","128,100,000","128,900,000","165,900,000","225,500,000","1,605,800,000","1,518,300,000","110,300,000","83,900,000","125,200,000","85,700,000","60,300,000","61,900,000","140,500,000","66,300,000","93,700,000","61,100,000","258,700,000","951,600,000"
	TotalNonCurrentAssets,"6,854,200,000","6,849,400,000","6,817,300,000","6,858,300,000","3,808,100,000","3,709,700,000","3,629,600,000","3,561,500,000","3,552,600,000","3,374,000,000","3,124,900,000","2,838,100,000","2,406,700,000","2,391,200,000","2,413,800,000","2,313,500,000","2,281,800,000","2,198,700,000","2,190,200,000","2,160,100,000","2,123,900,000","2,067,900,000","2,056,500,000","1,590,700,000","1,520,100,000","1,525,300,000","1,504,100,000","1,506,700,000","1,349,200,000","1,319,400,000","1,303,000,000","1,311,500,000","1,315,700,000","1,251,800,000","1,250,600,000","1,211,200,000","1,210,600,000","1,202,600,000","1,209,600,000","1,210,200,000","1,264,700,000","1,262,000,000","1,241,900,000","1,152,600,000","1,147,800,000","907,000,000","879,000,000","802,000,000","725,700,000","715,700,000","762,600,000","771,100,000","714,100,000","721,100,000","748,900,000","754,400,000","749,600,000","742,500,000","730,000,000","718,200,000","712,700,000","728,800,000"
		NetPPE,"407,700,000","414,100,000","422,400,000","439,200,000","422,300,000","423,000,000","426,200,000","454,200,000","451,500,000","373,300,000","414,300,000","188,900,000","183,400,000","187,900,000","192,500,000","204,000,000","197,900,000","202,500,000","207,600,000","198,100,000","169,500,000","145,500,000","130,700,000","112,300,000","108,200,000","106,000,000","100,400,000","97,300,000","81,400,000","82,200,000","84,500,000","88,300,000","87,200,000","87,000,000","82,100,000","80,900,000","80,900,000","76,500,000","76,300,000","79,000,000","78,500,000","78,500,000","78,900,000","83,100,000","84,600,000","84,600,000","86,500,000","87,400,000","75,500,000","75,600,000","71,300,000","75,400,000","68,900,000","70,900,000","75,900,000","82,600,000","78,300,000","77,700,000","74,500,000","77,400,000","73,500,000","80,700,000"
			GrossPPE,"407,700,000","414,100,000","422,400,000","771,900,000","422,300,000","423,000,000","426,200,000","761,200,000","451,500,000","373,300,000","414,300,000","612,800,000","183,400,000","187,900,000","192,500,000","596,200,000","197,900,000","202,500,000","207,600,000","567,100,000","169,500,000","145,500,000","130,700,000","520,700,000","108,200,000","106,000,000","100,400,000","493,200,000","81,400,000","82,200,000","84,500,000","452,500,000","87,200,000","87,000,000","82,100,000","424,500,000","80,900,000","76,500,000",,"418,900,000",,,,"404,600,000",,,,"383,400,000",,,,"366,100,000",,,,,"78,300,000","77,700,000","74,500,000",,"73,500,000","80,700,000"
				Properties,,,,"2,700,000",,,,"2,600,000",,,,"2,600,000",,,,"2,600,000",,,,"2,600,000",,,,"2,500,000",,,,"4,900,000",,,,"4,900,000",,,,"4,500,000",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,,,
				LandAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,500,000",,,,"4,400,000",,,,"4,300,000",,,,"4,200,000",,,,,,,,,,
				MachineryFurnitureEquipment,,,,"196,800,000",,,,"196,900,000",,,,"174,600,000",,,,"161,500,000",,,,"139,100,000",,,,"177,000,000",,,,"170,900,000",,,,"166,700,000",,,,"164,500,000",,,,"414,400,000",,,,"400,200,000",,,,"224,000,000",,,,"203,200,000",,,,,,,,,,
				OtherProperties,"407,700,000","414,100,000","422,400,000","572,400,000","422,300,000","423,000,000","426,200,000","561,700,000","451,500,000","373,300,000","414,300,000","435,600,000","183,400,000","187,900,000","192,500,000","432,100,000","197,900,000","202,500,000","207,600,000","425,400,000","169,500,000","145,500,000","130,700,000","341,200,000","108,200,000","106,000,000","100,400,000","317,400,000","81,400,000","82,200,000","84,500,000","280,900,000","87,200,000","87,000,000","82,100,000","255,500,000","80,900,000","76,500,000",,,,,,,,,,,,,,,,,,,,,,,,
				Leases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"155,100,000",,,,"158,700,000",,,,,,,,,,
