name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,12/31/2010
TotalAssets,"1,044,906,000","1,050,528,000","1,079,068,000","1,105,244,000","1,135,378,000","1,154,947,000","1,138,950,000","1,073,485,000","1,085,224,000","1,070,700,000","1,028,769,000","1,083,433,000","1,337,860,000","1,175,563,000","1,233,257,000","1,198,224,000","1,218,499,000","1,216,512,000","1,027,115,000","970,115,000","922,171,000","885,206,000","845,588,000","799,798,000","772,967,000","755,427,000","764,405,000","741,387,000","715,886,000","629,650,000","577,399,000","553,156,000","533,474,000","515,977,000","224,330,000","197,542,000","187,294,000","187,696,000","156,532,000","153,848,000","153,087,000","43,821,000","42,155,000","41,015,000"
	CurrentAssets,"637,341,000","644,677,000","667,106,000","689,182,000","703,346,000","712,725,000","694,192,000","617,393,000","594,873,000","533,309,000","499,299,000","531,288,000","775,042,000","860,269,000","936,899,000","902,435,000","910,126,000","913,089,000","786,219,000","594,871,000","568,054,000","561,179,000","514,492,000","473,741,000","447,340,000","443,282,000","447,833,000","432,185,000","392,907,000","420,758,000","404,754,000","384,225,000","429,783,000","416,833,000","125,215,000","118,005,000","113,705,000","111,774,000","136,701,000","135,363,000","140,424,000","31,726,000","32,370,000","35,395,000"
		CashCashEquivalentsAndShortTermInvestments,"475,121,000","489,783,000","541,620,000","568,227,000","598,592,000","606,805,000","590,789,000","525,693,000","487,194,000","412,281,000","381,816,000","412,218,000","626,415,000","755,860,000","837,497,000","803,362,000","814,618,000","821,216,000","558,169,000","511,795,000","485,476,000","479,533,000","432,295,000","398,101,000","375,457,000","370,827,000","368,939,000","368,133,000","331,232,000","365,810,000","364,094,000","350,815,000","399,320,000","389,764,000","101,214,000","96,795,000","94,498,000","95,124,000","123,083,000","122,613,000","130,737,000","21,736,000","23,128,000","27,074,000"
			CashAndCashEquivalents,"465,121,000","479,783,000","531,620,000","558,227,000","588,592,000","595,875,000","590,789,000","525,693,000","364,576,000","170,281,000","123,402,000","139,464,000","295,276,000","332,764,000","423,495,000","389,416,000","392,335,000","547,850,000","362,401,000","319,754,000","272,279,000","272,201,000","224,891,000","196,295,000","183,505,000","171,613,000","171,807,000","181,460,000","172,629,000","247,312,000","290,567,000","290,386,000","399,320,000","389,764,000","101,214,000","96,795,000","94,498,000","95,124,000","123,083,000","122,613,000","130,737,000","21,736,000","23,128,000","27,074,000"
				CashFinancial,"74,694,000","89,407,000","51,274,000","47,911,000","78,429,000","85,750,000","80,698,000","65,682,000","31,246,000",,"31,729,000","36,092,000","27,179,000","81,055,000","166,336,000","135,288,000","163,440,000","283,085,000","196,234,000","150,613,000","125,164,000","119,778,000","103,107,000","75,262,000","50,328,000","79,954,000","78,151,000","77,443,000","57,123,000","38,719,000","52,068,000","46,897,000","38,602,000","29,074,000","17,928,000","13,516,000","11,227,000","7,862,000",,,,,,
				CashEquivalents,"390,427,000","390,376,000","480,346,000","510,316,000","510,163,000","510,125,000","510,091,000","460,011,000","333,330,000",,"91,673,000","103,372,000","268,097,000","251,709,000","257,159,000","254,128,000","228,895,000","264,765,000","166,167,000","169,141,000","147,115,000","152,423,000","121,784,000","121,033,000","133,177,000","91,659,000","93,656,000","104,017,000","115,506,000","208,593,000","238,499,000","243,489,000","360,718,000","360,690,000","83,286,000","83,279,000","83,271,000","87,262,000",,,,,,
			OtherShortTermInvestments,"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,930,000","0","0","122,618,000","242,000,000","258,414,000","272,754,000","331,139,000","423,096,000","414,002,000","413,946,000","422,283,000","273,366,000","195,768,000","192,041,000","213,197,000","207,332,000","207,404,000","201,806,000","191,952,000","199,214,000","197,132,000","186,673,000","158,603,000","118,498,000","73,527,000","60,429,000",,,,,,,,,,,,
		Receivables,"111,762,000","107,358,000","105,843,000","101,542,000","88,750,000","88,400,000","84,813,000","72,025,000","85,875,000","106,832,000","101,441,000","95,732,000","89,301,000","87,305,000","81,835,000","78,452,000","75,533,000","76,173,000","68,483,000","68,778,000","68,119,000","68,725,000","66,588,000","59,887,000","54,774,000","52,755,000","46,942,000","41,339,000","38,969,000","35,593,000","31,175,000","25,450,000","21,376,000","21,317,000","17,192,000","14,769,000","12,327,000","11,738,000","10,722,000","10,120,000","7,179,000","8,257,000","7,780,000","6,613,000"
			AccountsReceivable,"111,762,000","107,358,000","105,843,000","101,542,000","88,750,000","88,400,000","84,813,000","72,025,000","85,875,000","106,832,000","101,441,000","95,732,000","89,301,000","87,305,000","81,835,000","78,452,000","75,533,000","76,173,000","68,483,000","68,778,000","68,119,000","68,725,000","66,588,000","59,887,000","54,774,000","52,755,000","46,942,000","41,339,000","38,969,000","35,593,000","31,175,000","25,450,000","21,376,000","21,317,000","17,192,000","14,769,000","12,327,000","11,738,000","10,722,000","10,120,000","7,179,000","8,257,000","7,780,000","6,613,000"
				GrossAccountsReceivable,"119,963,000","114,511,000","113,717,000","110,831,000","98,430,000","99,959,000","96,129,000","83,732,000","100,463,000",,"109,220,000","102,597,000","96,749,000","95,990,000","90,720,000","87,812,000","85,668,000","83,525,000","75,483,000","74,242,000","73,435,000","73,717,000","71,705,000","64,156,000","58,269,000","55,963,000","49,530,000","43,682,000","41,292,000","37,220,000","32,442,000","26,435,000","22,275,000","22,127,000","17,816,000","15,245,000","12,694,000","12,122,000","11,125,000","10,438,000","7,379,000","8,432,000","7,957,000","6,788,000"
