name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,12/31/2001
TotalAssets,"1,708,100,000","1,710,000,000","1,704,900,000","1,716,700,000","1,715,300,000","1,718,500,000","1,633,700,000","1,544,300,000","1,590,300,000","1,493,300,000","1,509,700,000","1,890,000,000","1,942,600,000","1,873,500,000","2,002,500,000","1,824,700,000","1,825,100,000","1,873,500,000","1,829,700,000","1,784,300,000","1,757,800,000","1,758,000,000","1,732,700,000","1,697,000,000","2,625,900,000","2,691,900,000","2,694,400,000","2,657,900,000","2,573,800,000","2,606,200,000","3,006,100,000","3,058,100,000","2,991,500,000","2,916,600,000","2,814,900,000","2,961,800,000","2,869,700,000","2,854,300,000","2,885,200,000","2,803,400,000","3,262,100,000","2,994,700,000","3,118,100,000","3,071,100,000","2,956,400,000","2,922,400,000","3,343,700,000","3,256,300,000","3,225,700,000","3,302,600,000","3,300,600,000","3,346,500,000","3,268,900,000","3,351,800,000","4,432,900,000","4,460,400,000","4,387,300,000","4,649,900,000","4,086,200,000","4,130,700,000","4,197,800,000","4,170,700,000","4,720,800,000","4,689,000,000","4,596,200,000","4,606,000,000","4,617,400,000","4,533,800,000","4,520,600,000","4,609,400,000","4,730,100,000","4,662,700,000","4,666,100,000","4,647,800,000","4,544,400,000","4,533,800,000","4,508,800,000","4,504,800,000","3,643,900,000","4,034,400,000"
	CurrentAssets,"318,100,000","321,900,000","310,300,000","317,500,000","316,300,000","311,800,000","323,300,000","320,000,000","345,400,000","244,400,000","296,700,000","695,600,000","749,000,000","752,800,000","780,900,000","583,000,000","599,100,000","648,900,000","407,800,000","362,000,000","353,500,000","406,200,000","428,600,000","390,000,000","816,000,000","880,800,000","887,700,000","860,000,000","791,800,000","811,500,000","933,900,000","981,700,000","953,500,000","884,000,000","906,400,000","1,084,300,000","1,025,200,000","1,019,900,000","1,050,200,000","993,500,000","1,468,300,000","1,209,300,000","1,183,600,000","1,147,600,000","1,062,400,000","1,020,700,000","1,454,300,000","1,373,200,000","1,319,900,000","1,331,600,000","1,378,200,000","1,296,600,000","1,214,300,000","1,261,500,000","1,359,300,000","1,334,300,000","1,239,500,000","1,501,000,000","1,298,200,000","1,393,600,000","1,438,200,000","1,371,400,000","1,567,800,000","1,591,200,000","1,564,400,000","1,561,300,000","1,551,800,000","1,457,900,000","1,419,100,000","1,482,200,000","1,513,200,000","1,460,500,000","1,394,100,000","1,358,800,000","1,367,000,000","1,309,100,000","1,259,000,000","1,255,900,000","1,292,400,000","1,114,300,000"
		CashCashEquivalentsAndShortTermInvestments,"76,100,000","98,100,000","94,300,000","119,000,000","121,600,000","136,900,000","138,800,000","117,100,000","146,900,000","45,300,000","98,000,000","240,300,000","273,800,000","325,700,000","327,000,000","129,000,000","116,900,000","159,600,000","116,500,000","79,700,000","81,000,000","142,300,000","142,500,000","99,400,000","149,800,000","244,800,000","258,900,000","201,600,000","132,000,000","185,300,000","148,400,000","152,600,000","131,000,000","135,200,000","137,700,000","304,700,000","278,000,000","336,700,000","298,600,000","217,300,000","683,300,000","480,600,000","376,900,000","304,600,000","244,400,000","315,800,000","682,200,000","599,900,000","525,500,000","569,500,000","522,000,000","402,800,000","309,700,000","355,000,000","315,000,000","240,200,000","160,000,000","514,300,000","262,100,000","346,500,000","253,100,000","252,500,000","520,600,000","535,000,000","492,200,000","602,200,000","540,800,000","460,100,000","401,600,000","515,900,000","528,600,000","494,300,000","436,100,000","484,300,000","425,900,000","318,900,000","304,700,000","380,000,000","369,900,000","277,400,000"
			CashAndCashEquivalents,"76,100,000","98,100,000","94,300,000","119,000,000","121,600,000","136,900,000","138,800,000","117,100,000","146,900,000","45,300,000","98,000,000","240,300,000","273,800,000","325,700,000","327,000,000","129,000,000","116,900,000","159,600,000","116,500,000","79,700,000","81,000,000","141,900,000","142,500,000","99,400,000","149,800,000","244,800,000","250,000,000","201,600,000","132,000,000","185,300,000","148,400,000","152,600,000","131,000,000","135,200,000","137,700,000","304,700,000","278,000,000","336,400,000","298,600,000","217,300,000","683,300,000","480,600,000","376,900,000","304,600,000","244,400,000","315,800,000","682,200,000","599,900,000","525,500,000","569,500,000","522,000,000","402,800,000","309,700,000","355,000,000","315,000,000","240,200,000","160,000,000","514,300,000","262,100,000","346,500,000","253,100,000","252,500,000","520,600,000","535,000,000","492,200,000","602,200,000","540,800,000","460,100,000","401,600,000","515,900,000","528,600,000","494,300,000","436,100,000","484,300,000","425,900,000","318,900,000","304,700,000","380,000,000","369,900,000","277,400,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,"400,000",,,,,"8,900,000",,,,,,,,,,,"300,000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"114,500,000","110,500,000","105,600,000","95,000,000","93,100,000","80,600,000","95,400,000","117,600,000","114,700,000","115,100,000","115,200,000","101,100,000","86,000,000","81,600,000","91,400,000","87,500,000","96,600,000","121,500,000","149,900,000","147,800,000","137,200,000","134,500,000","133,200,000","131,500,000","219,900,000","195,400,000","213,000,000","230,500,000","230,100,000","200,500,000","264,200,000","285,300,000","257,200,000","239,600,000","276,300,000","284,500,000","251,900,000","221,500,000","270,100,000","304,700,000","293,200,000","255,900,000","316,800,000","334,000,000","323,900,000","250,200,000","309,100,000","306,500,000","293,800,000","245,600,000","316,400,000","327,500,000","316,400,000","269,900,000","380,600,000","390,200,000","372,500,000","336,500,000","424,600,000","444,600,000","455,800,000","403,300,000","425,700,000","416,700,000","422,500,000","347,000,000","412,600,000","393,800,000","376,100,000","343,100,000","372,700,000","381,200,000","388,400,000","315,400,000","377,800,000","407,700,000","369,500,000","332,400,000","403,300,000","316,500,000"
			AccountsReceivable,"109,900,000","104,700,000","101,400,000","95,500,000","92,700,000","77,900,000","83,000,000","76,500,000","91,300,000","82,400,000","85,900,000","97,500,000","85,400,000","70,400,000","75,500,000","82,400,000","75,300,000","62,800,000","131,200,000","135,200,000","126,200,000","106,900,000","129,100,000","130,900,000","232,400,000","198,800,000","222,500,000","234,700,000","229,100,000","209,700,000","271,600,000","296,200,000","263,100,000","242,700,000","281,300,000","295,800,000","262,500,000","228,100,000","281,100,000","311,800,000","306,600,000","263,300,000","328,400,000","344,000,000","298,600,000","265,100,000","281,600,000","280,600,000","277,500,000","269,300,000","292,700,000","303,100,000","294,400,000","287,100,000","355,300,000","364,900,000","347,200,000","289,000,000","364,700,000","386,000,000","374,400,000","296,300,000","407,500,000","398,500,000","404,300,000","328,800,000","405,600,000","386,800,000","369,100,000","336,100,000","372,700,000","381,200,000","388,400,000","315,400,000",,,,,,
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"311,800,000","306,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000",,,,"2,500,000",,,,"6,700,000",,,,"7,600,000",,,,"7,400,000",,,,,,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,"500,000","800,000","1,200,000","1,500,000","700,000","600,000","1,600,000","1,500,000","2,200,000","2,600,000","2,200,000","1,300,000","1,000,000","1,100,000","1,300,000","1,600,000","1,100,000","2,300,000","3,100,000","4,500,000","3,700,000","2,200,000",,"1,700,000","1,700,000","1,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
