name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
TotalRevenue,"1,447,699,000","363,013,000","344,491,000","364,480,000","0","341,281,000","327,069,000","398,680,000","0"
	OperatingRevenue,"1,447,699,000","363,013,000","344,491,000","364,480,000","0","341,281,000","327,069,000","398,680,000","0"
CostOfRevenue,"871,532,000","213,273,000","205,293,000","236,999,000",,"201,298,000","191,521,000","227,481,000",
GrossProfit,"576,167,000","149,740,000","139,198,000","127,481,000",,"139,983,000","135,548,000","171,199,000",
OperatingExpense,"562,784,000","140,891,000","140,878,000","140,776,000","481,780","134,203,000","135,058,000","136,097,000","0"
	SellingGeneralAndAdministration,"449,378,000","114,538,000","112,587,000","110,503,000","481,780","103,305,000","106,542,000","107,463,000","0"
		GeneralAndAdministrativeExpense,"449,378,000","114,538,000","112,587,000","110,503,000","481,780","103,305,000","106,542,000","107,463,000",
			OtherGandA,"449,378,000","114,538,000","112,587,000","110,503,000","481,780","103,305,000","106,542,000","107,463,000",
	DepreciationAmortizationDepletionIncomeStatement,"118,254,000","28,775,000","28,837,000","29,958,000",,"31,250,000","31,646,000","30,809,000",
		DepreciationAndAmortizationInIncomeStatement,"118,254,000","28,775,000","28,837,000","29,958,000",,"31,250,000","31,646,000","30,809,000",
			DepreciationIncomeStatement,"56,313,000","13,254,000","13,335,000","14,454,000",,"16,341,000","16,750,000","15,926,000",
			Amortization,"61,941,000","15,521,000","15,502,000","15,504,000",,"14,909,000","14,896,000","14,883,000",
				AmortizationOfIntangiblesIncomeStatement,"61,941,000","15,521,000","15,502,000","15,504,000",,"14,909,000","14,896,000","14,883,000",
	OtherOperatingExpenses,"-4,848,000","-2,422,000","-546,000","315,000",,"-352,000","-3,130,000","-2,175,000",
OperatingIncome,"13,383,000","8,849,000","-1,680,000","-13,295,000","-481,780","5,780,000","490,000","35,102,000","0"
NetNonOperatingInterestIncomeExpense,"-66,539,000","-11,628,000","-11,258,000","-21,342,000","12,620","-22,171,000","-22,180,000","-23,907,000","0"
	InterestIncomeNonOperating,,,,,"12,620",,,,"0"
	InterestExpenseNonOperating,"58,469,000","11,628,000","11,258,000","13,272,000",,"22,171,000","22,180,000","23,907,000",
	TotalOtherFinanceCost,,,"0","8,070,000",,,,,
OtherIncomeExpense,,,"18,724,000","-3,685,000","-30,330,000","768,000","663,000","867,000",
	GainOnSaleOfSecurity,,,"18,724,000","-3,685,000","-30,330,000","768,000","663,000","867,000",
PretaxIncome,"-37,272,000","-2,779,000","5,786,000","-38,322,000","-30,799,160","-15,623,000","-21,027,000","12,062,000","0"
TaxProvision,"-6,023,000","-892,000","-761,000","-5,798,000","0","-6,653,000","-7,065,000","2,758,000","0"
NetIncomeCommonStockholders,"-31,249,000","-1,887,000","6,547,000","-32,524,000","-30,799,160","-8,970,000","-13,962,000","9,304,000","0"
	NetIncome,"-31,249,000","-1,887,000","6,547,000","-32,524,000","-30,799,160","-8,970,000","-13,962,000","9,304,000","0"
		NetIncomeIncludingNoncontrollingInterests,"-31,249,000","-1,887,000","6,547,000","-32,524,000","-30,799,160","-8,970,000","-13,962,000","9,304,000","0"
			NetIncomeContinuousOperations,"-31,249,000","-1,887,000","6,547,000","-32,524,000","-30,799,160","-8,970,000","-13,962,000","9,304,000","0"
