name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987
TotalRevenue,"337,155,000","94,713,000","84,257,000","79,106,000","79,079,000","77,301,000","73,146,000","73,169,000","70,338,000","73,447,000","62,317,000","64,960,000","61,166,000","65,764,000","62,313,000","65,662,000","62,716,000","54,791,000","45,197,000","45,105,000","45,739,000","45,615,000","45,175,000","50,454,000","52,130,000","50,162,000","50,259,000","56,446,000","54,538,000","53,151,000","48,723,000","51,612,000","47,885,000","45,882,000","47,322,000","51,369,000","48,824,000","48,197,000","46,991,000","47,248,000","47,632,000","49,016,000","46,662,000","51,836,000","54,274,000","49,716,000","48,334,000","47,266,000","47,238,000","45,076,000","42,968,000","40,012,000","44,470,000","40,085,000","41,361,000","50,417,000","46,995,000","43,070,000","44,574,000","45,070,000","43,527,000","42,855,000","41,811,000","41,047,000","35,860,000","34,380,000","33,376,000","36,209,000","30,208,000","29,312,000","29,470,000","29,274,000","28,306,000","27,339,000","26,306,830","26,319,651","25,567,445","25,511,598","25,527,469","25,082,930","26,110,138","25,192,717","25,150,182","32,768,841","30,154,901","33,037,854","34,443,149","34,230,497","32,354,163","25,799,765","40,100,000","48,300,000","51,100,000","42,600,000","51,400,000","48,800,000","46,400,000","45,100,000","42,600,000","42,100,000","40,800,000","40,400,000","42,200,000","53,100,000","50,300,000","48,500,000","43,900,000","45,900,000","41,200,000","40,100,000","37,900,000","38,100,000","35,200,000","31,600,000","26,000,000","24,500,000","23,600,000","19,400,000","19,700,000","17,100,000","14,100,000","14,000,000","12,600,000","12,000,000","11,200,000","9,900,000","7,800,000","7,000,000","6,100,000","5,500,000","4,600,000","4,100,000","3,800,000","3,700,000","3,000,000","2,700,000","2,300,000","1,800,000","1,600,000"
	OperatingRevenue,"337,155,000","94,713,000","84,257,000","79,106,000","79,079,000","77,301,000","73,146,000","73,169,000","70,338,000","73,447,000","62,317,000","64,960,000","61,166,000","65,764,000","62,313,000","65,662,000","62,716,000","54,791,000","45,197,000","45,105,000","45,739,000","45,615,000","45,175,000","50,454,000","52,130,000","50,162,000","50,259,000","56,446,000","54,538,000","53,151,000","48,723,000","51,612,000","47,885,000","45,882,000","47,322,000","51,369,000","48,824,000","48,197,000","46,991,000","47,248,000","47,632,000","49,016,000","46,662,000","51,836,000","54,274,000","49,716,000","48,334,000","47,266,000","47,238,000","45,076,000","42,968,000","40,012,000","44,470,000","40,085,000","41,361,000","50,417,000","46,995,000","43,070,000","44,574,000","45,070,000","43,527,000","42,855,000","41,811,000","41,047,000","35,860,000","34,380,000","33,376,000","36,209,000","30,208,000","29,312,000","29,470,000","29,274,000","28,306,000","27,339,000","26,306,830","26,319,651","25,567,445","25,511,598","25,527,469","25,082,930","26,110,138","25,192,717","25,150,182","32,768,841","30,154,901","33,037,854","34,443,149","34,230,497","32,354,163","25,799,765","40,100,000","48,300,000","51,100,000","42,600,000","51,400,000","48,800,000","46,400,000","45,100,000","42,600,000","42,100,000","40,800,000","40,400,000","42,200,000","53,100,000","50,300,000","48,500,000","43,900,000","45,900,000","41,200,000","40,100,000","37,900,000","38,100,000","35,200,000","31,600,000","26,000,000","24,500,000","23,600,000","19,400,000","19,700,000","17,100,000","14,100,000","14,000,000","12,600,000","12,000,000","11,200,000","9,900,000","7,800,000","7,000,000","6,100,000","5,500,000","4,600,000","4,100,000","3,800,000","3,700,000","3,000,000","2,700,000","2,300,000","1,800,000","1,600,000"
CostOfRevenue,"152,109,000","42,729,000","36,376,000","36,480,000","36,523,000","36,844,000","32,127,000","35,651,000","32,989,000","34,806,000","31,853,000","34,365,000","32,838,000","35,435,000","32,530,000","34,699,000","33,387,000","28,137,000","23,260,000","23,771,000","23,254,000","23,713,000","23,722,000","25,850,000","26,153,000","25,420,000","25,902,000","29,764,000","29,189,000","29,073,000","26,801,000","27,965,000","25,736,000","24,102,000","24,414,000","25,406,000","24,104,000","23,236,000","22,512,000","22,428,000","22,328,000","23,233,000","22,232,000","24,320,000","25,519,000","24,065,000","23,668,000","23,236,000","23,520,000","22,328,000","21,255,000","20,601,000","23,033,000","19,908,000","20,113,000","27,458,000","21,200,000","19,893,000","20,679,000","21,251,000","20,524,000","20,344,000","19,798,000","23,032,000","15,222,000","14,894,000","14,010,000","15,027,000","12,003,000","11,328,000","11,159,000","11,390,000","11,045,000","10,804,000","10,202,785","10,765,861","10,316,051","10,317,250","10,180,837","11,064,682","11,227,836","12,019,152","11,700,323","19,596,635","14,473,872","15,839,973","16,282,069","13,869,983","12,429,762","9,646,999","14,200,000","14,700,000","19,100,000","21,000,000","21,600,000","20,600,000","20,400,000","20,300,000","19,500,000","19,700,000","19,200,000","19,300,000","20,600,000","23,100,000","23,900,000","21,100,000","18,700,000","22,000,000","18,100,000","18,000,000","17,300,000","18,600,000","16,900,000","14,200,000","10,600,000","10,300,000","9,800,000","7,600,000","8,000,000","6,700,000","5,100,000","4,900,000","4,500,000","4,800,000","4,300,000","4,000,000","3,100,000","2,800,000","2,600,000","2,400,000","1,900,000",,,,,,,,
GrossProfit,"185,046,000","51,984,000","47,881,000","42,626,000","42,556,000","40,457,000","41,019,000","37,518,000","37,349,000","38,641,000","30,464,000","30,595,000","28,328,000","30,329,000","29,783,000","30,963,000","29,329,000","26,654,000","21,937,000","21,334,000","22,485,000","21,902,000","21,453,000","24,604,000","25,977,000","24,742,000","24,357,000","26,682,000","25,349,000","24,078,000","21,922,000","23,647,000","22,149,000","21,780,000","22,908,000","25,963,000","24,720,000","24,961,000","24,479,000","24,820,000","25,304,000","25,783,000","24,430,000","27,516,000","28,755,000","25,651,000","24,666,000","24,030,000","23,718,000","22,748,000","21,713,000","19,411,000","21,437,000","19,169,000","21,248,000","22,959,000","25,795,000","23,177,000","23,895,000","23,819,000","23,003,000","22,511,000","22,013,000","18,015,000","20,638,000","19,486,000","19,366,000","21,182,000","18,205,000","17,984,000","18,311,000","17,884,000","17,261,000","16,535,000","16,104,045","15,553,790","15,251,394","15,194,348","15,346,632","14,018,248","14,882,302","13,173,565","13,449,859","13,172,206","15,681,029","17,197,881","18,161,080","20,360,514","19,924,401","16,152,766","25,900,000","33,600,000","32,000,000","21,600,000","29,800,000","28,200,000","26,000,000","24,800,000","23,100,000","22,400,000","21,600,000","21,100,000","21,600,000","30,000,000","26,400,000","27,400,000","25,200,000","23,900,000","23,100,000","22,100,000","20,600,000","19,500,000","18,300,000","17,400,000","15,400,000","14,200,000","13,800,000","11,800,000","11,700,000","10,400,000","9,000,000","9,100,000","8,100,000","7,200,000","6,900,000","5,900,000","4,700,000","4,200,000","3,500,000","3,100,000","2,700,000",,,,,,,,
OperatingExpense,"166,169,000","44,420,000","43,973,000","39,340,000","38,437,000","36,926,000","40,432,000","32,309,000","34,403,000","34,879,000","30,947,000","28,487,000","26,727,000","29,544,000","24,292,000","28,947,000","27,102,000","26,151,000","24,060,000","17,170,000","19,261,000","20,390,000","19,031,000","19,566,000","20,858,000","20,987,000","20,417,000","22,417,000","22,528,000","22,618,000","23,542,000","23,221,000","22,429,000","22,429,000","22,199,000","22,049,000","22,828,000","24,579,000","22,807,000","20,266,000","22,259,000","22,294,000","23,378,000","22,746,000","22,591,000","22,009,000","22,001,000","20,761,000","21,174,000","20,905,000","19,884,000","18,308,000","18,882,000","18,570,000","20,482,000","21,162,000","19,972,000","19,523,000","19,297,000","17,608,000","17,905,000","17,797,000","17,708,000","12,634,000","16,887,000","16,274,000","16,488,000","16,205,000","14,222,000","13,788,000","14,210,000","14,068,000","13,994,000","14,115,000","13,824,578","13,954,569","13,867,775","13,821,243","14,028,830","17,933,280","17,005,105","20,891,897","14,612,217","17,122,963","16,009,166","16,689,199","16,602,756","21,217,599","19,750,932","22,648,708","24,500,000","27,700,000","26,100,000","25,500,000","26,900,000","24,900,000","17,600,000","18,000,000","17,400,000","17,800,000","19,000,000","20,500,000","23,300,000","27,600,000","23,600,000","19,500,000","18,100,000","16,600,000","16,100,000","15,400,000","14,100,000","13,200,000","12,000,000","11,600,000","9,600,000","8,800,000","8,600,000","7,000,000","6,800,000","5,900,000","5,400,000","5,500,000","4,900,000","4,200,000","4,100,000","3,000,000","2,400,000","2,200,000","2,000,000","1,500,000","1,400,000",,,,,,,,
	SellingGeneralAndAdministration,"114,763,000","30,601,000","30,561,000","27,539,000","26,063,000","25,571,000","29,339,000","21,299,000","23,511,000","23,347,000","20,616,000","18,594,000","18,143,000","19,975,000","14,774,000","20,342,000","18,897,000","17,534,000","16,309,000","9,908,000","11,841,000","13,411,000","12,126,000","12,154,000","12,910,000","13,230,000","12,579,000","14,085,000","14,154,000","14,839,000","15,980,000","15,353,000","15,176,000","15,018,000","14,942,000","14,520,000","15,222,000","16,804,000","15,390,000","13,263,000","14,480,000","14,541,000","15,146,000","14,621,000","14,731,000","14,160,000","14,193,000","13,659,000","14,015,000","13,827,000","13,398,000","11,920,000","12,059,000","12,374,000","12,818,000","14,235,000","12,977,000","12,994,000","12,708,000","11,511,000","11,866,000","11,729,000","11,736,000","7,000,000","11,485,000","11,263,000","11,673,000","11,524,000","10,444,000","9,968,000","9,958,000","9,868,000","10,000,000","9,662,000","9,313,739","10,032,392","10,137,550","10,136,931","9,883,621","12,497,859","12,532,219","12,447,311","10,886,569","11,882,824","11,401,187","11,639,290","12,044,733","16,386,018","11,797,797","12,792,914","14,200,000","13,900,000","15,200,000","16,500,000","17,100,000","17,000,000","12,000,000","12,400,000","11,900,000","12,700,000","13,600,000","13,800,000","15,900,000","18,200,000","17,500,000","13,600,000","12,700,000","11,400,000","11,400,000","11,100,000","10,700,000","9,600,000","8,700,000","8,200,000","9,000,000","8,400,000","8,100,000","6,300,000","6,400,000","5,500,000","5,000,000","5,100,000","4,500,000","3,700,000","3,700,000","2,800,000","2,200,000","2,000,000","1,900,000","1,500,000","1,300,000",,,,,,,,
		GeneralAndAdministrativeExpense,"50,120,000","12,825,000","15,242,000","11,901,000","10,153,000","10,134,000","14,415,000","8,288,000","10,378,000","8,791,000","8,555,000","7,376,000","6,751,000","8,441,000","3,117,000","8,355,000","7,302,000","6,359,000","6,549,000","1,510,000","3,337,000","4,680,000","3,804,000","3,617,000","4,283,000","5,065,000","4,061,000","5,066,000","4,720,000","4,540,000","5,188,000","5,254,000","5,317,000","4,619,000","4,723,000","5,067,000","4,850,000","6,390,000","5,116,000","4,380,000","4,560,000","4,201,000","5,047,000","4,536,000","4,597,000","4,628,000","4,395,000","4,581,000","4,926,000","4,224,000","4,158,000","3,841,000","3,435,000","3,398,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"50,120,000","12,825,000","15,242,000","11,901,000","10,153,000","10,134,000","14,415,000","8,288,000","10,378,000","8,791,000","8,555,000","7,376,000","6,751,000","8,441,000","3,117,000","8,355,000","7,302,000","6,359,000","6,549,000","1,510,000","3,337,000","4,680,000","3,804,000","3,617,000","4,283,000","5,065,000","4,061,000","5,066,000","4,720,000","4,540,000","5,188,000","5,254,000","5,317,000","4,619,000","4,723,000","5,067,000","4,850,000","6,390,000","5,116,000","4,380,000","4,560,000","4,201,000","5,047,000","4,536,000","4,597,000","4,628,000","4,395,000","4,581,000","4,926,000","4,224,000","4,158,000","3,841,000","3,435,000","3,398,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"64,643,000","17,776,000","15,319,000","15,638,000","15,910,000","15,437,000","14,924,000","13,011,000","13,133,000","14,556,000","12,061,000","11,218,000","11,392,000","11,534,000","11,657,000","11,987,000","11,595,000","11,175,000","9,760,000","8,398,000","8,504,000","8,731,000","8,322,000","8,537,000","8,627,000","8,165,000","8,518,000","9,019,000","9,434,000","10,299,000","10,792,000","10,099,000","9,859,000","10,399,000","10,219,000","9,453,000","10,372,000","10,414,000","10,274,000","8,883,000","9,920,000","10,340,000","10,099,000","10,085,000","10,134,000","9,532,000","9,798,000","9,078,000","9,089,000","9,603,000","9,240,000","8,079,000","8,624,000","8,976,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"51,406,000","13,819,000","13,412,000","11,801,000","12,374,000","11,355,000","11,093,000","11,010,000","10,892,000","11,532,000","10,331,000","9,893,000","8,584,000","9,569,000","9,518,000","8,605,000","8,205,000","8,617,000","7,751,000","7,262,000","7,420,000","6,979,000","6,905,000","7,412,000","7,948,000","7,757,000","7,838,000","8,332,000","8,374,000","7,779,000","7,562,000","7,868,000","7,253,000","7,411,000","7,257,000","7,529,000","7,606,000","7,775,000","7,417,000","7,003,000","7,779,000","7,753,000","8,232,000","8,125,000","7,860,000","7,849,000","7,808,000","7,102,000","7,159,000","7,078,000","6,486,000","6,388,000","6,823,000","6,196,000","6,974,000","6,927,000","6,995,000","6,529,000","6,589,000","6,097,000","6,039,000","6,068,000","5,972,000","5,634,000","5,402,000","5,011,000","4,815,000","4,681,000","3,778,000","3,820,000","4,252,000","4,200,000","3,994,000","4,453,000","4,510,839","4,176,806","3,962,011","3,684,312","4,145,209","5,435,420","5,540,653","4,827,941","3,725,648","4,119,018","4,607,979","5,049,909","4,558,023","2,500,857","5,203,702","5,976,235","6,500,000","6,300,000","6,000,000","5,900,000","6,500,000","5,100,000","4,100,000","3,900,000","3,800,000","3,700,000","3,900,000","4,900,000","5,400,000","6,700,000","5,300,000","4,400,000","4,100,000","4,400,000","3,800,000","3,400,000","2,600,000","2,800,000","2,700,000","2,600,000",,,,,,,,,,,,,,,,,,,,,,,,,
