name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011
TotalRevenue,"5,198,500,000","1,186,200,000","1,578,200,000","1,371,700,000","1,062,400,000","1,027,800,000","1,415,600,000","1,124,100,000","-1,098,000,000","1,528,000,000","2,345,000,000","1,942,800,000","2,115,400,000","1,990,600,000","2,511,200,000","2,031,300,000","2,299,400,000","2,222,700,000","2,637,600,000","2,238,300,000","2,241,300,000","2,032,100,000","2,296,700,000","1,080,200,000","1,075,600,000","950,700,000","1,210,500,000","1,112,300,000","1,019,500,000","933,800,000","1,259,600,000","1,182,300,000","1,041,500,000","1,008,700,000","1,323,200,000","1,178,200,000","1,058,800,000","997,700,000","1,379,500,000","1,213,100,000","1,023,400,000","1,005,200,000","1,337,900,000","1,244,800,000","1,015,500,000"
	OperatingRevenue,"5,198,500,000","1,186,200,000","1,578,200,000","1,371,700,000","1,062,400,000","1,027,800,000","1,415,600,000","1,124,100,000","-1,098,000,000","1,528,000,000","2,345,000,000","1,942,800,000","2,115,400,000","1,990,600,000","2,511,200,000","2,031,300,000","2,299,400,000","2,222,700,000","2,637,600,000","2,238,300,000","2,241,300,000","2,032,100,000","2,296,700,000","1,080,200,000","1,075,600,000","950,700,000","1,210,500,000","1,112,300,000","1,019,500,000","933,800,000","1,259,600,000","1,182,300,000","1,041,500,000","1,008,700,000","1,323,200,000","1,178,200,000","1,058,800,000","997,700,000","1,379,500,000","1,213,100,000","1,023,400,000","1,005,200,000","1,337,900,000","1,244,800,000","1,015,500,000"
CostOfRevenue,"1,910,100,000","423,100,000","561,100,000","504,800,000","421,100,000","391,700,000","584,000,000","464,900,000","-223,600,000","617,100,000","859,300,000","738,400,000","799,500,000","741,200,000","956,700,000","809,100,000","896,700,000","812,400,000","1,025,000,000","874,300,000","875,300,000","816,100,000","892,300,000","444,800,000","465,600,000","369,000,000","467,700,000","443,700,000","414,100,000","351,800,000","508,900,000","482,200,000","448,800,000","395,600,000","549,300,000","472,000,000","438,400,000","382,600,000","562,900,000","476,400,000","400,400,000","396,200,000","533,900,000","493,500,000","424,000,000"
GrossProfit,"3,288,400,000","763,100,000","1,017,100,000","866,900,000","641,300,000","636,100,000","831,600,000","659,200,000","-874,400,000","910,900,000","1,485,700,000","1,204,400,000","1,315,900,000","1,249,400,000","1,554,500,000","1,222,200,000","1,402,700,000","1,410,300,000","1,612,600,000","1,364,000,000","1,366,000,000","1,216,000,000","1,404,400,000","635,400,000","610,000,000","581,700,000","742,800,000","668,600,000","605,400,000","582,000,000","750,700,000","700,100,000","592,700,000","613,100,000","773,900,000","706,200,000","620,400,000","615,100,000","816,600,000","736,700,000","623,000,000","609,000,000","804,000,000","751,300,000","591,500,000"
OperatingExpense,"2,967,600,000","709,500,000","770,300,000","833,300,000","654,500,000","607,800,000","703,300,000","648,800,000","-169,900,000","1,086,700,000","1,279,400,000","1,156,900,000","1,172,900,000","1,157,200,000","1,372,500,000","1,214,800,000","1,337,800,000","1,345,100,000","1,409,500,000","1,270,000,000","1,374,600,000","1,195,000,000","1,265,400,000","500,100,000","554,400,000","515,100,000","534,300,000","503,500,000","582,900,000","463,400,000","555,000,000","539,500,000","577,000,000","564,300,000","625,700,000","539,000,000","617,800,000","582,300,000","613,200,000","570,800,000","625,400,000","638,400,000","631,100,000","504,600,000","558,200,000"
	SellingGeneralAndAdministration,"2,747,200,000","659,300,000","718,900,000","776,300,000","592,700,000","545,600,000","641,500,000","583,400,000","-154,300,000","999,100,000","1,202,600,000","1,072,600,000","1,087,100,000","1,070,500,000","1,284,000,000","1,122,300,000","1,245,600,000","1,252,300,000","1,319,900,000","1,191,800,000","1,318,500,000","1,092,400,000","1,170,200,000","478,900,000","533,900,000","494,200,000","515,400,000","484,300,000","563,700,000","445,300,000","536,500,000","520,600,000","557,700,000","543,200,000","603,000,000","516,400,000","594,000,000","560,100,000","590,900,000","548,900,000","602,000,000","615,300,000","604,300,000","477,800,000","532,900,000"
	DepreciationAmortizationDepletionIncomeStatement,"220,400,000","50,200,000","51,400,000","57,000,000","61,800,000","62,200,000","61,800,000","65,400,000","-15,600,000","87,600,000","76,800,000","84,300,000","85,800,000","86,700,000","88,500,000","92,500,000","92,200,000","92,800,000","89,600,000","78,200,000","56,100,000","102,600,000","95,200,000","21,200,000","20,500,000","20,900,000","18,900,000","19,200,000","19,200,000","18,100,000","18,500,000","18,900,000","19,300,000","21,100,000","22,700,000","22,600,000","23,800,000","22,200,000","22,300,000","21,900,000","23,400,000","23,100,000","26,800,000","26,800,000","25,300,000"
		DepreciationAndAmortizationInIncomeStatement,"220,400,000","50,200,000","51,400,000","57,000,000","61,800,000","62,200,000","61,800,000","65,400,000","-15,600,000","87,600,000","76,800,000","84,300,000","85,800,000","86,700,000","88,500,000","92,500,000","92,200,000","92,800,000","89,600,000","78,200,000","56,100,000","102,600,000","95,200,000","21,200,000","20,500,000","20,900,000","18,900,000","19,200,000","19,200,000","18,100,000","18,500,000","18,900,000","19,300,000","21,100,000","22,700,000","22,600,000","23,800,000","22,200,000","22,300,000","21,900,000","23,400,000","23,100,000","26,800,000","26,800,000","25,300,000"
			Amortization,"220,400,000","50,200,000","51,400,000","57,000,000","61,800,000","62,200,000","61,800,000","65,400,000","-15,600,000","87,600,000","76,800,000","84,300,000","85,800,000","86,700,000","88,500,000","92,500,000","92,200,000","92,800,000","89,600,000","78,200,000","56,100,000","102,600,000","95,200,000","21,200,000","20,500,000","20,900,000","18,900,000","19,200,000","19,200,000","18,100,000","18,500,000","18,900,000","19,300,000","21,100,000","22,700,000","22,600,000","23,800,000","22,200,000","22,300,000","21,900,000","23,400,000","23,100,000","26,800,000","26,800,000","25,300,000"
				AmortizationOfIntangiblesIncomeStatement,"220,400,000","50,200,000","51,400,000","57,000,000","61,800,000","62,200,000","61,800,000","65,400,000","-15,600,000","87,600,000","76,800,000","84,300,000","85,800,000","86,700,000","88,500,000","92,500,000","92,200,000","92,800,000","89,600,000","78,200,000","56,100,000","102,600,000","95,200,000","21,200,000","20,500,000","20,900,000","18,900,000","19,200,000","19,200,000","18,100,000","18,500,000","18,900,000","19,300,000","21,100,000","22,700,000","22,600,000","23,800,000","22,200,000","22,300,000","21,900,000","23,400,000","23,100,000","26,800,000","26,800,000","25,300,000"
