name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988
TotalRevenue,"22,343,599,000","7,458,750,000","5,622,667,000","4,685,059,000","4,577,123,000","3,504,293,000","2,900,768,000","2,819,400,000","2,062,930,000","3,400,545,000","4,381,888,000","4,424,828,000","4,782,615,000","3,897,247,000","4,344,204,000","4,770,799,000","4,471,236,000","4,128,427,000","3,992,705,000","3,719,247,000","3,458,864,000","3,080,483,000","2,955,068,000","2,847,270,000","2,714,638,000","2,018,724,000","2,943,559,000","3,585,823,000","3,701,912,000","3,006,626,000","4,283,119,000","5,317,555,000","5,372,600,000","4,791,053,000","4,826,801,000","5,327,122,000","5,298,848,000","4,707,789,000","5,147,507,000","5,204,798,000","4,806,681,000","4,931,738,000","4,972,412,000","5,173,398,000","2,967,133,000","2,326,585,000","2,211,791,000","2,090,988,000","2,145,860,000","1,874,290,000","1,654,635,000","1,490,429,000","1,038,381,000","650,823,000","923,942,000","1,719,920,000","1,743,822,000","1,479,984,000","1,440,207,000","1,208,671,000","1,216,997,000","925,867,000","938,090,000","1,172,693,000","1,120,840,000","791,594,000","854,445,000","935,279,000","771,296,000","651,725,000","617,133,000","597,448,000","568,735,000","463,057,000","352,893,000","412,152,000","312,180,000","270,360,000","275,658,000","253,878,000","210,327,000","166,754,000","257,947,000","264,837,000","268,190,000","283,140,000","325,963,000","289,951,000","256,940,000","218,400,000","200,600,000","196,700,000","141,500,000","118,800,000","141,000,000","149,700,000","134,200,000","136,800,000","168,900,000","170,400,000","180,100,000","183,900,000","186,800,000","191,200,000","168,500,000","151,800,000","164,800,000","160,100,000","147,000,000","147,000,000","160,700,000","152,200,000","143,900,000","120,700,000","135,500,000","167,100,000","161,700,000","149,900,000","151,900,000","156,000,000","123,500,000","110,000,000","117,200,000","115,500,000","112,300,000","123,400,000","137,300,000","114,000,000","107,400,000","109,000,000","107,400,000","115,400,000","88,800,000","78,600,000","97,300,000"
	OperatingRevenue,"22,282,266,000","7,438,154,000","5,599,608,000","4,676,558,000","4,567,946,000","3,492,596,000","2,894,352,000","2,812,961,000","2,053,466,000","3,376,848,000","4,422,651,000","4,410,444,000","4,769,075,000","3,884,408,000","4,390,580,000","4,757,306,000","4,461,423,000","4,105,357,000","3,992,705,000","3,719,247,000","3,458,864,000","3,080,483,000","2,955,068,000","2,847,270,000","2,714,638,000","2,018,724,000","2,943,559,000","3,585,823,000","3,701,912,000","3,006,626,000","4,283,119,000","5,317,555,000","5,372,600,000","4,791,053,000","4,826,801,000","5,327,122,000","5,298,848,000","4,707,789,000","5,147,507,000","5,204,798,000","4,806,681,000","4,931,738,000","4,972,412,000","5,173,398,000","2,967,133,000","2,326,585,000","2,211,791,000","2,090,988,000","2,145,860,000","1,874,290,000","1,654,635,000","1,490,429,000","1,038,381,000","650,823,000","923,942,000","1,719,920,000","1,743,822,000","1,479,984,000","1,440,207,000","1,208,671,000","1,216,997,000","925,867,000","938,090,000","1,172,693,000","1,120,840,000","791,594,000","854,445,000","935,279,000","771,296,000","651,725,000","617,133,000","597,448,000","568,735,000","463,057,000","352,893,000","412,152,000","312,180,000","270,360,000","275,658,000","253,878,000","210,327,000","166,754,000","257,947,000","264,837,000","268,190,000","283,140,000","325,963,000","289,951,000","256,940,000","218,400,000","200,600,000","196,700,000","141,500,000","118,800,000","141,000,000","149,700,000","134,200,000","136,800,000","168,900,000","170,400,000","180,100,000","183,900,000","186,800,000","191,200,000","168,500,000","151,800,000","164,800,000","160,100,000","147,000,000","147,000,000","160,700,000","152,200,000","143,900,000","120,700,000","135,500,000","167,100,000","161,700,000","149,900,000","151,900,000","156,000,000","123,500,000","110,000,000","117,200,000","115,500,000","112,300,000","123,400,000","137,300,000","114,000,000","107,400,000","109,000,000","107,400,000","115,400,000","88,800,000","78,600,000","97,300,000"
CostOfRevenue,"19,514,183,000","6,638,062,000","5,101,097,000","3,944,078,000","3,830,946,000","2,884,347,000","2,486,512,000","2,439,669,000","1,437,270,000","3,394,765,000","3,775,816,000","3,564,845,000","3,879,593,000","3,088,280,000","3,688,458,000","3,878,956,000","3,599,369,000","3,347,628,000","3,197,041,000","2,880,286,000","2,942,704,000","2,749,020,000","2,546,710,000","2,433,279,000","2,200,105,000","1,656,922,000","2,680,637,000","2,967,074,000","2,839,798,000","2,324,839,000","4,287,002,000","4,706,838,000","4,776,236,000","4,219,168,000","4,411,959,000","4,892,117,000","4,527,300,000","3,864,297,000","3,617,882,000","4,132,595,000","3,904,490,000","4,428,544,000","4,504,549,000","4,217,810,000","2,586,440,000","2,119,360,000","2,113,805,000","1,937,307,000","1,969,043,000","1,851,408,000","1,308,217,000","1,392,501,000","958,434,000","578,856,000","803,521,000","1,606,035,000","1,694,835,000","1,444,250,000","1,351,018,000","1,111,710,000","948,458,000","801,995,000","839,513,000","1,033,557,000","957,201,000","728,079,000","702,858,000","772,956,000","655,321,000","600,899,000","527,957,000","507,752,000","425,959,000","374,895,000","329,303,000","365,269,000","284,048,000","258,879,000","256,316,000","135,715,000","189,349,000","157,531,000","217,029,000","121,501,000","221,844,000","251,167,000","278,851,000","176,294,000","229,850,000","212,900,000","160,100,000","85,400,000","117,300,000","103,600,000","124,900,000","124,700,000","116,200,000","127,300,000","150,500,000","152,600,000","156,900,000","176,200,000","170,900,000","165,100,000","151,400,000","139,000,000","145,000,000","141,800,000","137,700,000","135,400,000","139,200,000","147,600,000","120,400,000","104,800,000","112,800,000","146,400,000","144,700,000","138,000,000","139,400,000","136,600,000","111,600,000","117,200,000","108,800,000","105,100,000","100,400,000","114,900,000","128,000,000","91,100,000","98,900,000","96,900,000","93,400,000","97,400,000","75,000,000",,
GrossProfit,"2,829,416,000","820,688,000","521,570,000","740,981,000","746,177,000","619,946,000","414,256,000","379,731,000","625,660,000","5,780,000","606,072,000","859,983,000","903,022,000","808,967,000","655,746,000","891,843,000","871,867,000","780,799,000","795,664,000","838,961,000","516,160,000","331,463,000","408,358,000","413,991,000","514,533,000","361,802,000","262,922,000","618,749,000","862,114,000","681,787,000","-3,883,000","610,717,000","596,364,000","571,885,000","414,842,000","435,005,000","771,548,000","843,492,000","1,529,625,000","1,072,203,000","902,191,000","503,194,000","467,863,000","955,588,000","380,693,000","207,225,000","97,986,000","153,681,000","176,817,000","22,882,000","346,418,000","97,928,000","79,947,000","71,967,000","120,421,000","113,885,000","48,987,000","35,734,000","89,189,000","96,961,000","268,539,000","123,872,000","98,577,000","139,136,000","163,639,000","63,515,000","151,587,000","162,323,000","115,975,000","50,826,000","89,176,000","89,696,000","142,776,000","88,162,000","23,590,000","46,883,000","28,132,000","11,481,000","19,342,000","118,163,000","20,978,000","9,223,000","40,918,000","143,336,000","46,346,000","31,973,000","47,112,000","113,657,000","27,090,000","5,500,000","40,500,000","111,300,000","24,200,000","15,200,000","16,100,000","25,000,000","18,000,000","9,500,000","18,400,000","17,800,000","23,200,000","7,700,000","15,900,000","26,100,000","17,100,000","12,800,000","19,800,000","18,300,000","9,300,000","11,600,000","21,500,000","4,600,000","23,500,000","15,900,000","22,700,000","20,700,000","17,000,000","11,900,000","12,500,000","19,400,000","11,900,000","-7,200,000","8,400,000","10,400,000","11,900,000","8,500,000","9,300,000","22,900,000","8,500,000","12,100,000","14,000,000","18,000,000","13,800,000",,
OperatingExpense,"1,985,460,000","587,856,000","542,083,000","443,576,000","411,945,000","481,884,000","412,118,000","406,949,000","378,728,000","416,082,000","476,889,000","433,204,000","418,569,000","419,626,000","438,094,000","388,326,000","364,890,000","384,952,000","430,012,000","389,681,000","375,228,000","364,187,000","296,066,000","289,226,000","280,991,000","278,204,000","319,628,000","296,144,000","272,282,000","293,165,000","350,535,000","308,106,000","300,019,000","300,889,000","327,719,000","285,255,000","311,542,000","294,297,000","856,484,000","93,899,000","89,054,000","83,630,000","94,800,000","86,381,000","50,514,000","48,126,000","52,026,000","46,063,000","44,653,000","45,626,000","402,278,000","40,995,000","40,608,000","32,068,000","32,884,000","30,909,000","28,761,000","26,141,000","23,613,000","29,329,000","31,989,000","27,298,000","29,976,000","22,046,000","29,414,000","21,540,000","92,110,000","68,953,000","28,805,000","24,917,000","70,892,000","68,748,000","61,560,000","63,096,000","23,724,000","19,520,000","16,036,000","12,498,000","12,399,000","110,097,000","12,336,000","11,942,000","11,861,000","38,159,000","36,557,000","11,597,000","13,525,000","100,514,000","12,728,000","12,300,000","34,500,000","92,800,000","13,500,000","12,500,000","10,300,000","9,800,000","10,400,000","9,700,000","8,400,000","10,600,000","8,700,000","8,700,000","9,400,000","11,200,000","9,400,000","8,800,000","8,100,000","9,400,000","8,500,000","8,100,000","7,300,000","3,300,000","6,800,000","6,600,000","9,300,000","3,900,000","6,700,000","6,500,000","6,000,000","2,900,000","5,600,000","5,300,000","5,600,000","5,100,000","5,300,000","5,200,000","4,400,000","3,200,000","4,500,000","4,700,000","4,200,000","4,200,000","4,300,000",,
	SellingGeneralAndAdministration,"390,457,000","110,422,000","111,225,000","91,056,000","77,754,000","81,975,000","76,041,000","74,453,000","75,369,000","87,737,000","93,259,000","87,626,000","85,317,000","88,034,000","85,955,000","71,130,000","68,675,000","64,664,000","80,215,000","68,013,000","59,576,000","57,070,000","37,378,000","32,994,000","29,655,000","25,621,000","34,414,000","30,746,000","26,117,000","29,569,000","32,172,000","27,149,000","28,365,000","26,923,000","35,828,000","28,937,000","34,000,000","29,198,000","39,680,000","28,787,000","32,106,000","27,528,000","41,473,000","43,141,000","18,682,000","16,818,000","20,216,000","16,925,000","15,829,000","17,869,000","16,760,000","16,728,000","15,108,000","11,747,000","15,073,000","14,169,000","12,832,000","12,832,000","12,780,000","18,798,000","21,348,000","15,847,000","18,442,000","12,566,000","18,731,000","13,516,000","82,629,000","59,563,000","15,678,000","13,098,000","60,251,000","58,763,000","51,629,000","53,172,000","12,447,000","10,023,000","7,057,000","5,337,000","5,203,000","102,427,000","5,452,000","5,228,000","5,430,000","106,050,000","5,320,000","5,190,000","6,973,000","92,999,000","6,120,000","5,300,000","28,100,000","86,100,000","6,500,000","5,900,000","4,300,000","3,300,000","3,700,000","3,600,000","3,200,000","4,900,000","4,100,000","3,900,000","4,300,000","5,300,000","4,500,000","4,300,000","4,100,000","5,300,000","4,200,000","4,200,000","3,800,000","500,000","4,100,000","3,900,000","6,600,000","1,500,000","3,700,000","3,600,000","3,300,000","200,000","3,000,000","2,900,000","3,300,000","3,400,000","3,500,000","3,400,000","2,600,000","1,600,000","2,900,000","3,100,000","2,600,000","2,600,000","2,700,000",,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,"124,879,000","125,280,000","130,178,000","140,575,000","134,580,000","127,016,000","126,908,000","121,421,000","113,719,000","108,885,000","110,379,000","104,341,000","105,731,000","102,884,000","105,282,000","96,040,000","93,594,000","91,130,000","90,423,000","87,880,000","90,572,000","87,764,000","87,803,000","80,012,000","100,498,000","80,945,000","101,390,000","80,548,000","79,065,000","82,127,000","70,492,000","71,762,000","64,706,000","65,112,000","56,948,000","56,102,000","53,327,000","43,240,000","31,832,000","31,308,000","31,810,000","29,138,000","28,824,000","27,757,000","28,663,000","24,267,000","25,500,000","20,321,000","17,811,000","16,740,000","15,929,000","13,309,000","10,833,000","10,531,000","10,641,000","11,451,000","11,534,000","9,480,000","10,683,000","8,024,000","9,481,000","9,390,000","13,127,000","11,819,000","10,641,000","9,985,000","9,931,000","9,924,000","10,246,000","9,104,000","8,979,000","7,161,000","7,196,000","7,670,000","6,884,000","6,714,000","6,431,000","7,736,000","6,632,000","6,407,000","6,552,000","7,515,000","6,608,000","7,000,000","6,400,000","6,700,000","7,000,000","6,600,000","6,000,000","6,500,000","6,700,000","6,100,000","5,200,000","5,700,000","4,600,000","4,800,000","5,100,000","5,900,000","4,900,000","4,500,000","4,000,000","4,100,000","4,300,000","3,900,000","3,500,000","2,800,000","2,700,000","2,700,000","2,700,000","2,400,000","3,000,000","2,900,000","2,700,000","2,700,000","2,600,000","2,400,000","2,300,000","1,700,000","1,800,000","1,800,000","1,800,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000",,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,"124,879,000","125,280,000","130,178,000","140,575,000","134,580,000","127,016,000","126,908,000","121,421,000","113,719,000","108,885,000","110,379,000","104,341,000","105,731,000","102,884,000","105,282,000","96,040,000","93,594,000","91,130,000","90,423,000","87,880,000","90,572,000","87,764,000","87,803,000","80,012,000","100,498,000","80,945,000","101,390,000","80,548,000","79,065,000","82,127,000","70,492,000","71,762,000","64,706,000","65,112,000","56,948,000","56,102,000","53,327,000","43,240,000","31,832,000","31,308,000","31,810,000","29,138,000","28,824,000","27,757,000","28,663,000","24,267,000","25,500,000","20,321,000","17,811,000","16,740,000","15,929,000","13,309,000","10,833,000","10,531,000","10,641,000","11,451,000","11,534,000","9,480,000","10,683,000","8,024,000","9,481,000","9,390,000","13,127,000","11,819,000","10,641,000","9,985,000","9,931,000","9,924,000","10,246,000","9,104,000","8,979,000","7,161,000","7,196,000","7,670,000","6,884,000","6,714,000","6,431,000","7,736,000","6,632,000","6,407,000","6,552,000","7,515,000","6,608,000","7,000,000","6,400,000","6,700,000","7,000,000","6,600,000","6,000,000","6,500,000","6,700,000","6,100,000","5,200,000","5,700,000","4,600,000","4,800,000","5,100,000","5,900,000","4,900,000","4,500,000","4,000,000","4,100,000","4,300,000","3,900,000","3,500,000","2,800,000","2,700,000","2,700,000","2,700,000","2,400,000","3,000,000","2,900,000","2,700,000","2,700,000","2,600,000","2,400,000","2,300,000","1,700,000","1,800,000","1,800,000","1,800,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000",,
	OtherOperatingExpenses,"1,595,003,000","477,434,000","430,858,000","352,520,000","334,191,000","399,909,000","336,077,000","332,496,000","303,359,000","328,345,000","383,630,000","345,578,000","333,252,000","331,592,000","352,139,000","317,196,000","296,215,000","320,288,000","349,797,000","321,668,000","315,652,000","307,117,000","258,688,000","256,232,000","251,336,000","252,583,000","285,214,000","265,398,000","246,165,000","263,596,000","318,363,000","280,957,000","271,654,000","273,966,000","291,891,000","256,318,000","277,542,000","265,099,000","296,754,000",,,,,,,,,,"120,831,000","127,544,000",,,,,,,,,,,,,,,,,,,,,,,,,"1,031,000","393,000",,,,,,,,,"24,605,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"843,956,000","232,832,000","-20,513,000","297,405,000","334,232,000","138,062,000","2,138,000","-27,218,000","246,932,000","-410,302,000","129,183,000","426,779,000","484,453,000","389,341,000","217,652,000","503,517,000","506,977,000","395,847,000","365,652,000","449,280,000","140,932,000","-32,724,000","112,292,000","124,765,000","233,542,000","83,598,000","-56,706,000","322,605,000","589,832,000","388,622,000","-354,418,000","302,611,000","296,345,000","270,996,000","87,123,000","149,750,000","460,006,000","549,195,000","673,141,000","978,304,000","813,137,000","419,564,000","373,063,000","869,207,000","330,179,000","159,099,000","45,960,000","107,618,000","132,164,000","-22,744,000","-55,860,000","56,933,000","39,339,000","39,899,000","87,537,000","82,976,000","20,226,000","9,593,000","65,576,000","67,632,000","236,550,000","96,574,000","68,601,000","117,090,000","134,225,000","41,975,000","59,477,000","93,370,000","87,170,000","25,909,000","18,284,000","20,948,000","81,216,000","25,066,000","-134,000","27,363,000","12,096,000","-1,017,000","6,943,000","8,066,000","8,642,000","-2,719,000","29,057,000","105,177,000","9,789,000","20,376,000","33,587,000","13,143,000","14,362,000","-6,800,000","6,000,000","18,500,000","10,700,000","2,700,000","5,800,000","15,200,000","7,600,000","-200,000","10,000,000","7,200,000","14,500,000","-1,000,000","6,500,000","14,900,000","7,700,000","4,000,000","11,700,000","8,900,000","800,000","3,500,000","14,200,000","1,300,000","16,700,000","9,300,000","13,400,000","16,800,000","10,300,000","5,400,000","6,500,000","16,500,000","6,300,000","-12,500,000","2,800,000","5,300,000","6,600,000","3,300,000","4,900,000","19,700,000","4,000,000","7,400,000","9,800,000","13,800,000","9,500,000","78,600,000","97,300,000"
