name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017
TotalRevenue,"4,748,000,000","1,225,000,000","1,113,000,000","1,131,000,000","1,279,000,000","1,242,000,000","1,139,700,000","889,600,000","586,300,000","657,700,000","787,000,000","771,300,000","781,600,000","731,100,000","799,300,000","761,100,000","770,200,000","736,200,000","754,300,000","697,100,000"
	OperatingRevenue,"4,748,000,000","1,225,000,000","1,113,000,000","1,131,000,000","1,279,000,000","1,242,000,000","1,139,700,000","889,600,000","586,300,000","657,700,000","787,000,000","771,300,000","781,600,000","731,100,000","799,300,000","761,100,000","770,200,000","736,200,000","754,300,000","697,100,000"
CostOfRevenue,"2,074,000,000","509,000,000","512,000,000","502,000,000","551,000,000","569,000,000","596,200,000","441,800,000","295,900,000","332,700,000","410,100,000","360,400,000","356,000,000","343,800,000","412,500,000","369,800,000","431,500,000","360,000,000","405,000,000","376,200,000"
GrossProfit,"2,674,000,000","716,000,000","601,000,000","629,000,000","728,000,000","673,000,000","543,500,000","447,800,000","290,400,000","325,000,000","376,900,000","410,900,000","425,600,000","387,300,000","386,800,000","391,300,000","338,700,000","376,200,000","349,300,000","320,900,000"
OperatingExpense,"2,283,000,000","538,000,000","560,000,000","577,000,000","608,000,000","584,000,000","650,500,000","461,400,000","271,200,000","300,400,000","304,600,000","312,900,000","319,000,000","294,200,000","296,300,000","286,600,000","301,900,000","294,400,000","319,000,000","308,200,000"
	SellingGeneralAndAdministration,"1,376,000,000","320,000,000","329,000,000","342,000,000","385,000,000","348,000,000","374,100,000","277,700,000","162,800,000","182,000,000","185,900,000","192,300,000","200,900,000","181,100,000","185,100,000","179,000,000","191,100,000","180,000,000","196,800,000","194,700,000"
	ResearchAndDevelopment,"361,000,000","81,000,000","92,000,000","94,000,000","94,000,000","89,000,000","112,700,000","88,100,000","59,400,000","66,800,000","67,300,000","69,900,000","68,800,000","64,100,000","61,100,000","58,900,000","61,400,000","65,200,000","62,000,000","61,900,000"
	DepreciationAmortizationDepletionIncomeStatement,"546,000,000","137,000,000","139,000,000","141,000,000","129,000,000","147,000,000","163,700,000","95,600,000","49,000,000","51,600,000","51,400,000","50,700,000","49,300,000","49,000,000","50,100,000","48,700,000","49,400,000","49,200,000","60,200,000","51,600,000"
		DepreciationAndAmortizationInIncomeStatement,"546,000,000","137,000,000","139,000,000","141,000,000","129,000,000","147,000,000","163,700,000","95,600,000","49,000,000","51,600,000","51,400,000","50,700,000","49,300,000","49,000,000","50,100,000","48,700,000","49,400,000","49,200,000","60,200,000","51,600,000"
			Amortization,"546,000,000","137,000,000","139,000,000","141,000,000","129,000,000","147,000,000","163,700,000","95,600,000","49,000,000","51,600,000","51,400,000","50,700,000","49,300,000","49,000,000","50,100,000","48,700,000","49,400,000","49,200,000","60,200,000","51,600,000"
