name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992
OperatingCashFlow,"1,927,600,000","475,300,000","579,500,000","447,300,000","425,500,000","559,600,000","574,200,000","137,900,000","449,100,000","363,900,000","466,200,000","404,500,000","300,800,000","290,300,000","464,100,000","418,200,000","266,100,000","281,700,000","368,749,000","315,641,000","171,875,000","378,217,000","270,412,000","316,541,000","169,760,000","207,072,000","269,258,000","226,619,000","172,549,000","260,399,000","261,209,000","226,102,000","140,502,000","212,628,000","235,780,000","255,766,000","139,739,000","171,268,000","211,638,000","205,431,000","119,326,000","141,457,000","192,544,000","166,557,000","155,933,000","86,584,000","155,122,000","139,063,000","110,269,000","95,086,000","119,650,000","86,987,000","110,285,000","50,577,000","128,899,000","138,243,000","95,703,000","71,593,000","116,836,000","91,419,000","78,464,000","57,088,000","109,005,000","47,777,000","48,426,000","57,330,000","105,376,000","74,542,000","62,760,000","38,623,000","63,266,000","35,618,000","40,358,000","25,583,000","13,523,000","21,783,000","23,390,000","6,677,000","36,450,000","17,644,000","21,349,000","11,526,000","30,807,000","25,193,000","21,204,000","25,238,000","23,713,000","20,604,000","14,522,000","8,800,000","10,900,000","18,700,000","19,900,000","3,300,000","32,300,000","-700,000","13,300,000","31,300,000","10,500,000","9,800,000","12,500,000","2,600,000","15,000,000","5,500,000","3,800,000","8,800,000","16,400,000","4,300,000","6,100,000","-600,000","10,300,000","8,500,000","-2,600,000","-1,900,000","9,500,000","14,700,000","5,600,000","2,200,000","3,900,000","3,800,000"
	CashFlowFromContinuingOperatingActivities,"1,814,100,000","473,800,000","546,900,000","334,200,000","425,500,000","559,600,000","574,200,000","137,900,000","449,100,000","363,900,000","466,200,000","404,500,000","300,800,000","290,300,000","464,100,000","418,200,000","266,100,000","281,700,000","368,749,000","315,641,000","171,875,000","378,217,000","270,412,000","316,541,000","169,760,000","207,072,000","269,258,000","226,619,000","172,549,000","260,399,000","261,209,000","226,102,000","140,502,000","212,628,000","235,780,000","255,766,000","139,739,000","171,268,000","211,638,000","205,431,000","119,326,000","141,457,000","192,544,000","166,557,000","155,933,000","86,584,000","155,122,000","139,063,000","110,269,000","95,086,000","119,650,000","86,987,000","110,285,000","50,577,000","128,899,000","138,243,000","95,703,000","71,593,000","116,836,000","91,419,000","78,464,000","57,088,000","109,005,000","47,777,000","48,426,000","57,330,000","105,376,000","74,542,000","62,760,000","38,623,000","63,266,000","35,618,000","40,358,000","25,583,000","13,523,000","21,783,000","23,390,000","6,677,000","36,450,000","17,644,000","21,349,000","11,526,000","30,807,000","25,193,000","21,204,000","25,238,000","23,713,000","20,604,000","14,522,000","8,800,000","10,900,000","18,700,000","19,900,000","3,300,000","32,300,000","-700,000","13,300,000","31,300,000","10,500,000","9,800,000","12,500,000","2,600,000","15,000,000","5,500,000","3,800,000","8,800,000","16,400,000","4,300,000","6,100,000","-600,000","10,300,000","8,500,000","-2,600,000","-1,900,000","9,500,000","14,700,000","5,600,000","2,200,000","3,900,000","3,800,000"
		NetIncomeFromContinuingOperations,"1,000,300,000","287,600,000","199,900,000","207,400,000","286,300,000","289,000,000","255,800,000","234,400,000","219,200,000","240,300,000","871,100,000","277,500,000","249,700,000","369,600,000","257,100,000","247,600,000","228,400,000","211,300,000","443,872,000","190,273,000","179,556,000","158,071,000","182,081,000","167,079,000","158,069,000","151,416,000","208,597,000","160,417,000","171,280,000","155,773,000","185,936,000","155,510,000","157,361,000","147,226,000","165,703,000","136,323,000","111,353,000","124,914,000",,,,,,,,"88,979,000","107,311,000","84,263,000","71,281,000","59,725,000","71,924,000","56,410,000","59,588,000","51,559,000","72,061,000","75,199,000","75,673,000","63,582,000","72,230,000","65,140,000","61,229,000","51,434,000","56,731,000","50,814,000","48,093,000","37,686,000","50,408,000","39,194,000","35,562,000","28,011,000","24,786,000","27,382,000","23,550,000","18,134,000","1,897,000","15,233,000","14,130,000","7,989,000","-6,946,000","15,033,000","17,456,000","14,510,000","17,084,000","13,133,000","13,862,000","11,760,000","14,870,000","11,102,000","13,606,000","9,700,000","14,600,000","12,800,000","12,100,000","7,800,000","7,400,000","10,500,000","10,700,000","10,700,000","8,800,000","11,600,000","10,200,000","5,800,000","7,400,000","7,000,000","5,700,000","8,800,000","9,200,000","6,600,000","4,300,000","3,200,000","8,100,000","2,400,000","6,500,000","3,900,000","7,700,000","7,200,000","3,000,000","1,200,000","2,200,000","1,800,000"
		OperatingGainsLosses,,,"0","0","0","-21,600,000",,,,,"-599,900,000","1,100,000","1,100,000","-89,600,000","0",,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,542,000","1,231,000","-15,510,000",,"-11,661,000","-4,814,000","-27,194,000",,"-10,798,000",,,"-16,008,000","17,213,000",,,,"-1,980,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,"0","0","0","0","-599,900,000","1,100,000","1,100,000","-89,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,"0","0",,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"633,800,000","159,100,000","157,100,000","154,600,000","161,100,000","161,300,000","162,700,000","130,000,000","113,500,000","114,600,000","116,900,000","106,300,000","98,200,000","94,600,000","94,100,000","94,700,000","90,300,000","87,900,000","86,671,000","86,824,000","86,095,000","85,375,000","63,350,000","58,332,000","59,520,000","59,251,000","56,041,000","50,045,000","49,867,000","48,308,000","49,663,000","50,037,000","48,881,000","48,703,000","49,711,000","48,943,000","47,095,000","43,441,000","43,948,000","39,561,000","35,772,000","35,467,000","35,418,000","35,594,000","34,821,000","34,310,000","34,320,000","32,251,000","27,946,000","28,504,000","26,340,000","25,280,000","25,602,000","26,226,000","27,745,000","26,591,000","25,251,000","23,521,000","22,977,000","23,931,000","23,645,000","22,627,000","21,718,000","20,863,000","20,454,000","19,009,000","18,492,000","18,135,000","16,964,000","17,728,000","11,560,000","10,216,000","9,907,000","9,704,000","4,272,000","4,093,000","4,124,000","3,864,000","3,948,000","3,603,000","3,568,000","4,057,000","7,754,000","6,619,000","6,481,000","6,601,000","6,388,000","5,807,000","5,603,000","4,500,000","4,100,000","4,100,000","3,900,000","3,900,000","3,800,000","3,800,000","3,500,000","3,300,000",,,,,,,,,,,,,,,,,,,,,,
			DepreciationAndAmortization,"633,800,000","159,100,000","157,100,000","154,600,000","161,100,000","161,300,000","162,700,000","130,000,000","113,500,000","114,600,000","116,900,000","106,300,000","98,200,000","94,600,000","94,100,000","94,700,000","90,300,000","87,900,000","86,671,000","86,824,000","86,095,000","85,375,000","63,350,000","58,332,000","59,520,000","59,251,000","56,041,000","50,045,000","49,867,000","48,308,000","49,663,000","50,037,000","48,881,000","48,703,000","49,711,000","48,943,000","47,095,000","43,441,000","43,948,000","39,561,000","35,772,000","35,467,000","35,418,000","35,594,000","34,821,000","34,310,000","34,320,000","32,251,000","27,946,000","28,504,000","26,340,000","25,280,000","25,602,000","26,226,000","27,745,000","26,591,000","25,251,000","23,521,000","22,977,000","23,931,000","23,645,000","22,627,000","21,718,000","20,863,000","20,454,000","19,009,000","18,492,000","18,135,000","16,964,000","17,728,000","11,560,000","10,216,000","9,907,000","9,704,000","4,272,000","4,093,000","4,124,000","3,864,000","3,948,000","3,603,000","3,568,000","4,057,000","7,754,000","6,619,000","6,481,000","6,601,000","6,388,000","5,807,000","5,603,000","4,500,000","4,100,000","4,100,000","3,900,000","3,900,000","3,800,000","3,800,000","3,500,000","3,300,000",,,,,,,,,,,,,,,,,,,,,,
				Depreciation,"47,600,000","11,000,000","11,500,000","9,000,000","14,500,000","14,700,000","15,100,000","13,200,000","12,300,000","12,800,000","13,300,000","12,500,000","11,700,000","11,700,000","12,200,000","12,100,000","12,600,000","12,600,000","12,737,000","12,492,000","11,907,000","12,377,000","9,345,000","8,902,000","9,350,000","9,702,000","9,731,000","9,037,000","9,537,000","9,880,000","10,448,000","10,353,000","10,423,000","9,666,000","9,487,000","9,527,000","9,400,000","9,342,000","9,486,000","9,452,000","9,501,000","9,449,000","9,111,000","8,804,000","9,609,000","9,256,000","9,457,000","9,110,000","8,752,000","9,409,000","8,335,000","8,308,000","8,751,000","8,769,000","9,125,000","8,585,000","8,196,000","7,994,000","8,245,000","7,875,000","8,029,000","7,656,000","8,307,000","7,705,000","7,303,000","6,624,000","7,622,000","7,107,000","6,255,000","7,429,000","4,823,000","4,592,000","4,367,000","4,478,000","2,984,000","2,882,000","2,965,000","2,846,000","3,204,000","2,793,000","2,845,000","2,879,000","2,725,000","2,420,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"586,200,000","148,100,000","145,600,000","145,600,000","146,600,000","146,600,000","147,600,000","116,800,000","101,200,000","101,800,000","103,600,000","93,800,000","86,500,000","82,900,000","81,900,000","82,600,000","77,700,000","75,300,000","73,934,000","74,332,000","74,188,000","72,998,000","54,005,000","49,430,000","50,170,000","49,549,000","46,310,000","41,008,000","40,330,000","38,428,000","39,215,000","39,684,000","38,458,000","39,037,000","40,224,000","39,416,000","37,695,000","34,099,000","34,462,000","30,109,000","26,271,000","26,018,000","26,307,000","26,790,000","25,212,000","25,054,000","24,863,000","23,141,000","19,194,000","19,095,000","18,005,000","16,972,000","16,851,000","17,457,000","18,620,000","18,006,000","17,055,000","15,527,000","14,732,000","16,056,000","15,616,000","14,971,000","13,411,000","13,158,000","13,151,000","12,385,000","10,870,000","11,028,000","10,709,000","10,299,000","6,737,000","5,624,000","5,540,000","5,226,000","1,288,000","1,211,000","1,159,000","1,018,000","744,000","810,000","723,000","1,178,000","5,029,000","4,199,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
