name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013
OperatingCashFlow,"88,864,000","-101,692,000","141,928,000","2,300,000","46,328,000","-682,000","112,713,000","20,758,000","23,133,000","-51,484,000","80,939,000","-2,589,000","-1,549,000","-28,349,000","74,299,000","11,804,000","5,506,000","-28,442,000","73,352,000","13,605,000","-14,315,000","-27,012,000","61,487,000","14,326,000","-7,650,000","-22,739,000","60,050,000","-9,620,000","5,238,000","-9,077,000","27,110,000","-5,856,000","-669,000","-5,650,000","26,422,000","-81,000","-7,911,000"
	CashFlowFromContinuingOperatingActivities,"88,864,000","-101,692,000","141,928,000","2,300,000","46,328,000","-682,000","112,713,000","20,758,000","23,133,000","-51,484,000","80,939,000","-2,589,000","-1,549,000","-28,349,000","74,299,000","11,804,000","5,506,000","-28,442,000","73,352,000","13,605,000","-14,315,000","-27,012,000","61,487,000","14,326,000","-7,650,000","-22,739,000","60,050,000","-9,620,000","5,238,000","-9,077,000","27,110,000","-5,856,000","-669,000","-5,650,000","26,422,000","-81,000","-7,911,000"
		NetIncomeFromContinuingOperations,"192,450,000","44,713,000","69,231,000","37,861,000","40,645,000","24,552,000","29,566,000","5,758,000","-490,000","5,729,000","24,819,000","7,680,000","9,721,000","8,697,000","19,030,000","4,534,000","6,761,000","6,855,000","20,149,000","1,098,000","777,000","2,588,000","10,506,000","479,000","624,000","1,012,000","9,928,000","-3,343,000","2,271,000","2,610,000","8,763,000","944,000","1,413,000","1,892,000","6,673,000","-1,460,000","-1,445,000"
		OperatingGainsLosses,"175,000","25,000","60,000","94,000","-4,000","64,000","-19,000","46,000","-4,000","28,000","570,000","-193,000","12,000","0","-4,000",,,"179,000","12,000","47,000","14,000","204,000","37,000","67,000","59,000","226,000","3,000","223,000","11,000","21,000","27,000","24,000","62,000","1,176,000","513,000",,
			GainLossOnSaleOfPPE,"175,000",,"-11,000","-214,000","-33,000","64,000","-19,000","46,000","-4,000","28,000","570,000","-193,000","12,000","0","-4,000","27,000","0","179,000","12,000","47,000","14,000","204,000","37,000","67,000","59,000","226,000","3,000","223,000","11,000","21,000","27,000","24,000","62,000","1,176,000","513,000","291,000","0"
		DepreciationAmortizationDepletion,"27,352,000","7,498,000","6,947,000","-2,484,000","15,391,000","15,051,000","14,579,000","14,762,000","13,987,000","14,064,000","13,466,000","12,718,000","12,226,000","5,178,000","4,720,000","4,573,000","4,431,000","4,610,000","4,263,000","4,142,000","4,113,000","4,407,000","4,207,000","4,017,000","4,079,000","4,494,000","3,593,000","3,292,000","2,637,000","2,764,000","2,311,000","2,074,000","2,058,000","2,354,000","2,055,000","2,140,000","1,580,000"
			DepreciationAndAmortization,"27,352,000","7,498,000","6,947,000","-2,484,000","15,391,000","15,051,000","14,579,000","14,762,000","13,987,000","14,064,000","13,466,000","12,718,000","12,226,000","5,178,000","4,720,000","4,573,000","4,431,000","4,610,000","4,263,000","4,142,000","4,113,000","4,407,000","4,207,000","4,017,000","4,079,000","4,494,000","3,593,000","3,292,000","2,637,000","2,764,000","2,311,000","2,074,000","2,058,000","2,354,000","2,055,000","2,140,000","1,580,000"
				Depreciation,"27,280,000","7,480,000","6,929,000","-2,502,000","15,373,000","15,029,000","14,556,000","14,740,000","13,965,000","14,019,000","13,411,000","12,678,000","12,194,000","5,031,000","4,571,000","4,416,000","4,238,000","4,381,000","4,035,000","3,833,000","3,751,000","3,867,000","3,692,000","3,478,000","3,518,000","3,810,000","2,959,000","2,703,000","2,008,000","2,134,000","1,662,000","1,419,000","1,400,000","1,756,000","1,078,000","953,000","841,000"
				AmortizationCashFlow,"72,000","18,000","18,000","18,000","18,000","22,000","23,000","22,000","22,000","45,000","55,000","40,000","32,000","147,000","149,000","157,000","193,000","229,000","228,000","309,000","362,000","540,000","515,000","539,000","561,000","684,000","634,000","589,000","629,000","630,000","649,000","655,000","658,000","598,000","977,000","1,187,000","739,000"
					AmortizationOfIntangibles,"72,000","18,000","18,000","18,000","18,000","22,000","23,000","22,000","22,000","45,000","55,000","40,000","32,000","147,000","149,000","157,000","193,000","229,000","228,000","309,000","362,000","540,000","515,000","539,000","561,000","684,000","634,000","589,000","629,000","630,000","649,000","655,000","658,000","598,000","977,000","1,187,000","739,000"
		DeferredTax,"4,902,000","4,213,000","7,319,000","-739,000","-5,891,000","3,342,000","-900,000","-594,000","344,000","3,335,000","99,000","212,000","-1,047,000","2,059,000","506,000","1,213,000","394,000","2,929,000","-698,000","-935,000","564,000","2,919,000","3,116,000","281,000","-141,000","2,041,000","541,000","-1,755,000","154,000","798,000","223,000","0","381,000","-2,212,000","0","-1,000","339,000"
			DeferredIncomeTax,"4,902,000","4,213,000","7,319,000","-739,000","-5,891,000","3,342,000","-900,000","-594,000","344,000","3,335,000","99,000","212,000","-1,047,000","2,059,000","506,000","1,213,000","394,000","2,929,000","-698,000","-935,000","564,000","2,919,000","3,116,000","281,000","-141,000","2,041,000","541,000","-1,755,000","154,000","798,000","223,000","0","381,000","-2,212,000","0","-1,000","339,000"
		AssetImpairmentCharge,"0","0","0",,,"0","0",,,"191,000","0","0","0","209,000","253,000","92,000","213,000",,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"9,475,000","1,668,000","1,839,000","2,767,000","3,201,000","2,147,000","1,482,000","1,705,000","1,824,000","1,582,000","1,181,000","1,180,000","965,000","666,000","791,000","804,000","612,000","398,000","597,000","678,000","575,000","763,000","754,000","750,000","756,000","738,000","761,000","729,000","653,000","589,000","539,000","478,000","442,000","402,000","296,000","383,000","210,000"
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,"0",,,,,,,"0","80,000","-127,000","-1,463,000","-2,111,000",,,,,,,,
		OtherNonCashItems,"40,905,000","10,628,000","10,598,000","18,648,000","1,031,000","221,000","221,000","516,000","221,000","221,000","36,000","415,000","88,000","393,000","197,000","312,000","305,000","303,000","2,159,000","803,000","289,000","299,000","271,000","272,000","267,000","110,000","71,000","1,471,000","50,000","1,443,000","1,811,000","135,000","146,000","87,000","370,000","449,000","2,238,000"
		ChangeInWorkingCapital,"-186,395,000","-170,437,000","45,934,000","-53,847,000","-8,045,000","-46,059,000","67,784,000","-1,819,000","7,251,000","-76,634,000","40,768,000","-24,601,000","-23,514,000","-45,551,000","48,806,000","249,000","-7,210,000","-43,799,000","46,870,000","7,772,000","-20,647,000","-39,363,000","42,603,000","8,460,000","-13,294,000","-31,440,000","45,280,000","-8,774,000","1,573,000","-16,621,000","13,436,000","-9,511,000","-5,171,000","-9,349,000","16,515,000","-1,883,000","-10,833,000"
			ChangeInReceivables,"5,222,000","-575,000","-55,000","940,000","4,912,000","3,808,000","561,000","1,809,000","1,872,000","5,431,000","-1,575,000","253,000","1,612,000","-184,000","-3,466,000","995,000","-1,051,000","1,831,000","-2,689,000","613,000","210,000","2,199,000","-1,983,000","-1,110,000","671,000","1,601,000","-1,242,000","304,000","861,000","649,000","-2,673,000","254,000","98,000","467,000","-1,579,000","348,000","54,000"
				ChangesInAccountReceivables,"5,222,000","-575,000","-55,000","940,000","4,912,000","3,808,000","561,000","1,809,000","1,872,000","5,431,000","-1,575,000","253,000","1,612,000","-184,000","-3,466,000","995,000","-1,051,000","1,831,000","-2,689,000","613,000","210,000","2,199,000","-1,983,000","-1,110,000","671,000","1,601,000","-1,242,000","304,000","861,000","649,000","-2,673,000","254,000","98,000","467,000","-1,579,000","348,000","54,000"
			ChangeInInventory,"-198,540,000","-88,658,000","-35,368,000","-53,512,000","-21,002,000","-29,752,000","14,932,000","606,000","27,171,000","-13,365,000","26,385,000","-45,481,000","-13,161,000","-15,805,000","4,848,000","-25,655,000","8,910,000","-3,934,000","4,212,000","-21,629,000","-3,247,000","-9,064,000","10,728,000","-11,535,000","-2,890,000","-2,228,000","4,145,000","-10,901,000","-7,103,000","-7,457,000","-2,408,000","-9,182,000","-7,563,000","-1,082,000","966,000","-11,528,000","-2,456,000"
			ChangeInPrepaidAssets,"-24,577,000","17,019,000","-16,230,000","-18,057,000","-7,309,000","2,200,000","-612,000","-984,000","778,000","-466,000","2,354,000","-3,372,000","-867,000","2,405,000","5,699,000","-2,680,000","-1,245,000","-4,017,000","1,819,000","213,000","-1,296,000","-6,061,000","3,984,000","-527,000","-1,201,000","-1,514,000","7,458,000","-1,522,000","3,121,000","-2,843,000","6,145,000","-3,038,000","-1,931,000","-964,000","4,114,000","-1,903,000","-2,118,000"
