name,ttm,03/31/2022
OperatingCashFlow,,"-358,198"
	CashFlowFromContinuingOperatingActivities,,"-358,198"
		NetIncomeFromContinuingOperations,,"-4,176,208"
		OtherNonCashItems,,"-25,176"
		ChangeInWorkingCapital,,"3,843,186"
			ChangeInPrepaidAssets,,"85,001"
			ChangeInPayablesAndAccruedExpense,,"3,758,185"
				ChangeInPayable,,"3,758,185"
					ChangeInAccountPayable,,"3,724,499"
FinancingCashFlow,,"0"
	CashFlowFromContinuingFinancingActivities,,"0"
		NetIssuancePaymentsOfDebt,,"0"
			NetLongTermDebtIssuance,,"0"
				LongTermDebtIssuance,,"0"
EndCashPosition,,"69,991"
	ChangesInCash,,"-358,198"
	BeginningCashPosition,,"428,189"
IssuanceOfDebt,,"0"
FreeCashFlow,,"-358,198"
